,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
1060.0,,,,,,,19693524.0,,,,,,2003976.0,1507529.0,,,,77402.0,,447290.0,
1061.0,,,,,,,,11807249.0,,,,,,,,,,,,,
1064.0,,,,2572818.0,,,,,,,,,,,,,,,,,
1065.0,,,4174966.0,,15033413.0,,,,,,10551412.0,3656374.0,,,3272674.0,8687606.0,784530.0,,,,
1066.0,12024943.0,,,,,1873916.0,,,3391347.0,,,,,,,,,,,,
1067.0,,,,,,,19773796.0,,,,,,2032983.0,1510643.0,,,,77503.0,,447464.0,
1068.0,,,,,,,,11863960.0,,,,,,,,,,,,,
1071.0,,,,2582167.0,,,,,,,,,,,,,,,,,
1072.0,,,4219209.0,,15072698.0,,,,,,10598330.0,3683312.0,,,3282977.0,8711900.0,793101.0,,,,
1073.0,12125904.0,,,,,1874199.0,,,3399293.0,,,,,,,,,,,,
1074.0,,,,,,,19855427.0,,,,,,2088119.0,1513111.0,,,,77590.0,,447794.0,
1075.0,,,,,,,,11923506.0,,,,,,,,,,,,,
1078.0,,,,2590306.0,,,,,,,,,,,,,,,,,
1079.0,,,4255189.0,,15121817.0,,,,,,10660739.0,3713915.0,,,3308824.0,8734625.0,806772.0,,,,
1080.0,12206216.0,,,,,1874351.0,,,3407388.0,,,,,,,,,,,,
1081.0,,,,,,,19936254.0,,,,,,2141890.0,1515710.0,,,,77692.0,,448083.0,
1082.0,,,,,,,,11975451.0,,,,,,,,,,,,,
1085.0,,,,2599574.0,,,,,,,,,,,,,,,,,
1086.0,,,4286299.0,,15162829.0,,,,,,10710189.0,3750619.0,,,3329784.0,8763252.0,818419.0,,,,
1087.0,12247706.0,,,,,1874647.0,,,3414358.0,,,,,,,,,,,,
1088.0,,,,,,,20051783.0,,,,,,2220525.0,1518081.0,,,,77755.0,,453143.0,
1089.0,,,,,,,,12026315.0,,,,,,,,,,,,,
1092.0,,,,2614435.0,,,,,,,,,,,,,,,,,
1093.0,,,4315119.0,,15193113.0,,,,,,10762927.0,3794014.0,,,3352891.0,8805120.0,828305.0,,,,
1094.0,12300804.0,,,,,1874766.0,,,3420324.0,,,,,,,,,,,,
1095.0,,,,,,,20178130.0,,,,,,2313360.0,1521028.0,,,,77810.0,,453923.0,
1096.0,,,,,,,,12070249.0,,,,,,,,,,,,,
1099.0,,,,2628243.0,,,,,,,,,,,,,,,,,
1100.0,,,4359277.0,,15229012.0,,,,,,10816858.0,3827251.0,,,3382548.0,8906070.0,840506.0,,,,
1101.0,12351389.0,,,,,1874968.0,,,3425909.0,,,,,,,,,,,,
1102.0,,,,,,,20342706.0,,,,,,2415915.0,1523030.0,,,,77894.0,,455371.0,
1103.0,,,,,,,,12130777.0,,,,,,,,,,,,,
1106.0,,,,2647363.0,,,,,,,,,,,,,,,,,
1107.0,,,4395914.0,,15259928.0,,,,,,10885695.0,3856292.0,,,3423073.0,9048008.0,853104.0,,,,
1108.0,12408663.0,,,,,1880200.0,,,3432138.0,,,,,,,,,,,,
1109.0,,,,,,,20591376.0,,,,,,2543288.0,1525101.0,,,,77945.0,,456294.0,
1110.0,,,,,,,,12185811.0,,,,,,,,,,,,,
1113.0,,,,2671890.0,,,,,,,,,,,,,,,,,
1114.0,,,4430479.0,,15289176.0,,,,,,10955138.0,3894804.0,,,3435458.0,9256043.0,869077.0,,,,
1115.0,12801239.0,,,,,1887309.0,,,3436902.0,,,,,,,,,,,,
1116.0,,,,,,,20910427.0,,,,,,2670661.0,1527873.0,,,,77971.0,,456946.0,
1117.0,,,,,,,,12224058.0,,,,,,,,,,,,,
1120.0,,,,2719149.0,,,,,,,,,,,,,,,,,
1121.0,,,4462911.0,,15324004.0,,,,,,11034786.0,3944865.0,,,3447843.0,9472975.0,885050.0,,,,
1122.0,13083800.0,,,,,1890301.0,,,3442105.0,,,,,,,,,,,,
1123.0,,,,,,,21163609.0,,,,,,2795756.0,1530183.0,,,,78024.0,,457771.0,
1124.0,,,,,,,,12258588.0,,,,,,,,,,,,,
1127.0,,,,2757463.0,,,,,,,,,,,,,,,,,
1128.0,,,4493390.0,,15381699.0,,,,,,11093792.0,4020558.0,,,3466785.0,9689907.0,893655.0,,,,
1129.0,13238440.0,,,,,1893194.0,,,3447055.0,,,,,,,,,,,,
1130.0,,,,,,,21416791.0,,,,,,2836181.0,1533018.0,,,,78213.0,,458862.0,
1131.0,,,,,,,,12313136.0,,,,,,,,,,,,,
1134.0,,,,2801413.0,,,,,,,,,,,,,,,,,
1135.0,,,4521698.0,,15413379.0,,,,,,11130747.0,4265964.0,,,3483575.0,9757204.0,901241.0,,,,
1136.0,13263753.0,,,,,1896087.0,,,3451386.0,,,,,,,,,,,,
1137.0,,,,,,,21519710.0,,,,,,2871001.0,1534998.0,,,,78266.0,,459740.0,
1138.0,,,,,,,,12376201.0,,,,,,,,,,,,,
1141.0,,,,2857211.0,,,,,,,,,,,,,,,,,
1142.0,,,4543774.0,,15437423.0,,,,,,11169999.0,4397486.0,,,3497011.0,9812676.0,908381.0,,,,
1143.0,13291627.0,,,,,1896853.0,,,3456988.0,,,,,,,,,,,,
1144.0,,,,,,,21610246.0,,,,,,2901816.0,1536689.0,,,,78337.0,,460618.0,
1145.0,,,,,,,,12439266.0,,,,,,,,,,,,,
1148.0,,,,2883206.0,,,,,,,,,,,,,,,,,
1149.0,,,4565841.0,,15459770.0,,,,,,11220607.0,4529008.0,,,3508991.0,9853543.0,915414.0,,,,
1150.0,13398731.0,,,,,1897118.0,,,3462822.0,,,,,,,,,,,,
1151.0,,,,,,,21684109.0,,,,,,2930481.0,1538761.0,,,,78396.0,,461456.0,
1152.0,,,,,,,,12462778.0,,,,,,,,,,,,,
1155.0,,,,2897739.0,,,,,,,,,,,,,,,,,
1156.0,,,4584687.0,,15493128.0,,,,,,11271215.0,4590994.0,,,3522043.0,9892455.0,923119.0,,,,
1157.0,13477462.0,,,,,1897400.0,,,3467571.0,,,,,,,,,,,,
1158.0,,,,,,,21749597.0,,,,,,2957030.0,1540833.0,,,,78461.0,,461910.0,
1159.0,,,,,,,,12493203.0,,,,,,,,,,,,,
1162.0,,,,2906825.0,,,,,,,,,,,,,,,,,
1163.0,,,4609443.0,,15535775.0,,,,,,11304088.0,4628436.0,,,3555578.0,9923159.0,933430.0,,,,
1164.0,13556193.0,,,,,1897656.0,,,3472589.0,,,,,,,,,,,,
1165.0,,,,,,,21806731.0,,,,,,2985625.0,1541955.0,,,,80149.0,,462315.0,
1166.0,,,,,,,,12524533.0,,,,,,,,,,,,,
1169.0,,,,2914194.0,,,,,,,,,,,,,,,,,
1170.0,,,4637941.0,,15575843.0,,,,,,11354547.0,4655568.0,,,3577776.0,9954449.0,958014.0,,,,
1171.0,13594573.0,,,,,1897845.0,,,3478628.0,,,,,,,,,,,,
1172.0,,,,,,,21866075.0,,,,,,3021490.0,1543346.0,,,,80310.0,,462822.0,
1173.0,,,,,,,,12552780.0,,,,,,,,,,,,,
1176.0,,,,2917545.0,,,,,,,,,,,,,,,,,
1177.0,,,4655228.0,,15601283.0,,,,,,11411244.0,4688031.0,,,3596777.0,9981702.0,971217.0,,,,
1178.0,13647130.0,,,,,1898160.0,,,3486775.0,,,,,,,,,,,,
1179.0,,,,,,,21914397.0,,,,,,3066498.0,1544354.0,,,,80514.0,,463130.0,
1180.0,,,,,,,,12587790.0,,,,,,,,,,,,,
1183.0,,,,2920700.0,,,,,,,,,,,,,,,,,
1184.0,,,4672262.0,,15626298.0,,,,,,11463964.0,4713679.0,,,3618318.0,10009731.0,985020.0,,,,
1185.0,13754723.0,,,,,,,,3498972.0,,,,,,,,,,,,
1186.0,,,,,,,21964891.0,,,,,,3105105.0,1546378.0,,,,80737.0,,463459.0,
1187.0,,,,,,,,12615335.0,,,,,,,,,,,,,
1190.0,,,,2924886.0,,,,,,,,,,,,,,,,,
1191.0,,,4692009.0,,15650783.0,,,,,,11509872.0,4737070.0,,,3640560.0,10041611.0,992438.0,,,,
1192.0,13822915.0,,,,,,,,3553560.0,,,,,,,,,,,,
1193.0,,,,,,,22010262.0,,,,,,3135871.0,1548539.0,,,,84146.0,,463757.0,
1194.0,,,,,,,,12644277.0,,,,,,,,,,,,,
1197.0,,,,2928899.0,,,,,,,,,,,,,,,,,
1198.0,,,4713295.0,,15687499.0,,,,,,11562176.0,4766402.0,,,3669456.0,10071203.0,997585.0,,,,
1199.0,13878102.0,,,,,,,,3596709.0,,,,,,,,,,,,
1200.0,,,,,,,22057283.0,,,,,,3174192.0,1550739.0,,,,85727.0,,464043.0,
1201.0,,,,,,,,12670972.0,,,,,,,,,,,,,
1204.0,,,,2934890.0,,,,,,,,,,,,,,,,,
1205.0,,,4733162.0,,15717024.0,,,,,,11601500.0,4792241.0,,,3690916.0,10101277.0,1001186.0,,,,
1206.0,13956530.0,,,,,,,,3639858.0,,,,,,,,,,,,
1207.0,,,,,,,22112826.0,,,,,,3210905.0,1551819.0,,,,86296.0,,464301.0,
1208.0,,,,,,,,12697622.0,,,,,,,,,,,,,
1211.0,,,,2938726.0,,,,,,,,,,,,,,,,,
1212.0,,,4758279.0,,15742882.0,,,,,,11642663.0,4820547.0,,,3706972.0,10137087.0,1006914.0,,,,
1213.0,14050329.0,,,,,,,,3666631.0,,,,,,,,,,,,
1214.0,,,,,,,22169521.0,,,,,,3242628.0,1553879.0,,,,86583.0,,464530.0,
1215.0,,,,,,,,12726251.0,,,,,,,,,,,,,
1218.0,,,,2948370.0,,,,,,,,,,,,,,,,,
1219.0,,,4784419.0,,15769474.0,,,,,,11684413.0,4847574.0,,,3720771.0,10165859.0,1015862.0,,,,
1220.0,14102579.0,,,,,,,,3673748.0,,,,,,,,,,,,
1221.0,,,,,,,22221613.0,,,,,,3272214.0,1555247.0,,,,86856.0,,464921.0,
1222.0,,,,,,,,12763406.0,,,,,,,,,,,,,
1225.0,,,,2953404.0,,,,,,,,,,,,,,,,,
1226.0,,,4813061.0,,15797030.0,,,,,,11717635.0,4889702.0,,,3735489.0,10191253.0,1023490.0,,,,
1227.0,14199458.0,,,,,,,,3677872.0,,,,,,,,,,,,
1228.0,,,,,,,22262509.0,,,,,,3303995.0,1588311.0,,,,86985.0,,465356.0,
1229.0,,,,,,,,12801613.0,,,,,,,,,,,,,
1232.0,,,,2956082.0,,,,,,,,,,,,,,,,,
1233.0,,,4841475.0,,15854003.0,,,,,,11757592.0,4934818.0,,,3753652.0,10214586.0,1028567.0,,,,
1234.0,14312655.0,,,,,,,,3687597.0,,,,,,,,,,,,
1235.0,,,,,,,22299880.0,,,,,,3347046.0,1605630.0,,,,87425.0,,465711.0,
1236.0,,,,,,,,12854939.0,,,,,,,,,,,,,
1239.0,,,,2961311.0,,,,,,,,,,,,,,,,,
1240.0,,,4870268.0,,15895505.0,,,,,,11798111.0,4972256.0,,,3770851.0,10239560.0,1035170.0,,,,
1241.0,14437886.0,,,,,,,,3692806.0,,,,,,,,,,,,
1242.0,,,,,,,22342836.0,,,,,,3390097.0,1614269.0,,,,89028.0,,466068.0,
1243.0,,,,,,,,12908265.0,,,,,,,,,,,,,
1246.0,,,,2966945.0,,,,,,,,,,,,,,,,,
1247.0,,,4897798.0,,15938017.0,,,,,,11838204.0,5001592.0,,,3782186.0,10272912.0,1041773.0,,,,
1248.0,14524491.0,,,,,,,,3696240.0,,,,,,,,,,,,
1249.0,,,,,,,22385792.0,,,,,,3413757.0,1622088.0,,,,90114.0,,466387.0,
1250.0,,,,,,,,12949280.0,,,,,,,,,,,,,
1253.0,,,,2974140.0,,,,,,,,,,,,,,,,,
1254.0,,,4991752.0,,15979200.0,,,,,,11885759.0,5024634.0,,,3793327.0,10306264.0,1045866.0,,,,
1255.0,14685509.0,,,,,,,,3699882.0,,,,,,,,,,,,
1256.0,,,,,,,22433757.0,,,,,,3437334.0,1629547.0,,,,90482.0,,466680.0,
1257.0,,,,,,,,12990365.0,,,,,,,,,,,,,
1260.0,,,,2984256.0,,,,,,,,,,,,,,,,,
1261.0,,,5044571.0,,16021111.0,,,,,,11933314.0,5046851.0,,,3806735.0,10323494.0,1050703.0,,,,
1262.0,14846527.0,,,,,,,,3703855.0,,,,,,,,,,,,
1263.0,,,,,,,22467470.0,,,,,,3464525.0,1637006.0,,,,90749.0,,467012.0,
1264.0,,,,,,,,13020896.0,,,,,,,,,,,,,
1267.0,,,,2992217.0,,,,,,,,,,,,,,,,,
1268.0,,,5082586.0,,16071135.0,,,,,,11965016.0,5071809.0,,,3818329.0,10341364.0,1056695.0,,,,
1269.0,14916656.0,,,,,,,,3707974.0,,,,,,,,,,,,
1270.0,,,,,,,22503362.0,,,,,,3487630.0,1642660.0,,,,91177.0,,467344.0,
1271.0,,,,,,,,13048441.0,,,,,,,,,,,,,
1274.0,,,,2995513.0,,,,,,,,,,,,,,,,,
1275.0,,,5122556.0,,16104364.0,,,,,,11999638.0,5096767.0,,,3829351.0,10362668.0,1062573.0,,,,
1276.0,14995429.0,,,,,,,,3711784.0,,,,,,,,,,,,
1277.0,,,,,,,22540056.0,,,,,,3510159.0,1649763.0,,,,91362.0,,467638.0,
1278.0,,,,,,,,13112896.0,,,,,,,,,,,,,
1281.0,,,,2999172.0,,,,,,,,,,,,,,,,,
1282.0,,,5148891.0,,16139112.0,,,,,,12029445.0,5113254.0,,,3840886.0,10380128.0,1069076.0,,,,
1283.0,15073040.0,,,,,,,,3715081.0,,,,,,,,,,,,
1284.0,,,,,,,22572868.0,,,,,,3536001.0,1653771.0,,,,91555.0,,467886.0,
1285.0,,,,,,,,13163379.0,,,,,,,,,,,,,
1288.0,,,,3003044.0,,,,,,,,,,,,,,,,,
1289.0,,,5178627.0,,16166958.0,,,,,,12059495.0,5129510.0,,,3864655.0,10400474.0,1075135.0,,,,
1290.0,15156960.0,,,,,,,,3719754.0,,,,,,,,,,,,
1291.0,,,,,,,22611303.0,,,,,,3560802.0,1657765.0,,,,91697.0,,468090.0,
1292.0,,,,,,,,13197410.0,,,,,,,,,,,,,
1295.0,,,,3007251.0,,,,,,,,,,,,,,,,,
1296.0,,,5210222.0,,16211857.0,,,,,,12088052.0,5147528.0,,,3879331.0,10417497.0,1080383.0,,,,
1297.0,15266989.0,,,,,,,,3723800.0,,,,,,,,,,,,
1298.0,,,,,,,22648035.0,,,,,,3588074.0,1660613.0,,,,91852.0,,468261.0,
1299.0,,,,,,,,13232919.0,,,,,,,,,,,,,
1302.0,,,,3010756.0,,,,,,,,,,,,,,,,,
1303.0,,,5237702.0,,16259254.0,,,,,,12120327.0,5165000.0,,,3892945.0,10436004.0,1085433.0,,,,
1304.0,15337531.0,,,,,,,,3726943.0,,,,,,,,,,,,
1305.0,,,,,,,22699076.0,,,,,,3618166.0,1664666.0,,,,92119.0,,468431.0,
1306.0,,,,,,,,13271414.0,,,,,,,,,,,,,
1309.0,,,,3015186.0,,,,,,,,,,,,,,,,,
1310.0,,,5263521.0,,16292036.0,,,,,,12148528.0,5181452.0,,,3905546.0,10457836.0,1088600.0,,,,
1311.0,15428624.0,,,,,,,,3730198.0,,,,,,,,,,,,
1312.0,,,,,,,22748342.0,,,,,,3655552.0,1668200.0,,,,92244.0,,468650.0,
1313.0,,,,,,,,13301314.0,,,,,,,,,,,,,
1316.0,,,,3019628.0,,,,,,,,,,,,,,,,,
1317.0,,,5298085.0,,16315440.0,,,,,,12174624.0,5197648.0,,,3918283.0,10480957.0,1091335.0,,,,
1318.0,15537199.0,,,,,,,,3737463.0,,,,,,,,,,,,
1319.0,,,,,,,22795016.0,,,,,,3696855.0,1670653.0,,,,92389.0,,468851.0,
1320.0,,,,,,,,13332707.0,,,,,,,,,,,,,
1323.0,,,,3024991.0,,,,,,,,,,,,,,,,,
1324.0,,,5323483.0,,16578450.0,,,,,,12200863.0,5219307.0,,,3931130.0,10502360.0,1093745.0,,,,
1325.0,15633051.0,,,,,,,,3743081.0,,,,,,,,,,,,
1326.0,,,,,,,22856105.0,,,,,,3738426.0,1673268.0,,,,92545.0,,469088.0,
1327.0,,,,,,,,13362585.0,,,,,,,,,,,,,
1330.0,,,,3039895.0,,,,,,,,,,,,,,,,,
1331.0,,,5349969.0,,16696260.0,,,,,,12227256.0,5244356.0,,,3942694.0,10523860.0,1096385.0,,,,
1332.0,15697819.0,,,,,,,,3748699.0,,,,,,,,,,,,
1333.0,,,,,,,22916715.0,,,,,,3782688.0,1675532.0,,,,92781.0,,469292.0,
1334.0,,,,,,,,13405646.0,,,,,,,,,,,,,
1337.0,,,,3047500.0,,,,,,,,,,,,,,,,,
1338.0,,,5381976.0,,16795054.0,,,,,,12253395.0,5272894.0,,,3959017.0,10543554.0,1101704.0,,,,
1339.0,15784804.0,,,,,,,,3751707.0,,,,,,,,,,,,
1340.0,,,,,,,22980022.0,,,,,,3825229.0,1677502.0,,,,93000.0,,469454.0,
1341.0,,,,,,,,13429928.0,,,,,,,,,,,,,
1344.0,,,,3053399.0,,,,,,,,,,,,,,,,,
1345.0,,,5408099.0,,16858130.0,,,,,,12274334.0,5298535.0,,,3969951.0,10556410.0,1107023.0,,,,
1346.0,15924004.0,,,,,,,,3754570.0,,,,,,,,,,,,
1347.0,,,,,,,23057505.0,,,,,,3867770.0,1679647.0,,,,93180.0,,469667.0,
1348.0,,,,,,,,13471443.0,,,,,,,,,,,,,
1351.0,,,,3059447.0,,,,,,,,,,,,,,,,,
1352.0,,,5440062.0,,16929389.0,,,,,,12329004.0,5319891.0,,,3981412.0,10569266.0,1113167.0,,,,
1353.0,16040271.0,,,,,,,,3757614.0,,,,,,,,,,,,
1354.0,,,,,,,23134988.0,,,,,,3898511.0,1681845.0,,,,93364.0,,469910.0,
1355.0,,,,,,,,13506590.0,,,,,,,,,,,,,
1358.0,,,,3064617.0,,,,,,,,,,,,,,,,,
1359.0,,,5469703.0,,16980779.0,,,,,,12392000.0,5361534.0,,,3991815.0,10588195.0,1118897.0,,,,
1360.0,16219414.0,,,,,,,,3760089.0,,,,,,,,,,,,
1361.0,,,,,,,23191558.0,,,,,,3928973.0,1683595.0,,,,93546.0,,470095.0,
1362.0,,,,,,,,13559771.0,,,,,,,,,,,,,
1365.0,,,,3070387.0,,,,,,,,,,,,,,,,,
1366.0,,,5501565.0,,17063908.0,,,,,,12486328.0,5376628.0,,,4000755.0,10605463.0,1123511.0,,,,
1367.0,16364592.0,,,,,,,,3762623.0,,,,,,,,,,,,
1368.0,,,,,,,23249962.0,,,,,,3956785.0,1685366.0,,,,93695.0,,470287.0,
1369.0,,,,,,,,13650163.0,,,,,,,,,,,,,
1372.0,,,,3076010.0,,,,,,,,,,,,,,,,,
1373.0,,,5529371.0,,17150254.0,,,,,,12610731.0,5391722.0,,,4019102.0,10622309.0,1130365.0,,,,
1374.0,16569214.0,,,,,,,,3764900.0,,,,,,,,,,,,
1375.0,,,,,,,23299211.0,,,,,,3983372.0,1687349.0,,,,93798.0,,470479.0,
1376.0,,,,,,,,13748640.0,,,,,,,,,,,,,
1379.0,,,,3080167.0,,,,,,,,,,,,,,,,,
1380.0,,,5560889.0,,17243146.0,,,,,,12738050.0,5417256.0,,,4037098.0,10637639.0,1134395.0,,,,
1381.0,16798912.0,,,,,,,,3767184.0,,,,,,,,,,,,
1382.0,,,,,,,23362336.0,,,,,,4006974.0,1692578.0,,,,94624.0,,470624.0,
1383.0,,,,,,,,13847117.0,,,,,,,,,,,,,
1386.0,,,,3084239.0,,,,,,,,,,,,,,,,,
1387.0,,,5640131.0,,17406590.0,,,,,,12888742.0,5439265.0,,,4053223.0,10653551.0,1138045.0,,,,
1388.0,17062216.0,,,,,,,,3769628.0,,,,,,,,,,,,
1389.0,,,,,,,23424889.0,,,,,,4031846.0,1697096.0,,,,95065.0,,470775.0,
1390.0,,,,,,,,13912058.0,,,,,,,,,,,,,
1393.0,,,,3087506.0,,,,,,,,,,,,,,,,,
1394.0,,,5713273.0,,17625002.0,,,,,,13089832.0,5459113.0,,,4067073.0,10668603.0,1140652.0,,,,
1395.0,17340389.0,,,,,,,,3771895.0,,,,,,,,,,,,
1396.0,,,,,,,23484439.0,,,,,,4053848.0,1703658.0,,,,95285.0,,470912.0,
1397.0,,,,,,,,13940083.0,,,,,,,,,,,,,
1400.0,,,,3090330.0,,,,,,,,,,,,,,,,,
1401.0,,,5783854.0,,17843353.0,,,,,,13290922.0,5475790.0,,,4081697.0,10681685.0,1143873.0,,,,
1402.0,17652510.0,,,,,,,,3774810.0,,,,,,,,,,,,
1403.0,,,,,,,23529712.0,,,,,,4075846.0,1710220.0,,,,95468.0,,471040.0,
1404.0,,,,,,,,13960015.0,,,,,,,,,,,,,
1407.0,,,,3093011.0,,,,,,,,,,,,,,,,,
1408.0,,,5842036.0,,17878403.0,,,,,,13385646.0,5493339.0,,,4095213.0,10694742.0,1146908.0,,,,
1409.0,17820106.0,,,,,,,,3778056.0,,,,,,,,,,,,
1410.0,,,,,,,23563710.0,,,,,,4098115.0,1712829.0,,,,95583.0,,471200.0,
1411.0,,,,,,,,13983334.0,,,,,,,,,,,,,
1414.0,,,,3095082.0,,,,,,,,,,,,,,,,,
1415.0,,,5945643.0,,17913453.0,,,,,,13445848.0,5511512.0,,,4110021.0,10707651.0,1149729.0,,,,
1416.0,17990797.0,,,,,,,,3781415.0,,,,,,,,,,,,
1417.0,,,,,,,23598174.0,,,,,,4123458.0,1714474.0,,,,95968.0,,471317.0,
1418.0,,,,,,,,14004690.0,,,,,,,,,,,,,
1421.0,,,,3097643.0,,,,,,,,,,,,,,,,,
1422.0,,,5986831.0,,17963891.0,,,,,,13497498.0,5529330.0,,,4123845.0,10718869.0,1154533.0,,,,
1423.0,18101608.0,,,,,,,,3785335.0,,,,,,,,,,,,
1424.0,,,,,,,23624178.0,,,,,,4145627.0,1716457.0,,,,96303.0,,471489.0,
1425.0,,,,,,,,14025741.0,,,,,,,,,,,,,
1428.0,,,,3100201.0,,,,,,,,,,,,,,,,,
1429.0,,,6031741.0,,18000054.0,,,,,,13541931.0,5548947.0,,,4136697.0,10729693.0,1158554.0,,,,
1430.0,18215778.0,,,,,,,,3790211.0,,,,,,,,,,,,
1431.0,,,,,,,23811946.0,,,,,,4164038.0,1718198.0,,,,96416.0,,471598.0,
1432.0,,,,,,,,14042748.0,,,,,,,,,,,,,
1435.0,,,,3102331.0,,,,,,,,,,,,,,,,,
1436.0,,,6172173.0,,18033065.0,,,,,,13583666.0,5569948.0,,,4148933.0,10739701.0,1162656.0,,,,
1437.0,18304263.0,,,,,,,,3795087.0,,,,,,,,,,,,
1438.0,,,,,,,23918016.0,,,,,,4179921.0,1719828.0,,,,96541.0,,471746.0,
1439.0,,,,,,,,14062078.0,,,,,,,,,,,,,
1442.0,,,,3104503.0,,,,,,,,,,,,,,,,,
1443.0,,,6281459.0,,18063738.0,,,,,,13634443.0,5589188.0,,,4163212.0,10775635.0,1165663.0,,,,
1444.0,18413878.0,,,,,,,,3797848.0,,,,,,,,,,,,
1445.0,,,,,,,24006458.0,,,,,,4209621.0,1721620.0,,,,96677.0,,471911.0,
1446.0,,,,,,,,14076789.0,,,,,,,,,,,,,
1449.0,,,,3106796.0,,,,,,,,,,,,,,,,,
1450.0,,,6351631.0,,18116997.0,,,,,,13678862.0,5612891.0,,,4183513.0,10799672.0,1168860.0,,,,
1451.0,18488176.0,,,,,,,,3800192.0,,,,,,,,,,,,
1452.0,,,,,,,24126934.0,,,,,,4236226.0,1722619.0,,,,96831.0,,472037.0,
1453.0,,,,,,,,14090421.0,,,,,,,,,,,,,
1456.0,,,,3109263.0,,,,,,,,,,,,,,,,,
1457.0,,,6400022.0,,18148197.0,,,,,,13729787.0,5632389.0,,,4214544.0,10839363.0,1173137.0,,,,
1458.0,18566225.0,,,,,,,,3802393.0,,,,,,,,,,,,
1459.0,,,,,,,24239349.0,,,,,,4264762.0,1723676.0,,,,96975.0,,472149.0,
1460.0,,,,,,,,14103143.0,,,,,,,,,,,,,
1463.0,,,,3112236.0,,,,,,,,,,,,,,,,,
1464.0,,,6436215.0,,18178043.0,,,,,,13771537.0,5649418.0,,,4268767.0,10892616.0,1183373.0,,,,
1465.0,18656152.0,,,,,,,,3804469.0,,,,,,,,,,,,
1466.0,,,,,,,24381683.0,,,,,,4320144.0,1724877.0,,,,97036.0,,472320.0,
1467.0,,,,,,,,14124261.0,,,,,,,,,,,,,
1470.0,,,,3115650.0,,,,,,,,,,,,,,,,,
1471.0,,,6463058.0,,18206493.0,,,,,,13814351.0,5675543.0,,,4343097.0,10969501.0,1190487.0,,,,
1472.0,18728762.0,,,,,,,,3807248.0,,,,,,,,,,,,
1473.0,,,,,,,24596705.0,,,,,,4416396.0,1726257.0,,,,97311.0,,472444.0,
1474.0,,,,,,,,14142385.0,,,,,,,,,,,,,
1477.0,,,,3120363.0,,,,,,,,,,,,,,,,,
1478.0,,,6490381.0,,18232960.0,,,,,,13862778.0,5736639.0,,,4421708.0,11075704.0,1197424.0,,,,
1479.0,18817866.0,,,,,,,,3808794.0,,,,,,,,,,,,
1480.0,,,,,,,24859633.0,,,,,,4512648.0,1727130.0,,,,97436.0,,472550.0,
1481.0,,,,,,,,14155227.0,,,,,,,,,,,,,
1484.0,,,,3124603.0,,,,,,,,,,,,,,,,,
1485.0,,,6510226.0,,18255708.0,,,,,,13935530.0,5774390.0,,,4454165.0,11124262.0,1204361.0,,,,
1486.0,19085363.0,,,,,,,,3810782.0,,,,,,,,,,,,
1487.0,,,,,,,25126911.0,,,,,,4631127.0,1729446.0,,,,97550.0,,,
1488.0,,,,,,,,14167411.0,,,,,,,,,,,,,
1491.0,,,,3129147.0,,,,,,,,,,,,,,,,,
1492.0,,,6529401.0,,18281436.0,,,,,,14001609.0,5816180.0,,,4473977.0,11172820.0,1212992.0,,,,
1493.0,19220439.0,,,,,,,,3812955.0,,,,,,,,,,,,
1494.0,,,,,,,25394189.0,,,,,,4675300.0,1731137.0,,,,98011.0,,,
1495.0,,,,,,,,14176543.0,,,,,,,,,,,,,
1498.0,,,,3137564.0,,,,,,,,,,,,,,,,,
1499.0,,,6550970.0,,18311659.0,,,,,,14050357.0,5863341.0,,,4489439.0,11232749.0,1216747.0,,,,
1500.0,19316698.0,,,,,,,,3815085.0,,,,,,,,,,,,
1501.0,,,,,,,25503003.0,,,,,,4715007.0,1731925.0,,,,98321.0,,,
1502.0,,,,,,,,14192008.0,,,,,,,,,,,,,
1505.0,,,,3140768.0,,,,,,,,,,,,,,,,,
1506.0,,,6563988.0,,18335196.0,,,,,,14087701.0,5898144.0,,,4532969.0,11255705.0,1220857.0,,,,
1507.0,19410755.0,,,,,,,,3819509.0,,,,,,,,,,,,
1508.0,,,,,,,25584004.0,,,,,,4751361.0,1732633.0,,,,98461.0,,,
1509.0,,,,,,,,14207473.0,,,,,,,,,,,,,
1512.0,,,,3144361.0,,,,,,,,,,,,,,,,,
1513.0,,,6575825.0,,18355970.0,,,,,,14130937.0,5932947.0,,,4557748.0,11271447.0,1225948.0,,,,
1514.0,19516588.0,,,,,,,,3824375.0,,,,,,,,,,,,
1515.0,,,,,,,25642481.0,,,,,,4785366.0,1733544.0,,,,98632.0,,,
1516.0,,,,,,,,14216404.0,,,,,,,,,,,,,
1519.0,,,,3145693.0,,,,,,,,,,,,,,,,,
1520.0,,,6587632.0,,18376546.0,,,,,,14179805.0,5989345.0,,,4575222.0,11290432.0,1230198.0,,,,
1521.0,19634602.0,,,,,,,,3829962.0,,,,,,,,,,,,
1522.0,,,,,,,25704952.0,,,,,,4817508.0,1734455.0,,,,98855.0,,,
1523.0,,,,,,,,14225146.0,,,,,,,,,,,,,
1526.0,,,,3146763.0,,,,,,,,,,,,,,,,,
