,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
93.0,911776.0,,,,,511695.0,,,626939.0,,,,,,,,,,,,
94.0,,363984.0,,,,,1700752.0,,,,,,,370982.0,,,,42466.0,,,
95.0,,,,,,,,2137064.0,,49068.0,,,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,,,33800.0,,
98.0,,,,801928.0,,,,,,,,,,,,,,,,,
99.0,,,583653.0,,1061201.0,,,,,,1873108.0,678488.0,,,619418.0,1801988.0,121672.0,,,,692468.0
100.0,940069.0,,,,,525057.0,,,795207.0,,,,,,,,,,,,
101.0,,389021.0,,,,,1726027.0,,,,,,,382035.0,,,,43382.0,,123929.0,
102.0,,,,,,,,2228158.0,,49947.0,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,,,34030.0,,
105.0,,,,811456.0,,,,,,,,,,,,,,,,,
106.0,,,591663.0,,1085427.0,,,,,,1941656.0,700046.0,,,631401.0,1865929.0,123222.0,,,,707604.0
107.0,989509.0,,,,,534289.0,,,929832.0,,,,,,,,,,,,
108.0,,422859.0,,,,,1748799.0,,,,,,,390924.0,,,,45143.0,,161076.0,
109.0,,,,,,,,2322538.0,,50535.0,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,35517.0,,
112.0,,,,820545.0,,,,,,,,,,,,,,,,,
113.0,,,599014.0,,1126513.0,,,,,,2008755.0,746970.0,,,639684.0,1953633.0,125858.0,,,,738330.0
114.0,1016473.0,,,,,543241.0,,,1064457.0,,,,,,,,,,,,
115.0,,445408.0,,,,,1809306.0,,,,,,,398293.0,,,,45958.0,,172006.0,
116.0,,,,,,,,2395853.0,,,,,,,,,,,,,
117.0,,,,,,,,,,,,,,,,,,,36083.0,,
119.0,,,,829112.0,,,,,,,,,,,,,,,,,
120.0,,,605541.0,,1153891.0,,,,,,2088867.0,773895.0,,,647841.0,1994431.0,127610.0,,,,768326.0
121.0,1041209.0,,,,,559898.0,,,1103395.0,,,,,,,,,,,,
122.0,,483259.0,,,,,1853112.0,,,,,,,408247.0,,,,46276.0,,179930.0,
123.0,,,,,,,,2491471.0,,51299.0,,,,,,,,,,,
