"begin_date","end_date","ニンテンドー3DS","NINTENDOSWITCH","プレイステーション4","プレイステーション5","XboxSeriesX/S"
"2021-12-27","2022-01-02",569,195926,24,46677,523
"2022-01-03","2022-01-09",609,148691,15,10677,263
"2022-01-10","2022-01-16",489,94523,17,14453,2267
"2022-01-17","2022-01-23",325,77219,14,18857,2627
"2022-01-24","2022-01-30",267,99078,11,23339,1696
"2022-01-31","2022-02-06",264,92452,8,16888,5990
"2022-02-07","2022-02-13",360,118065,4,6418,5955
"2022-02-14","2022-02-20",364,96929,11,25434,4799
"2022-02-21","2022-02-27",511,70232,17,17032,4285
"2022-02-28","2022-03-06",511,96952,11,25679,1321
"2022-03-07","2022-03-13",461,98246,16,16286,1962
"2022-03-14","2022-03-20",287,85497,10,16968,3554
"2022-03-21","2022-03-27",280,83800,13,35474,390
"2022-03-28","2022-04-03",305,67164,12,30666,4409
"2022-04-04","2022-04-10",194,61162,14,11224,4068
"2022-04-11","2022-04-17",224,60289,15,11259,5742
"2022-04-18","2022-04-24",205,57490,12,17681,6025
"2022-04-25","2022-05-08",452,176592,81,49798,14118
"2022-05-09","2022-05-15",235,65322,22,2693,6225
"2022-05-16","2022-05-22",256,64839,20,14277,7131
"2022-05-23","2022-05-29",164,60877,16,14830,2541
"2022-05-30","2022-06-05",257,61122,21,28583,11573
"2022-06-06","2022-06-12",207,58436,78,12440,6242
"2022-06-13","2022-06-19",215,50405,18,3035,6695
"2022-06-20","2022-06-26",141,56549,17,9181,8915
"2022-06-27","2022-07-03",214,84281,15,24361,12530
"2022-07-04","2022-07-10",206,66243,12,13361,4944
"2022-07-11","2022-07-17",130,61677,13,12545,3577
"2022-07-18","2022-07-24",125,69374,11,11194,5012
"2022-07-25","2022-07-31",87,73238,14,39336,8988
"2022-08-01","2022-08-14",307,153822,28,46600,8703
"2022-08-15","2022-08-21",152,58396,13,15655,9820
"2022-08-22","2022-08-28",130,113530,15,25109,16726
"2022-08-29","2022-09-04",56,98168,10,20292,5438
"2022-09-05","2022-09-11",74,182876,11,2864,459
"2022-09-12","2022-09-18",29,127558,12,11180,14077
"2022-09-19","2022-09-25",41,86572,10,29522,12179
"2022-09-26","2022-10-02",27,70385,14,18076,13064
"2022-10-03","2022-10-09",85,62100,12,5546,797
"2022-10-10","2022-10-16",113,43329,11,20297,3551
"2022-10-17","2022-10-23",57,54637,13,28661,4158
"2022-10-24","2022-10-30",56,38634,11,38866,3674
"2022-10-31","2022-11-06",31,90478,257,13274,3113
"2022-11-07","2022-11-13",32,97542,138,28716,748
"2022-11-14","2022-11-20",34,170693,5803,31858,1527
"2022-11-21","2022-11-27",65,156127,2220,50920,11939
"2022-11-28","2022-12-04",111,152284,4211,27835,1854
"2022-12-05","2022-12-11",64,158106,3150,18822,1524
"2022-12-12","2022-12-18",48,173083,3161,70496,910
"2022-12-19","2022-12-25",238,163556,3161,68819,1109
