"begin_date","end_date","ニンテンドー3DS","NINTENDOSWITCH","プレイステーション4","プレイステーション5","XboxSeriesX/S"
"2024-01-01","2024-01-07",12,104551,737,41126,697
"2024-01-08","2024-01-14",14,46604,562,36506,1164
"2024-01-15","2024-01-21",16,43692,620,57903,1888
"2024-01-22","2024-01-28",15,46435,655,49945,3905
"2024-01-29","2024-02-04",12,41966,605,34484,3177
"2024-02-05","2024-02-11",15,49543,940,40745,3093
"2024-02-12","2024-02-18",14,48391,467,38212,1647
"2024-02-19","2024-02-25",10,50886,362,33504,3113
"2024-02-26","2024-03-03",13,62531,1722,48067,2351
"2024-03-04","2024-03-10",14,65898,1816,39064,3746
"2024-03-11","2024-03-17",12,42883,588,26516,1496
"2024-03-18","2024-03-24",9,60828,250,27788,1360
"2024-03-25","2024-03-31",6,57533,679,20846,1376
"2024-04-01","2024-04-07","",71942,107,24976,2113
"2024-04-08","2024-04-14","",71273,41,20941,2616
"2024-04-15","2024-04-21","",64281,92,21297,2789
"2024-04-22","2024-05-05","",100038,202,49534,5335
"2024-05-06","2024-05-12","",47064,80,21518,4448
"2024-05-13","2024-05-19","",40706,53,17565,2568
"2024-05-20","2024-05-26","",48032,131,23368,2099
"2024-05-27","2024-06-02","",48988,177,22547,3248
"2024-06-03","2024-06-09","",53343,349,21828,2187
"2024-06-10","2024-06-16","",38515,179,22882,1372
"2024-06-17","2024-06-23","",38205,292,22830,958
"2024-06-24","2024-06-30","",46265,218,27505,1592
"2024-07-01","2024-07-07","",52725,124,29724,1999
"2024-07-08","2024-07-14","",53505,391,29313,760
"2024-07-15","2024-07-21","",66503,266,38255,4736
"2024-07-22","2024-07-28","",56583,93,25795,5681
"2024-07-29","2024-08-04","",57757,52,25793,4339
"2024-08-05","2024-08-18","",127197,54,46892,4430
"2024-08-19","2024-08-25","",42959,47,31493,254
"2024-08-26","2024-09-01","",63651,91,33865,778
"2024-09-02","2024-09-08","",67473,23,11007,1482
"2024-09-09","2024-09-15","",50574,39,10095,675
"2024-09-16","2024-09-22","",52355,37,8757,599
"2024-09-23","2024-09-29","",74351,31,10799,557
"2024-09-30","2024-10-06","",63807,47,12551,355
"2024-10-07","2024-10-13","",55082,29,11804,425
"2024-10-14","2024-10-20","",58853,34,11315,4438
"2024-10-21","2024-10-27","",67724,38,11945,1201
"2024-10-28","2024-11-03","",60096,53,13965,2610
"2024-11-04","2024-11-10","",64012,49,88160,2405
"2024-11-11","2024-11-17","",62158,35,23672,3070
"2024-11-18","2024-11-24","",69135,34,25573,2657
"2024-11-25","2024-12-01","",91701,57,38160,4336
"2024-12-02","2024-12-08","",80428,52,50365,3006
"2024-12-09","2024-12-15","",99382,47,21574,1913
"2024-12-16","2024-12-22","",104151,44,24650,3389
"2024-12-23","2024-12-29","",76548,37,27130,1161
