"begin_date","end_date","hw","units"
"1999-04-12","1999-04-18","DC",6747
"1999-04-12","1999-04-18","NeoGeoP",4378
"1999-04-19","1999-04-25","PKS",51423
"1999-04-19","1999-04-25","GB",42306
"1999-04-19","1999-04-25","PS",35705
"1999-04-19","1999-04-25","WS",20954
"1999-04-19","1999-04-25","N64",14971
"1999-04-19","1999-04-25","DC",7441
"1999-04-19","1999-04-25","NeoGeoP",3724
"1999-04-26","1999-05-02","PKS",51423
"1999-04-26","1999-05-02","GB",42306
"1999-04-26","1999-05-02","PS",35705
"1999-04-26","1999-05-02","WS",20954
"1999-04-26","1999-05-02","N64",14971
"1999-04-26","1999-05-02","DC",7441
"1999-04-26","1999-05-02","NeoGeoP",3724
"1999-05-03","1999-05-09","GB",62515
"1999-05-03","1999-05-09","PS",39929
"1999-05-03","1999-05-09","N64",29476
"1999-05-03","1999-05-09","WS",18856
"1999-05-03","1999-05-09","PKS",15136
"1999-05-03","1999-05-09","DC",7392
"1999-05-03","1999-05-09","NeoGeoP",4410
"1999-05-10","1999-05-16","PKS",30726
"1999-05-10","1999-05-16","GB",29817
"1999-05-10","1999-05-16","PS",21472
"1999-05-10","1999-05-16","WS",10740
"1999-05-10","1999-05-16","N64",7606
"1999-05-10","1999-05-16","DC",4458
"1999-05-10","1999-05-16","NeoGeoP",2353
"1999-05-17","1999-05-23","PKS",29996
"1999-05-17","1999-05-23","PS",19128
"1999-05-17","1999-05-23","GB",19905
"1999-05-17","1999-05-23","WS",11857
"1999-05-17","1999-05-23","N64",5041
"1999-05-17","1999-05-23","DC",3344
"1999-05-17","1999-05-23","NeoGeoP",1652
"1999-05-24","1999-05-30","PKS",29419
"1999-05-24","1999-05-30","PS",26245
"1999-05-24","1999-05-30","GB",21518
"1999-05-24","1999-05-30","WS",12980
"1999-05-24","1999-05-30","N64",8697
"1999-05-24","1999-05-30","DC",4743
"1999-05-24","1999-05-30","NeoGeoP",2199
"1999-05-31","1999-06-06","PKS",25377
"1999-05-31","1999-06-06","PS",22834
"1999-05-31","1999-06-06","GB",22471
"1999-05-31","1999-06-06","WS",15052
"1999-05-31","1999-06-06","N64",5775
"1999-05-31","1999-06-06","DC",2567
"1999-05-31","1999-06-06","NeoGeoP",1763
"1999-06-07","1999-06-13","PKS",27344
"1999-06-07","1999-06-13","PS",19220
"1999-06-07","1999-06-13","GB",14670
"1999-06-07","1999-06-13","WS",11053
"1999-06-07","1999-06-13","N64",10174
"1999-06-07","1999-06-13","NeoGeoP",1447
"1999-06-07","1999-06-13","DC",676
"1999-06-14","1999-06-20","PKS",31833
"1999-06-14","1999-06-20","PS",19435
"1999-06-14","1999-06-20","GB",20903
"1999-06-14","1999-06-20","N64",9280
"1999-06-14","1999-06-20","WS",8889
"1999-06-14","1999-06-20","NeoGeoP",1953
"1999-06-14","1999-06-20","DC",479
"1999-06-21","1999-06-27","DC",45058
"1999-06-21","1999-06-27","PKS",30077
"1999-06-21","1999-06-27","PS",26392
"1999-06-21","1999-06-27","GB",17043
"1999-06-21","1999-06-27","N64",9412
"1999-06-21","1999-06-27","WS",7369
