date,hw,note,level,desc
2025-11-07,NS2,ゼルダ無双封印戦記,31,
2025-11-20,NS2,エアライダー,20,
2025-11-21,PS5,DE日本語版 発売,10,
2025-11-21,PS5,ブラックフライデー,45,
2025-12-04,NS2,メトロイド・プライム4,32,
2026-01-15,NS2,あつ森 Switch2 Edition,42,
2026-01-22,NS2,FF7R,31,
2026-01-29,NSW,トモコレダイレクト,48,
2026-01-30,PS5,CODE VEIN II,48,
2026-02-05,NS2,DQ7R,35,
2026-02-05,NS2,ソフトメーカー・ラインナップ,31,Nintendo Direct
2026-02-06,NS2,マイニン先着販売開始,38,
2026-02-27,NS2,バイオ7:8:9,45,
2026-02-27,PS5,バイオ9,30,
2026-02-27,NS2,Pokemon Presednts,40,
2026-03-05,NS2,ぽこあポケモン,18,
2026-03-13,NS2,MHストーリーズ3,45,
2026-03-20,PS5,紅の砂漠,50,
2026-04-02,PS5,値上げ,9,
2026-04-16,NSW,トモダチコレクション,25,
2026-04-17,PS5,PRAGMATA,41,
2026-05-08,NS2,値上げ発表,11,
2026-05-08,NSW,値上げ発表,11,
2026-05-21,NS2,ヨッシー・フカシギの図鑑,32,
2026-05-25,NS2,値上げ実施,3,
2026-05-25,NSW,値上げ実施,3,
2026-06-25,NS2,StarFox,32,
2026-07-02,NSW,リズム天国,30,
2026-07-23,NS2,Splatoon Raiders,20,
