"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"801","PS2 72752|GC 8048|Xbox 789|GBA 5334|GBASP 55194","『ドラゴンクエストV　天空の花嫁』|PS2、スクウェア・エニックス、2004/3/25、8190円、1048925本（初）|（2004/3/22〜3/28）","『紅の海2　Crimson Sea』|PS2、コーエー、32点(8/8/8/8)","●―"
"802","PS2 66079|GC 9473|Xbox 675|GBA 6151|GBASP 48883","『ドラゴンクエストV　天空の花嫁』|PS2、スクウェア・エニックス、2004/3/25、8190円、248342本（1297267）|（2004/3/29〜4/4）","『ダービースタリオン04』|PS2、エンターブレイン、33点(9/8/8/8)","●―"
"803","PS2 48748|GC 5978|Xbox 390|GBA 4039|GBASP 34208","『ドラゴンクエストV　天空の花嫁』|PS2、スクウェア・エニックス、2004/3/25、8190円、96985本（1394252）|（2004/4/5〜4/11）","『ピクミン2』|GC、任天堂、36点(9/9/9/9)","●―"
"805|※","PS2 37344|GC 4353|Xbox 397|GBA 3823|GBASP 30707","『星のカービィ　鏡の大迷宮』|GBA、任天堂、2004/4/15、4800円、176225本（初）|（2004/4/12〜4/18）","『ブラックマトリクス　ダブルオー』|PS、NECインターチャネル、29点(8/7/7/7)","●―"
"806","PS2 43236|GC 5490|Xbox 398|GBA 4053|GBASP 50495","『ダービースタリオン04』|PS2、エンターブレイン、2004/4/22、7140円、305973本（初）|（2004/4/19〜4/25）","『グランド・セフト・オート・バイスシティ』|PS2、カプコン、37点(10/9/9/9)","●―"
"807","PS2 97736|GC 17406|Xbox 788|GBA 10049|GBASP 116081|（2週分）","『ピクミン2』|GC、任天堂、2004/4/29、5800円、192901本（初）|（2004/4/26〜5/9）","『ワリオワールド』|GC、任天堂、34点(9/8/8/9)|『メトロイド　ゼロミッション』|GBA、任天堂、34点(9/9/8/8)","●―"
"808","PS2 30348|GC 4135|Xbox 222|GBA 2554|GBASP 20958","『ピクミン2』|GC、任天堂、2004/4/29、5800円、58927本（251828）|（2004/5/10〜5/16）","『スポーン　運命の鎖』|PS2、ナムコ、28点(7/7/7/7)","●―"
"809","PS2 27905|GC 5080|Xbox 151|GBA 2289|GBASP 28136","『グランド・セフト・オート・バイスシティ』|PS2、カプコン、2004/5/20、7140円、223933本（初）|（2004/5/17〜5/23）","『桜坂消防隊』|PS2、アイレムソフトウェアエンジニアリング、32点(8/8/8/8)|『ラリースポーツチャレンジ2』|Xbox、マイクロソフト、32点(8/8/8/8)","●―"
"810","PS2 35050|GC 5759|Xbox 794|GBA 2577|GBASP 28753","『スーパーロボット大戦MX』|PS2、バンプレスト、2004/5/27、8379円、402953本（初）|（2004/5/24〜5/30）","『サイレントヒル4　ザ ルーム』|PS2、コナミ、33点(9/8/8/8)","●―"
"811","PS2 31760|GC 5041|Xbox 573|GBA 2320|GBASP 25927","『実戦パチスロ必勝法！北斗の拳』|PS2、サミー、2004/5/27、3990円、104151本（444693）|（2004/5/31〜6/6）","『3年B組金八先生　伝説の教壇に立て！』|PS2、チュンソフト、35点(9/9/9/8)","●―"
