"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"635","PS 6463|PS2 23966|DC 4729|N64 2050|GBC 23746|NGP 898|WSC 8447|ps 7991","『ドンキーコング2001』|GB、任天堂、2001/1/21、3800円、33866本（初）|（2001/1/15〜1/21）","『ゴルフしようよ2　新たなる挑戦』|DC、ソフトマックス、31点(8/7/8/8)","●―"
"636","PS 5222|PS2 44217|DC 4091|N64 2230|GBC 24068|NGP 673|WSC 14930|ps 7794","『鬼武者』|PS2、カプコン、2001/1/25、7800円、517078本（初）|（2001/1/22〜1/28）","『エアロダンシングi』|DC、CRI、31点(8/8/7/8)|『ハンドレッドソード』|DC、セガ、31点(8/8/8/7)","●―"
"637","PS 5045|PS2 50779|DC 2639|N64 2129|GBC 18612|NGP 943|WSC 11601|ps 8859","『鬼武者』|PS2、カプコン、2001/1/25、7800円、108982本（626060）|（2001/1/29〜2/4）","『ポケットキング』|GB、ナムコ、31点(8/7/8/8)","●―"
"638","PS 4102|PS2 46863|DC 1523|N64 1313|GBC 16289|NGP 1244|WSC 7846|ps 5500","『鬼武者』|PS2、カプコン、2001/1/25、7800円、56972本（683032）|（2001/2/5〜2/11）","『ゼルダの伝説ふしぎの木の実　大地の章』|GB、任天堂、31点(8/7/8/8)|『Z.O.E』|PS2、コナミ、31点(8/8/8/7)","●―"
"639","PS 4578|PS2 40270|DC 1520|N64 1845|GBC 17666|NGP 153|WSC 7588|ps 4815","『鬼武者』|PS2、カプコン、2001/1/25、7800円、30840本（713873）|（2001/2/12〜2/18）","『パイロットになろう！2』|PS2、ビクターインタラクティブソフトウェア、32点(8/7/8/9)","●―"
"640","PS 4316|PS2 38916|DC 6359|N64 1467|GBC 16846|NGP 567|WSC 6644|ps 3403","『アイシア』|PS、アトラス、2001/2/22、7800円、38679本（初）|（2001/2/19〜2/25）","『首都高バトル0』|PS2、元気、34点(8/9/8/9)|『ワールドサッカーウイニングイレブン5』|PS2、コナミ、34点(8/9/8/9)","●―"
"641","PS 4413|PS2 38586|DC 40497|N64 2118|GBC 21628|NGP 421|WSC 6136|ps 2082","『ゼルダの伝説ふしぎの木の実　大地の章』|GB、任天堂、2001/2/27、3800円、191802本（初）|（2001/2/26〜3/4）","『サクラ大戦3〜巴里は燃えているか〜』|DC、セガ、34点(9/8/8/9)","●DCが9900円に値下げ"
"642","PS 5348|PS2 48794|DC 19747|N64 1978|GBC 23009|NGP 425|WSC 4382|ps 2868","『ドラゴンクエストモンスターズ2　マルタのふしぎな鍵・ルカの旅立ち』|GB、エニックス、2001/3/9、6400円、501081本（初）|（2001/3/5〜3/11）","『決戦II』|PS2、コーエー、35点(9/8/9/9)","●―"
"643","PS 5054|PS2 43368|DC 15339|N64 1690|GBC 17172|NGP 641|WSC 3391|ps 907","『ワールドサッカーウイニングイレブン5』|PS2、コナミ、2001/3/15、オープン価格、198753本（初）|（2001/3/12〜3/18）","『トゥルーラブストーリー3』|PS2、エンターブレイン、31点(8/7/8/8)|『es』|DC、テレビ朝日、31点(7/8/8/8)","●―"
"644","PS 4374|PS2 57840|DC 15667|N64 2460|GBC 14408|GBA 611504|NGP 470|WSC 4268|ps 3319","『スーパーマリオアドバンス』|GBA、任天堂、2001/3/21、4800円、219551本（初）|（2001/3/19〜3/25）","『ARMORED CORE 2 ANOTHER AGE』|PS2、フロム・ソフトウェア、34点(9/8/8/9)","●GBA発売"
"645","PS 3749|PS2 52806|DC 14991|N64 2219|GBC 12814|GBA 323686|NGP 814|WSC 3505|ps 3403","『スーパーロボット大戦α外伝』|PS、バンプレスト、2001/3/29、6980円、377237本（初）|（2001/3/26〜4/1）","『Close to〜祈りの丘〜』|DC、キッド、28点(7/7/7/7)|『とっとこハム太郎2　ハムちゃんず大集合でちゅ』|GB、任天堂、28点(7/7/8/6)","●―"
"646","PS 3711|PS2 43295|DC 8954|N64 1341|GBC 8868|GBA 197421|NGP 561|WSC 3667|ps 1403","『スーパーロボット大戦α外伝』|PS、バンプレスト、2001/3/29、6980円、55735本（432972）|（2001/4/2〜4/8）","『タイムクライシス　プロジェクトタイタン』|PS、ナムコ、30点(8/7/7/8)|『WWF ROYAL RUMBLE』|DC、ユークス、30点(8/7/7/8)","●―"
"648|※","PS 3447|PS2 21997|DC 7190|N64 1109|GBC 8099|GBA 139499|NGP 286|WSC 3241|ps 840","『ドラゴンクエストモンスターズ2　マルタのふしぎな鍵・イルの冒険』|GB、エニックス、2001/4/12、6400円、133723本（初）|（2001/4/9〜4/15）","『グランツーリスモ3　A-Spec』|PS2、SCE、39点(9/10/10/10)","●―"
"649","PS 2406|PS2 36051|DC 5056|N64 1518|GBC 9335|GBA 95324|NGP 525|WSC 2892|ps 1557","『とっとこハム太郎2　ハムちゃんず大集合でちゅ』|GB、任天堂、2001/4/21、3800円、86363本（初）|（2001/4/16〜4/22）","『ゴルフルGOLF』|PS2、アートディンク、28点(8/7/7/6)","●この号からクロスレビューが「据え置きゲームチーム」「携帯ゲームチーム」に分割"
"650","PS 8153|PS2 110692|DC 13117|N64 4154|GBC 18895|GBA 282181|NGP 747|WSC 37699|ps 2532|（2週分）","『グランツーリスモ3　A-Spec』|PS2、SCE、2001/4/28、6800円、731332本（初）|（2001/4/23〜5/6）","『ティアリングサーガ　ユトナ英雄戦記』|PS、エンターブレイン、32点(8/8/8/8)","●―"
"651","PS 2343|PS2 40928|DC 3908|N64 894|GBC 6057|GBA 88872|NGP 276|WSC 3582|ps 758","『グランツーリスモ3　A-Spec』|PS2、SCE、2001/4/28、6800円、91439本（822771）|（2001/5/7〜5/13）","『CRAZY TAXI 2』|DC、セガ、35点(9/9/8/9)","●―"
"652","PS 2951|PS2 24529|DC 2392|N64 1336|GBC 5441|GBA 70875|NGP 278|WSC 3276|ps 2604","『グランツーリスモ3　A-Spec』|PS2、SCE、2001/4/28、6800円、50474本（873245）|（2001/5/14〜5/20）","『魔剣　爻（シャオ）』|PS2、アトラス、32点(9/8/8/7)","●―"
"653","PS 2236|PS2 21989|DC 4874|N64 1251|GBC 5233|GBA 71334|NGP 186|WSC 2532|ps 6521","『ティアリングサーガ　ユトナ英雄戦記』|PS、エンターブレイン、2001/5/24、6800円、230489本（初）|（2001/5/21〜5/27）","『コンフィデンシャルミッション』|DC、セガ、31点(8/8/8/7)","●―"
"654","PS 2157|PS2 24638|DC 5473|N64 1573|GBC 3980|GBA 58187|NGP 418|WSC 3217|ps 5497","『ティアリングサーガ　ユトナ英雄戦記』|PS、エンターブレイン、2001/5/24、6800円、53330本（283819）|（2001/5/28〜6/3）","『タクティクスオウガ外伝The Knight of Lodis』|GBA、任天堂、34点(9/8/9/8)","●―"
"655","PS 1897|PS2 33919|DC 5354|N64 993|GBC 4360|GBA 51363|NGP 156|WSC 3570|ps 4551","『ファンタシースターオンラインVer.2』|DC、セガ、2001/6/7、4800円、108411本（初）|（2001/6/4〜6/10）","『スターオーシャンブルースフィア』|GB、エニックス、31点(8/8/7/8)","●―"
"656","PS 2529|PS2 43275|DC 4279|N64 978|GBC 3655|GBA 52998|NGP 235|WSC 2752|ps 2857","『グランツーリスモ3　A-Spec』|PS2、SCE、2001/4/28、6800円、45835本（1024929）|（2001/6/11〜6/17）","『ピポサル2001』|PS2、SCE、31点(8/8/8/7)|『牧場物語3〜ハートに火をつけて〜』|PS2、ビクターインタラクティブソフトウェア、31点(8/8/8/7)","●―"
"657","PS 1868|PS2 75693|DC 5697|N64 936|GBC 4153|GBA 93821|NGP 219|WSC 3010|ps 3280","『タクティクスオウガ外伝The Knight of Lodis』|GBA、任天堂、2001/6/21、4800円、145219本（初）|（2001/6/18〜6/24）","『カルドセプトセカンド』|DC、メディアファクトリー、37点(9/10/9/9)","●―"
"658","PS 3297|PS2 77869|DC 6430|N64 1370|GBC 4109|GBA 91094|NGP 247|WSC 4211|ps 2653","『スターオーシャンブルースフィア』|GB、エニックス、2001/6/28、5800円、69932本（初）|（2001/6/25〜7/1）","『ファイナルファンタジーX』|PS2、スクウェア、39点(10/9/10/10)","●―"
"659","PS 2912|PS2 79867|DC 2904|N64 776|GBC 3151|GBA 94380|NGP 435|WSC 1424|ps 1688","『遊戯王デュエルモンスターズ5 EXPERT1』|GBA、コナミ、2001/7/5、5800円、221654本（初）|（2001/7/2〜7/8）","『みんなのGOLF3』|PS2、SCE、33点(8/9/8/8)","●―"
"660","PS 1920|PS2 88286|DC 5951|N64 552|GBC 2823|GBA 73315|NGP 172|WSC 3264|ps 1459","『グランツーリスモ3　A-Spec』|PS2、SCE、2001/4/28、6800円、38812本（1241142）|（2001/7/9〜7/15）","『黄金の太陽〜開かれし封印〜』|GBA、任天堂、34点(9/8/9/8)","●―"
"661","PS 1952|PS2 156471|DC 3368|N64 1393|GBC 3106|GBA 95618|NGP 156|WSC 2328|ps 1764","『ファイナルファンタジーX』|PS2、スクウェア、2001/7/19、8800円、1749737本（初）|（2001/7/16〜7/22）","『ダービースタリオン64』|N64、メディアファクトリー、33点(9/9/8/7)","●―"
"663|※","PS 2283|PS2 103263|DC 5077|N64 1266|GBC 4958|GBA 85209|NGP 77|WSC 2435|ps 1585","『みんなのGOLF3』|PS2、SCE、2001/7/26、4980円、272758本（初）|（2001/7/23〜7/29）","『Devil May Cry』|PS2、カプコン、34点(9/8/9/8)","●―"
"664","PS 2669|PS2 75283|DC 4118|N64 989|GBC 3213|GBA 85225|WSC 1655|ps 14509","『黄金の太陽〜開かれし封印〜』|GBA、任天堂、2001/8/1、4800円、129314本（初）|（2001/7/30〜8/5）","『実況パワフルプロ野球8』|PS2、コナミ、33点(8/9/8/8)","●ポケステ台数増加は対応ソフト『ONE PIECE』の影響？"
"665","PS 6290|PS2 138317|DC 3626|N64 3684|GBC 8419|GBA 188825|WSC 4085|ps 15179|（2週分）","『みんなのGOLF3』|PS2、SCE、2001/7/26、4980円、144765本（522712）|（2001/8/6〜8/19）","『ZEONIC FRONT機動戦士ガンダム0079』|PS2、バンダイ、35点(9/9/8/9)","●―"
"666","PS 2970|PS2 60019|DC 3908|N64 1023|GBC 3971|GBA 78328|WSC 2238|ps 3930","『Devil May Cry』|PS2、カプコン、2001/8/23、6800円、352668本（初）|（2001/8/20〜8/26）","『CAPCOM VS. SNK2 MILLIONAIRE FIGHTING 2001』|PS2、カプコン、35点(9/9/8/9)|『CAPCOM VS. SNK2 MILLIONAIRE FIGHTING 2001』|DC、カプコン、35点(9/9/8/9)","●―"
"667","PS 2086|PS2 51236|DC 3615|N64 750|GBC 3248|GBA 64827|WSC 2147|ps 3590","『実況パワフルプロ野球8』|PS2、コナミ、2001/8/30、6980円、139010本（初）|（2001/8/27〜9/2）","『ルイージマンション』|GC、任天堂、34点(9/9/8/8)|『真・三國無双2』|PS2、コーエー、34点(8/9/8/9)","●―"
"668","PS 1982|PS2 44844|DC 8245|N64 347|GBC 2431|GBA 57405|WSC 1666|ps 1974","『ZEONIC FRONT 機動戦士ガンダム0079』|PS2、バンダイ、2001/9/6、6800円、146238本（初）|（2001/9/3〜9/9）","『サイレントヒル2』|PS2、コナミ、34点(9/8/8/9)","●―"
"669","PS 3514|PS2 45651|DC 2889|N64 511|GC 133719|GBC 2872|GBA 50440|WSC 2845|ps 1494","『エースコンバット04シャッタードスカイ』|PS2、ナムコ、2001/9/13、6800円、217501本（初）|（2001/9/10〜9/16）","『タイムクライシス2＋ガンコン2（同梱版）』|PS2、ナムコ、32点(8/8/8/8)","●ゲームキューブ発売"
"670","PS 3377|PS2 47290|DC 1082|N64 679|GC 29209|GBC 2987|GBA 68770|WSC 1683|ps 761","『真・三國無双2』|PS2、コーエー、2001/9/20、6800円、240980本（初）|（2001/9/17〜9/23）","『逆転裁判』|GBA、カプコン、32点(8/8/9/7)","●―"
"671","PS 2997|PS2 40565|DC 1586|N64 644|GC 21337|GBC 2167|GBA 61566|WSC 1885|ps 1313","『真・三國無双2』|PS2、コーエー、2001/9/20、6800円、121668本（362647）|（2001/9/24〜9/30）","『サイレントスコープ2 INNOCENT SWEEPER』|PS2、コナミ、29点(8/7/7/7)","●―"
"672","PS 2868|PS2 41487|DC 682|N64 811|GC 14302|GBC 2364|GBA 44922|WSC 3957|ps 1034","『真・三國無双2』|PS2、コーエー、2001/9/20、6800円、78098本（440745）|（2001/10/1〜10/7）","『Jリーグウイニングイレブン5』|PS2、コナミ、34点(9/9/8/8)","●―"
"673","PS 3249|PS2 41183|DC 387|N64 304|GC 8538|GBC 2914|GBA 39363|WSC 3850|ps 633","『真・三國無双2』|PS2、コーエー、2001/9/20、6800円、58148本（498893）|（2001/10/8〜10/14）","『ピクミン』|GC、任天堂、34点(9/9/8/8)","●―"
"674","PS 4035|PS2 36276|DC 589|N64 493|GC 10100|GBC 1479|GBA 37057|WSC 3644|ps 288","『真・三國無双2』|PS2、コーエー、2001/9/20、6800円、39727本（538620）|（2001/10/15〜10/21）","『プロ野球JAPAN2001』|PS2、コナミ、30点(8/8/7/7)","●―"
"675","PS 4269|PS2 41665|DC 254|N64 378|GC 25224|GBC 2143|GBA 44413|WSC 4251|ps 213","『実戦パチスロ必勝法！獣王』|PS2、サミー、2001/10/25、3800円、118486本（初）|（2001/10/22〜10/28）","『FIFA2002 Road to FIFA WORLD CUP』|GC、エレクトロニックアーツ・スクウェア、34点(8/9/8/9)","●―"
"676","PS 5273|PS2 31323|DC 283|N64 143|GC 19891|GBC 1072|GBA 36074|WSC 7940|ps 390","『実戦パチスロ必勝法！獣王』|PS2、サミー、2001/10/25、3800円、36100本（154586）|（2001/10/29〜11/4）","『大乱闘スマッシュブラザーズDX』|GC、任天堂、37点(9/10/9/9)","●―"
"677","PS 4760|PS2 33993|DC 152|N64 331|GC 18073|GBC 1591|GBA 33146|WSC 5099|ps 332","『プロ野球JAPAN2001』|PS2、コナミ、2001/11/8、6980円、49416本（初）|（2001/11/5〜11/11）","『メタルギアソリッド2　サンズ・オブ・リバティ』|PS2、コナミ、38点(10/9/10/9)","●―"
"678","PS 4670|PS2 36224|DC 296|N64 481|GC 19019|GBC 2046|GBA 28096|WSC 3946|ps 317","『シーマン〜禁断のペット〜ガゼー博士の実験島（シーマイク・コントローラ同梱版）』|PS2、アスキー、2001/11/15、8800円、88800本（初）|（2001/11/12〜11/18）","『マジカルバケーション』|GBA、任天堂、35点(9/9/8/9)","●―"
"679","PS 7637|PS2 37381|DC 119|N64 564|GC 129377|GBC 2046|GBA 31083|WSC 5218","『ドラゴンクエストIV　導かれし者たち』|PS、エニックス、2001/11/22、6800円、620802本（初）|（2001/11/19〜11/25）","『どうぶつの森＋』|GC、任天堂、37点(9/9/10/9)","●漫画「おとなのしくみ」連載終了"
"680","PS 5351|PS2 108161|DC 202|N64 405|GC 44462|GBC 1553|GBA 43908|WSC 2862","『メタルギアソリッド2　サンズ・オブ・リバティ』|PS2、コナミ、2001/11/29、6800円、456747本（初）|（2001/11/26〜12/2）","『ドラゴンクエスト・キャラクターズ　トルネコの大冒険2アドバンス〜不思議のダンジョン〜』|GBA、エニックス、36点(9/9/9/9)","●PS2が29800円に値下げ|●漫画「天からトルテ！」連載終了"
"681","PS 7068|PS2 103141|DC 5232|GC 52806|GBC 2013|GBA 38887|WSC 3187","『機動戦士ガンダム　連邦VS.ジオンDX』|PS2、バンダイ、2001/12/6、6800円、348242本（初）|（2001/12/3〜12/9）","『SSXトリッキー』|GC、エレクトロニックアーツ・スクウェア、32点(8/7/8/9)|『グランボ』|GBA、カプコン、32点(8/7/8/9)","●巻末コラム「浜村通信」連載開始"
"683|※","PS 12119|PS2 184179|DC 7109|GC 100882|GBC 8127|GBA 120711|WSC 5588","『ワールドサッカーウイニングイレブン5ファイナルエヴォリューション』|PS2、コナミ、2001/12/13、6800円、155443本（初）|（2001/12/10〜12/16）","『グランツーリスモコンセプト2001TOKYO』|PS2、SCE、33点(9/8/8/8)","●―"
"684","PS 14984|PS2 221978|DC 2992|GC 168268|GBC 16133|GBA 264849|WSC 8716","『スーパーマリオアドバンス2』|GBA、任天堂、2001/12/14、4800円、191869本（305052）|（2001/12/17〜12/23）","『グラディウスジェネレーション』|GBA、コナミ、32点(8/8/8/8)","●―"
"685","PS 40057|PS2 563636|DC 5786|GC 269250|GBC 36452|GBA 502221|WSC 22087|（2週分）","『大乱闘スマッシュブラザーズDX』|GC、任天堂、2001/11/21、6800円、238931本（920870）|（2001/12/24〜2002/1/6）","『東京魔人学園外法帖』|PS、アスミックエース・エンタテイメント、29点(8/7/7/7)|『エキサイティングプロレス3』|PS2、ユークス、29点(8/7/7/7)|『ギルティギアゼクス　アドバンスエディション』|GBA、サミー、29点(8/7/7/7)|『トマトアドベンチャー』|GBA、任天堂、29点(8/7/7/7)","●―"
"686","PS 8177|PS2 114167|DC 766|GC 38938|GBC 7988|GBA 88366|WSC 5984","『グランツーリスモコンセプト2001TOKYO』|PS2、SCE、2002/1/1、3200円、50101本（248385）|（2002/1/7〜1/13）","『バーチャファイター4』|PS2、セガ、37点(9/9/9/10)","●―"
