"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"601","PS 604|PS2 89957|DC 5429|N64 3172|GBC 17672|WS 4831|NGP 1804|ps 34146","『スーパーロボット大戦α』|PS、バンプレスト、2000/5/25、6980円、434934本（初）|（2000/5/22〜5/28）","『オズの魔法使い〜Another World〜ルングルング』|PS、アフェクト、28点(8/7/7/6)|『アニマスター』|DC、アキ、28点(7/7/7/7)","●―"
"602","PS 278|PS2 83840|DC 4457|N64 6465|GBC 17287|WS 6021|NGP 1572|ps 25681","『Dance Dance Revolution 3rd MIX』|PS、コナミ、2000/6/1、オープン価格、115074本（初）|（2000/5/29〜6/4）","『首都高バトル2』|DC、元気、34点(8/9/8/9)","●PSone発表"
"603","PS 245|PS2 79393|DC 3711|N64 2908|GBC 16831|NGP 1509|WS 3755|ps 18075","『オールスター・プロレスリング』|PS2、スクウェア、2000/6/8、6800円、88669本（初）|（2000/6/5〜6/11）","『ストリートファイターIII 3rd STRIKE Fight for the Future』|DC、カプコン、34点(8/8/9/9)","●―"
"604","PS 216|PS2 68548|DC 4172|N64 2595|GBC 19102|NGP 1415|WS 3814|ps 15973","『ハンター×ハンター〜ハンターの系譜〜』|GB、コナミ、2000/6/15、4500円、48162本（初）|（2000/6/12〜6/18）","『ファイナルファンタジーIX』|PS、スクウェア、38点(10/10/9/9)","●―"
"605","PS 152|PS2 67099|DC 5864|N64 3174|GBC 20655|NGP 4587|WS 3376|ps 14208","『首都高バトル2』|DC、元気、2000/6/22、5800円、55417本（初）|（2000/6/19〜6/25）","『リボルト』|DC、アクレイムジャパン、30点(7/7/8/8)|『がんばれ！ニッポン！オリンピック2000』|PS、コナミ、30点(8/8/7/7)","●―"
"606","PS 152|PS2 80112|DC 4903|N64 3080|GBC 21735|NGP 2487|WS 2820|ps 17861","『ペルソナ2　罰』|PS、アトラス、2000/6/29、6800円、119484本（初）|（2000/6/26〜7/2）","『マリオテニス64』|N64、任天堂、32点(8/8/8/8)","●―"
"607","PS 14175|PS2 90787|DC 3668|N64 3106|GBC 18914|NGP 1675|WS 2646|ps 18870","『ファイナルファンタジーIX』|PS、スクウェア、2000/7/7、7800円、1954421本（初）|（2000/7/3〜7/9）","『ダビつく！〜ダービー馬をつくろう！〜』|DC、セガ、32点(8/8/8/8)","●PSone発売、台数はファミ通ママ、記事には約34000台とあるので34175台が正しい？"
"608","PS 13662|PS2 79514|DC 3777|N64 2251|GBC 36021|NGP 2082|WS 5173|ps 15240","『ファイナルファンタジーIX』|PS、スクウェア、2000/7/7、7800円、328404本（2282826）|（2000/7/10〜7/16）","『グランディアII』|DC、ゲームアーツ、35点(9/9/8/9)","●―"
"610|※","PS 15941|PS2 60320|DC 4518|N64 5387|GBC 32668|NGP 1782|WS 7851|ps 11184","『マリオテニス64』|N64、任天堂、2000/7/21、6800円、213422本（初）|（2000/7/17〜7/23）","『ガングリフォンブレイズ』|PS2、ゲームアーツ、33点(9/8/8/8)|『マリオストーリー』|N64、任天堂、33点(8/8/8/9)","●―"
"611","PS 19129|PS2 56456|DC 6221|N64 5418|GBC 34040|NGP 1074|WS 6611|ps 14447","『マリオテニス64』|N64、任天堂、2000/7/21、6800円、103418本（316840）|（2000/7/24〜7/30）","『コロコロカービィ』|GB、任天堂、30点(8/7/7/8)","●―"
"612","PS 39067|PS2 119683|DC 11365|N64 10349|GBC 60984|NGP 2870|WS 11142|ps 26547|（2週分）","『SDガンダムGGENERATION-F』|PS、バンダイ、2000/8/3、7800円、255982本（初）|（2000/7/31〜8/13）","『三國志VII』|PS2、コーエー、32点(8/8/8/8)","●―"
"613","PS 20165|PS2 55144|DC 4928|N64 4095|GBC 33085|NGP 814|WS 6784|ps 13278","『マリオストーリー』|N64、任天堂、2000/8/11、6800円、55725本（174046）|（2000/8/14〜8/20）","『DINO CRISIS』|DC、カプコン、31点(8/8/8/7)","●―"
"614","PS 20817|PS2 48995|DC 4257|N64 2616|GBC 31806|NGP 880|WS 5266|ps 15333","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、1862065本（初）|（2000/8/21〜8/27）","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、38点(9/10/10/9)","●―"
"615","PS 23950|PS2 46256|DC 4364|N64 4477|GBC 26710|NGP 1353|WS 3762|ps 11044","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、1072286本（2934351）|（2000/8/28〜9/3）","『サクラ大戦2〜君、死にたもうことなかれ〜』|DC、セガ、31点(9/8/7/7)","●―"
"616","PS 19897|PS2 48146|DC 5566|N64 2113|GBC 24590|NGP 1006|WS 3876|ps 8135","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、329317本（3263668）|（2000/9/4〜9/10）","『不思議のダンジョン　風来のシレン2〜鬼襲来！シレン城！〜』|N64、チュンソフト、36点(9/10/8/9)","●―"
"617","PS 18056|PS2 31583|DC 5468|N64 3550|GBC 25659|NGP 1302|WS 2970|ps 9587","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、154797本（3418465）|（2000/9/11〜9/17）","『エターナルアルカディア』|DC、セガ、33点(9/9/8/7)","●―"
"618","PS 13308|PS2 31628|DC 4182|N64 2977|GBC 21544|NGP 890|WS 2341|ps 6774","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、83918本（3502383）|（2000/9/18〜9/24）","『MotoGP』|PS2、ナムコ、35点(9/8/8/10)","●エターナルアルカディアGD-ROM2枚組が付録で付属（ファミ通の定価は350円）"
"619","PS 12694|PS2 28941|DC 5694|N64 4488|GBC 23641|NGP 730|WS 2077|ps 13422","『不思議のダンジョン　風来のシレン2〜鬼襲来！シレン城！〜』|N64、チュンソフト、2000/9/27、6800円、117982本（初）|（2000/9/25〜10/1）","『Napple Tale〜Arisia in Daydream〜』|DC、セガ、29点(7/7/7/8)","●―"
"620","PS 11964|PS2 26551|DC 4985|N64 2978|GBC 18126|NGP 905|WS 1597|ps 9238","『ドラゴンクエストVII〜エデンの戦士たち〜』|PS、エニックス、2000/8/26、7800円、43717本（3610451）|（2000/10/2〜10/8）","『エクストリーム・レーシングSSX』|PS2、エレクトロニックアーツ・スクウェア、32点(8/8/8/8)","●―"
"621","PS 9810|PS2 22359|DC 3991|N64 3659|GBC 17627|NGP 1134|WS 2557|ps 6714","『MotoGP』|PS2、ナムコ、2000/10/12、6800円、54562本（初）|（2000/10/9〜10/15）","『ダンスサミット2001　バスト・ア・ムーブ』|PS2、エニックス、34点(8/9/8/9)","●―"
"622","PS 8990|PS2 20145|DC 2921|N64 2262|GBC 16349|NGP 504|WS 1393|ps 5883","『パーフェクトダーク』|N64、任天堂、2000/10/21、5800円、34912本（初）|（2000/10/16〜10/22）","『カスタムロボV2』|N64、任天堂、32点(8/8/8/8)","●―"
"623","PS 7259|PS2 18444|DC 2839|N64 2020|GBC 15544|NGP 1138|WS 1734|ps 6770","『ハンター×ハンター〜幻のグリードアイランド〜』|PS、コナミ、2000/10/26、オープン価格、44750本（初）|（2000/10/23〜10/29）","『天空のレストラン』|PS、メディアファクトリー、34点(9/8/8/9)","●―"
"624","PS 8728|PS2 21813|DC 3475|N64 2787|GBC 16663|NGP 1367|WS 1474|ps 7684","『マリオテニスGB』|GB、任天堂、2000/11/1、3800円、108870本（初）|（2000/10/30〜11/5）","『罪と罰〜地球の継承者〜』|N64、任天堂、35点(8/9/9/9)","●―"
"625","PS 5893|PS2 18685|DC 2481|N64 2269|GBC 21438|NGP 1279|WS 1098|ps 6375","『テイルズオブファンタジア　なりきりダンジョン』|GB、ナムコ、2000/11/10、4500円、64242本（初）|（2000/11/6〜11/12）","『バンジョーとカズーイの大冒険2』|N64、任天堂、33点(8/8/8/9)|『テイルズオブエターニア』|PS、ナムコ、33点(9/8/8/8)","●―"
"626","PS 5462|PS2 13392|DC 1948|N64 2764|GBC 18659|NGP 967|WS 951|ps 5213","『真・女神転生デビルチルドレン　黒の書／赤の書』|GB、アトラス、2000/11/17、各4300円、52407本（初）|（2000/11/13〜11/19）","『燃えろ！ジャスティス学園』|DC、カプコン、33点(8/8/9/8)","●―"
"627","PS 5413|PS2 8136|DC 2081|N64 1720|GBC 18423|NGP 1116|WS 181|ps 4653","『真・女神転生デビルチルドレン　黒の書／赤の書』|GB、アトラス、2000/11/17、各4300円、32331本（84738）|（2000/11/20〜11/26）","『はじめの一歩VICTORIOUS BOXERS』|PS2、ESP、33点(8/9/8/8)","●―"
"628","PS 6820|PS2 3306|DC 2932|N64 3056|GBC 25354|NGP 989|WS 801|ps 9064","『テイルズオブエターニア』|PS、ナムコ、2000/11/30、6800円、384790本（初）|（2000/11/27〜12/3）","『ファンタシースターオンライン』|DC、セガ、37点(9/9/9/10)","●―"
"630|※","PS 9097|PS2 24900|DC 3254|N64 4362|GBC 71868|NGP 1392|WS 1005|WSC 145975|ps 8707","『遊☆戯☆王デュエルモンスターズ4　最強決着者戦記（海馬デッキ／城之内デッキ／遊戯デッキ）』|GB、コナミ、2000/12/7、各4800円、1228599本（初）|（2000/12/4〜12/10）","『ゲームボーイドラゴンクエストIIIそして伝説へ・・・』|GB、エニックス、30点(8/8/7/7)","●新コーナー「ファミキング」開始|●ワンダースワンカラー発売"
"631","PS 9860|PS2 41691|DC 3946|N64 7887|GBC 72396|NGP 2220|WS 1278|WSC 50927|ps 7597","『ポケットモンスタークリスタルバージョン』|GB、任天堂、2000/12/14、3800円、707580本（初）|（2000/12/11〜12/17）","『CRAZY BUMP'S〜かっとびカーバトル！〜』|PS2、シスコンエンタテイメント、28点(7/6/7/8)|『探しに行こうよ』|PS2、SCE、28点(7/7/7/7)","●―"
"632","PS 21723|PS2 95053|DC 14005|N64 26831|GBC 196369|NGP 3681|WS 2311|WSC 62209|ps 19157|（2週分）","『ポケットモンスタークリスタルバージョン』|GB、任天堂、2000/12/14、3800円、358223本（1065804）|（2000/12/18〜12/31）","『マッデンNFLスーパーボウル2001』|PS2、エレクトロニックアーツ・スクウェア、35点(9/9/8/9)","●―"
"633","PS 19807|PS2 79034|DC 13458|N64 13289|GBC 97668|NGP 1406|WSC 43642|ps 22320","『遊☆戯☆王デュエルモンスターズ4　最強決着者戦記（海馬デッキ／城之内デッキ／遊戯デッキ）』|GB、コナミ、2000/12/7、各4800円、141325本（1810633）|（2001/1/1〜1/7）","『鬼武者』|PS2、カプコン、35点(9/9/9/8)","●―"
"634","PS 9344|PS2 28829|DC 6404|N64 3785|GBC 37198|NGP 1339|WSC 5363|ps 11882","『「スペースヴィーナス」starringモーニング娘。』|PS2、SME、2001/1/11、5800円、63720本（初）|（2001/1/8〜1/14）","『三國志VII』|PS、コーエー、30点(8/8/7/7)","●―"
