"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"1001","DSL 73863|PSP 61485|GBASP 175|GBM 303|Wii 79073|PS3 29468|PS2 11038|XB360 4195","『Wii Fit』|Wii、任天堂、2007/12/1、8800円、95674本（1209300）|（2008/1/21〜2008/1/27）","『ときめきメモリアル　ガールズサイドセカンドシーズン』|DS、KONAMI、32点(8/8/8/8)","●表紙イラストは野村哲也氏"
"1002","DSL 65488|PSP 50331|GBM 335|GBASP 197|Wii 105570|PS3 36087|PS2 10854|XB360 5804","『大乱闘スマッシュブラザーズX』|Wii、任天堂、2008/1/31、6800円、816198本（初）|（2008/1/28〜2008/2/3）","『BIOSHOCK（バイオショック）』|XB360、スパイク、37点(10/9/9/9)","●表紙イラストは江口寿史氏"
"1003","DSL 57134|PSP 71689|GBM 590|GBASP 126|Wii 83419|PS3 21478|PS2 9785|XB360 2878","『大乱闘スマッシュブラザーズX』|Wii、任天堂、2008/1/31、6800円、266146本（1082344）|（2008/2/4〜2008/2/10）","『ソーマブリンガー』|DS、任天堂、32点(8/8/8/8)","●―"
"1004","DSL 59344|PSP 50754|GBM 570|GBASP 161|Wii 79564|PS3 18312|PS2 10198|XB360 2978","『大乱闘スマッシュブラザーズX』|Wii、任天堂、2008/1/31、6800円、165288本（1247632）|（2008/2/11〜2008/2/17）","『龍が如く　見参！』|PS3、セガ、37点(10/9/9/9)","●付録に「ゲームメーカー年鑑2007」"
"1005","DSL 48322|PSP 50796|GBM 334|GBASP 164|Wii 63074|PS3 13254|PS2 7811|XB360 2419","『世界樹の迷宮II　諸王の聖杯』|DS、アトラス、2008/2/21、5229円、85555本（初）|（2008/2/18〜2008/2/24）","『スケート』|PS3、エレクトロニック・アーツ、31点(8/8/7/8)|『スケート』|XB360、エレクトロニック・アーツ、31点(8/8/7/8)","●―"
"1006","DSL 50494|PSP 77962|GBM 387|GBASP 188|Wii 65157|PS3 13893|PS2 9931|XB360 2714","『ガンダム無双Special』|PS2、バンダイナムコゲームス、2008/2/28、6800円、148128本（初）|（2008/2/25〜2008/3/2）","『シムシティDS2〜古代から未来へ続くまち〜』|DS、エレクトロニック・アーツ、33点(8/9/8/8)","●―"
"1007","DSL 45371|PSP 65596|GBM 356|GBASP 125|Wii 51242|PS3 21413|PS2 8795|XB360 2505","『龍が如く　見参！』|PS3、セガ、2008/3/6、7980円、177897本（初）|（2008/3/3〜2008/3/9）","『モンスターハンターポータブル2ndG』|PSP、カプコン、36点(9/9/9/9)","●PS2『ペルソナ4』の映像DVDが付属"
"1008","DSL 47021|PSP 66420|GBM 444|GBASP 188|Wii 50948|PS3 17835|PS2 9178|XB360 2518","『DS美文字トレーニング』|DS、任天堂、2008/3/13、3800円、70883本（初）|（2008/3/10〜2008/3/16）","『プロ野球スピリッツ5』|PS3、KONAMI、35点(9/8/9/9)","●カプコン25周年記念の映像DVDが付属"
"1009","DSL 55543|PSP 66092|GBM 537|GBASP 225|Wii 49534|PS3 15904|PS2 9044|XB360 2623","『ポケモンレンジャー　バトナージ』|DS、ポケモン、2008/3/20、4800円、243271本（初）|（2008/3/17〜2008/3/23）","『マリオカートWii』|Wii、任天堂、37点(10/9/9/9)","●―"
"1010","DSL 56695|PSP 139345|GBM 589|GBASP 238|Wii 48661|PS3 12534|PS2 9763|XB360 2767","『モンスターハンターポータブル2ndG』|PSP、カプコン、2008/3/27、4800円、823265本（初）|（2008/3/24〜2008/3/30）","『ぼくらはカセキホリダー』|DS、任天堂、32点(8/8/7/9)","●―"
"1011","DSL 52092|PSP 113210|Wii 45749|PS3 10622|PS2 10324|XB360 2311","『モンスターハンターポータブル2ndG』|PSP、カプコン、2008/3/27、4800円、552701本（1375966）|（2008/3/31〜2008/4/6）","『戦場のヴァルキュリア』|PS3、セガ、34点(8/9/9/8)","●―"
"1013|※","DSL 40896|PSP 89794|Wii 50155|PS3 8378|PS2 8194|XB360 2242","『マリオカートWii』|Wii、任天堂、2008/4/10、5800円、608147本（初）|（2008/4/7〜2008/4/13）","『ニッポンのあそこで』|PSP、SCE、31点(9/8/7/6)","●―"
"1014","DSL 37371|PSP 78947|Wii 42089|PS3 8176|PS2 8043|XB360 1769","『マリオカートWii』|Wii、任天堂、2008/4/10、5800円、200782本（808929）|（2008/4/14〜2008/4/20）","『The Darkness（ザ・ダークネス）』|XB360、スパイク、30点(8/8/7/7)","●―"
"1015","DSL 85912|PSP 186684|Wii 114917|PS3 21642|PS2 17009|XB360 3990|（2週分）","『マリオカートWii』|Wii、任天堂、2008/4/10、5800円、320953本（1129882）|（2008/4/21〜2008/5/4）","『HAZE（ヘイズ）』|PS3、スパイク、34点(9/8/9/8)|『オレンジボックス』|XB360、エレクトロニック・アーツ、34点(9/7/9/9)","●―"
"1016","DSL 47965|PSP 73299|Wii 70540|PS3 8481|PS2 7983|XB360 1668","『マリオカートWii』|Wii、任天堂、2008/4/10、5800円、119490本（1249372）|（2008/5/5〜2008/5/11）","『実況パワフルプロ野球ポータブル3』|PSP、KONAMI、33点(9/8/8/8)","●―"
"1017","DSL 33713|PSP 55752|Wii 40014|PS3 6949|PS2 5741|XB360 1402","『マリオカートWii』|Wii、任天堂、2008/4/10、5800円、58452本（1307824）|（2008/5/12〜2008/5/18）","『不思議のダンジョン風来のシレン3〜からくり屋敷の眠り姫〜』|Wii、セガ、35点(9/9/8/9)","●コラム「魂の叫び」連載終了"
"1018","DSL 35892|PSP 53931|Wii 43709|PS3 8102|PS2 6587|XB360 1694","『プロ野球チームをつくろう！』|DS、セガ、2008/5/22、5040円、60266本（初）|（2008/5/19〜2008/5/25）","『メタルギアソリッド4　ガンズ・オブ・ザ・パトリオット』|PS3、KONAMI、40点(10/10/10/10)","●―"
"1019","DSL 36694|PSP 54755|Wii 45390|PS3 8666|PS2 6558|XB360 1743","『実況パワフルプロ野球ポータブル3』|PSP、KONAMI、2008/5/29、5250円、109436本（初）|（2008/5/26〜2008/6/1）","『遥かなる時空の中で4』|Wii、コーエー、31点(8/8/7/8)|『遥かなる時空の中で4』|PS2、コーエー、31点(8/8/7/8)","●―"
"1020","DSL 32812|PSP 52721|Wii 42322|PS3 10109|PS2 5804|XB360 2059","『ドラゴンボールZ　バーストリミット』|PS3、バンダイナムコゲームス、2008/6/5、7800円、82010本（初）|（2008/6/2〜2008/6/8）","『大合奏！バンドブラザーズDX』|DS、任天堂、37点(9/9/9/10)","●―"
"1021","DSL 38435|PSP 56001|Wii 44339|PS3 77208|PS2 7218|XB360 2066","『メタルギアソリッド4　ガンズ・オブ・ザ・パトリオット』|PS3、KONAMI、2008/6/12、8800円、476334本（初）|（2008/6/9〜2008/6/15）","『ナナシノゲエム』|DS、スクウェア・エニックス、30点(8/8/7/7)","●―"
