"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1101","DSL 12550|DSi 185822|PSP 78289|PSPgo 3235|Wii 208035|PS3 245406|PS2 3405|XB360 7114","『ファイナルファンタジーXIII』|PS3、スクウェア・エニックス、2009/12/17、9240円、1516532本（初）|（2009/12/14〜2009/12/20)","『キングダムハーツ バース バイ スリープ』|PSP、スクウェア・エニックス、37点(10/9/9/9)","●―"
"|1102","DSL 32985|DSi 454758|PSP 258875|PSPgo 9679|Wii 433865|PS3 263045|PS2 10222|XB360 13874|(2週分)","『Newスーパーマリオブラザーズ』|Wii、任天堂、2009/12/03、5800円、768574本（2740644）|（2009/12/21〜2010/01/03)","『戦場のヴァルキュリア2 ガリア王立士官学校』|PSP、セガ、35点(9/9/9/8)","●―"
"|1103","DSL 8370|DSi 106645|PSP 149155|PSPgo 3013|Wii 67297|PS3 61986|PS2 3693|XB360 8631","『キングダムハーツ バース バイ スリープ』|PSP、スクウェア・エニックス、2010/01/09、6090円、456453本（初）|（2010/01/04〜2010/01/10)","『WWE 2010 SmackDown vs. Raw』|PS3、THQジャパン、36点(9/9/9/9)|『WWE 2010 SmackDown vs. Raw』|XB360、THQジャパン、36点(9/9/9/9)","●―"
"|1104","DSL 4874|DSi 60098|PSP 72713|PSPgo 2769|Wii 55472|PS3 37442|PS2 2455|XB360 3755","『キングダムハーツ バース バイ スリープ』|PSP、スクウェア・エニックス、2010/01/09、6090円、134070本（590523）|（2010/01/11〜2010/01/17)","『GOD EATER（ゴッドイーター）』|PSP、バンダイナムコゲームス、34点(9/9/8/8)","●―"
"|1105","DSL 5413|DSi 47956|PSP 50335|PSPgo 1787|Wii 40867|PS3 27132|PS2 1860|XB360 4110","『NewスーパーマリオブラザーズWii』|Wii、任天堂、2009/12/03、5800円、115704本（3118457）|（2010/01/18〜2010/01/24)","『ドラゴンクエストVI 幻の大地』|DS、スクウェア・エニックス、34点(9/9/8/8)|『クイズマジックアカデミーDS〜二つの時空石〜』|DS、KONAMI、34点(9/9/8/8)","●―"
"|1106","DSL 6998|DSi 71101|PSP 45773|PSPgo 1744|Wii 38912|PS3 32463|PS2 2286|XB360 5091","『ドラゴンクエストVI 幻の大地』|DS、スクウェア・エニックス、2010/01/28、5980円、909981本（初）|（2010/01/25〜2010/01/31)","『バイオハザード5 オルタナティブ エディション』|PS3、カプコン、37点(10/9/9/9)|『HEAVY RAIN（ヘビーレイン）-心の軋むとき-』|PS3、SCE、37点(10/9/8/10)","●―"
"|1107","DSL 4977|DSi 51216|PSP 41152|PSPgo 1508|Wii 30704|PS3 25648|PS2 1962|XB360 4250","『GOD EATER（ゴッドイーター）』|PSP、バンダイナムコゲームス、2010/02/04、5229円、276104本（初）|（2010/02/01〜2010/02/07)","『不思議のダンジョン 風来のシレン4 神の眼と悪魔のヘソ』|DS、スパイク、35点(9/9/8/9)|『金色のコルダ3』|PSP、コーエー、35点(9/9/9/8)","●―"
"|1108","DSL 4918|DSi 47949|PSP 38390|PSPgo 1529|Wii 31290|PS3 23391|PS2 1733|XB360 2241","『GOD EATER（ゴッドイーター）』|PSP、バンダイナムコゲームス、2010/02/04、5229円、104800本（380904）|（2010/02/08〜2010/02/14)","『ポケモンレンジャー 光の軌跡』|DS、ポケモン、36点(9/9/9/9)","●―"
"|1109","DSL 4012|DSi 43420|PSP 36012|PSPgo 1179|Wii 27253|PS3 29332|PS2 1907|XB360 2405","『バイオハザード5 オルタナティブ エディション』|PS3、カプコン、2010/02/18、4990円、140175本（初）|（2010/02/15〜2010/02/21)","『真・三國無双 MULTI RAID（マルチレイド）2』|PSP、コーエー、33点(9/8/8/8)|『グランド・セフト・オート：チャイナタウン・ウォーズ』|PSP、サイバーフロント、33点(8/9/8/8)|『勇者のくせになまいきだ：3D』|PSP、SCE、33点(8/9/8/8)","●―"
"|1110","DSL 3875|DSi 44240|PSP 39463|PSPgo 1278|Wii 28029|PS3 25839|PS2 2087|XB360 4794","『無限のフロンティアEXCEED スーパーロボット大戦OGサーガ』|DS、バンダイナムコゲームス、2010/02/25、6279円、78773本（初）|（2010/02/22〜2010/02/28)","『龍が如く4 伝説を継ぐもの』|PS3、セガ、38点(9/10/10/9)","●―"
"|1111","DSL 4125|DSi 43823|PSP 63548|PSPgo 1257|Wii 31880|PS3 28306|PS2 1828|XB360 3247","『ポケモンレンジャー 光の軌跡』|DS、ポケモン、2010/03/06、4800円、166107本（初）|（2010/03/01〜2010/03/07)","『ゴッド・オブ・ウォーIII』|PS3、SCE、38点(10/9/9/10)","●―"
"|1112","DSL 3551|DSi 38256|PSP 43068|PSPgo 1010|Wii 29592|PS3 27027|PS2 1933|XB360 1974","『ポケモンレンジャー 光の軌跡』|DS、ポケモン、2010/03/06、4800円、68432本（234539）|（2010/03/08〜2010/03/14)","『世界樹の迷宮III 星海の来訪者』|DS、アトラス、35点(9/9/8/9)|『プロ野球スピリッツ2010』|PSP、KONAMI、35点(9/9/9/8)","●―"
"|1113","DSL 3835|DSi 35913|PSP 41483|PSPgo 1858|Wii 30074|PS3 42128|XB360 2758|PS2 1949","『龍が如く4 伝説を継ぐもの』|PS3、セガ、2010/03/18、7980円、395123本（初）|（2010/03/15〜2010/03/21)","『ユーディーのアトリエ〜グラムナートの錬金術士〜囚われの守人』|PSP、ガスト、28点(8/7/7/6)","●―"
"|1114","DSL 4259|DSi 41035|PSP 42530|PSPgo 1826|Wii 35810|PS3 45116|XB360 5280|PS2 2102","『北斗無双』|PS3、コーエーテクモゲームス、2010/03/25、8190円、385551本（初）|（2010/03/22〜2010/03/28)","『ノーモア★ヒーローズ 英雄たちの楽園』|PS3、マーベラスエンターテイメント、33点(9/8/8/8)|『ノーモア★ヒーローズ 英雄たちの楽園』|XB360、マーベラスエンターテイメント、33点(9/8/8/8)","●―"
"|1115","DSL 4266|DSi 38600|PSP 37552|PSPgo 1473|Wii 28772|PS3 37438|XB360 2170|PS2 1961","『世界樹の迷宮III 星海の来訪者』|DS、アトラス、2010/04/01、6279円、94462本（初）|（2010/03/29〜2010/04/04)","『NieR Replicant（ニーア レプリカント）』|PS3、スクウェア・エニックス、34点(10/8/8/8)|『NieR Gestalt（ニーア ゲシュタルト）』|XB360、スクウェア・エニックス、34点(10/8/8/8)","●―"
"|1116","DSL 3291|DSi 33891|PSP 31276|PSPgo 1082|Wii 25394|PS3 29336|XB360 2609|PS2 1747","『NewスーパーマリオブラザーズWii』|Wii、任天堂、2009/12/03、5800円、38684本（3675893）|（2010/04/05〜2010/04/11)","『メタルギア ソリッド ピースウォーカー』|PSP、KONAMI、40点(10/10/10/10)","●―"
