"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1238","DS 372|3DS 118786|PSP 11989|Vita 8203|Wii 41561|PS3 14544|XB360 605|PS2 430","『ドラゴンクエストX 目覚めし五つの種族 オンライン』|Wii、スクウェア・エニックス、2012/08/02、6980円、420311本（初）|（2012/07/30〜2012/08/05)","『初音ミク-プロジェクトディーヴァf-』|Vita、セガ、34点(9/8/9/8)","●特別定価390円"
"|1239","DS 754|3DS 216037|PSP 26259|Vita 19887|Wii 30721|PS3 32942|XB360 1149|PS2 1072|(2週分)","『Newスーパーマリオブラザーズ2』|3DS、任天堂、2012/07/28、4800円、298710本（942758）|（2012/08/06〜2012/08/19)","『ドラゴンクエストX 目覚めし五つの種族 オンライン』|Wii、スクウェア・エニックス、36点(9/9/9/9)","●特別定価390円"
"|1240","DS 311|3DS 64921|PSP 10676|Vita 9751|Wii 8476|PS3 12243|XB360 563|PS2 439","『Newスーパーマリオブラザーズ2』|3DS、任天堂、2012/07/28、4800円、71092本（1013850）|（2012/08/20〜2012/08/26)","『鉄拳タッグトーナメント2』|PS3、バンダイナムコゲームス、39点(10/9/10/10)|『鉄拳タッグトーナメント2』|XB360、バンダイナムコゲームス、39点(10/9/10/10)","●特別定価390円"
"|1241","DS 279|3DS 67926|PSP 10918|Vita 46877|Wii 8038|PS3 12846|XB360 525|PS2 411","『初音ミク-プロジェクトディーヴァ-f』|Vita、セガ、2012/08/30、7329円、158009本（初）|（2012/08/27〜2012/09/02)","『リトルビッグプラネット PlayStation Vita』|Vita、SCE、36点(9/9/9/9)","●定価380円"
"|1242","DS 237|3DS 57305|PSP 9434|Vita 11382|Wii 5493|PS3 12210|XB360 562|PS2 411","『Newスーパーマリオブラザーズ2』|3DS、任天堂、2012/07/28、4800円、35622本（1104500）|（2012/09/03〜2012/09/09)","『わがままファッション GIRLS MODE よくばり宣言！』|3DS、任天堂、38点(10/10/10/8)","●特別定価390円"
"|1243","DS 243|3DS 56970|PSP 9791|Vita 8684|Wii 5300|PS3 14455|XB360 502|PS2 389","『鉄拳タッグトーナメント2』|PS3、バンダイナムコゲームス、2012/09/13、7980円、68827本（初）|（2012/09/10〜2012/09/16)","『バイオハザード6』|PS3、カプコン、39点(10/10/10/9)|『バイオハザード6』|XB360、カプコン、39点(10/10/10/9)","●特別定価390円"
"|1244","DS 277|3DS 59199|PSP 14272|Vita 8219|Wii 5386|PS3 12034|XB360 630|PS2 367","『ファイナルファンタジーIII』|PSP、スクウェア・エニックス、2012/09/20、3990円、46307本（初）|（2012/09/17〜2012/09/23)","『ブレイブリーデフォルト』|3DS、スクウェア・エニックス、38点(10/9/9/10)","●特別定価390円"
"|1245","DS 202|3DS 77183|PSP 20954|Vita 12939|Wii 5041|PS3 9380|XB360 484|PS2 482","『SDガンダム ジージェネレーション オーバーワールド』|PSP、バンダイナムコゲームス、2012/09/27、6280円、202887本（初）|（2012/09/24〜2012/09/30)","『Dishonored（ディスオナード）』|PS3、ベセスダ・ソフトワークス、35点(9/8/9/9)|『Dishonored（ディスオナード）』|XB360、ベセスダ・ソフトワークス、35点(9/8/9/9)","●特別定価390円"
"|1246","DS 275|3DS 58233|PSP 16596|Vita 8118|Wii 4282|PS3 43870|XB360 4568|PS2 274","『バイオハザード6』|PS3、カプコン、2012/10/04、7990円、643802本（初）|（2012/10/01〜2012/10/07)","『FIFA13 ワールドクラスサッカー』|PS3、エレクトロニック・アーツ、37点(9/10/9/9)|『FIFA13 ワールドクラスサッカー』|XB360、エレクトロニック・アーツ、37点(9/10/9/9)|『ボーダーランズ2』|PS3、Take-Two Interactive Japan、37点(9/9/9/10)|『ボーダーランズ2』|XB360、Take-Two Interactive Japan、37点(9/9/9/10)","●特別定価400円"
"|1247","DS 159|3DS 78401|PSP 15107|Vita 7028|Wii 4238|PS3 28010|XB360 2151|PS2 286","『ブレイブリーデフォルト』|3DS、スクウェア・エニックス、2012/10/11、6090円、144909本（初）|（2012/10/08〜2012/10/14)","『テイルズ オブ エクシリア2』|PS3、バンダイナムコゲームス、35点(9/9/8/9)","●特別定価390円"
"|1248","DS 168|3DS 60033|PSP 15179|Vita 7031|Wii 3596|PS3 22306|XB360 1937|PS2 339","『ダンボール戦機W』|PSP、レベルファイブ、2012/10/18、4980円、84041本（初）|（2012/10/15〜2012/10/21)","『とびだせ どうぶつの森』|3DS、任天堂、39点(10/9/10/10)","●特別定価390円"
"|1249","DS 176|3DS 60079|PSP 14575|Vita 6093|Wii 3744|PS3 21470|XB360 1636|PS2 343","『アイドルマスター シャイニーフェスタ グルーヴィーチューン／ハニーサウンド／ファンキーノート』|PSP、バンダイナムコゲームス、2012/10/25、各5980円、96682本（初）|（2012/10/22〜2012/10/28)","『アサシンクリードIII』|PS3、ユービーアイソフト、38点(10/10/9/9)|『アサシンクリードIII』|XB360、ユービーアイソフト、38点(10/10/9/9)","●定価380円"
"|1250","DS 307|3DS 82644|PSP 13351|Vita 5368|Wii 3340|PS3 23106|XB360 1254|PS2 389","『テイルズ オブ エクシリア2』|PS3、バンダイナムコゲームス、2012/11/01、8380円、331533本（初）|（2012/10/29〜2012/11/04)","『ポケモン不思議のダンジョン〜マグナゲートと∞迷宮〜（むげんだいめいきゅう）』|3DS、ポケモン、38点(10/10/9/9)","●特別定価390円"
"|1251","DS 343|3DS 168662|PSP 11749|Vita 4263|Wii 3020|PS3 19369|XB360 2592|PS2 457","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、721786本（初）|（2012/11/05〜2012/11/11)","『レイトン教授VS逆転裁判』|3DS、レベルファイブ、35点(9/9/9/8)|『第2次スーパーロボット大戦OG』|PS3、バンダイナムコゲームス、35点(9/8/9/9)|『ダークサイダーズ2』|PS3、スパイク・チュンソフト、35点(9/8/9/9)|『ダークサイダーズ2』|XB360、スパイク・チュンソフト、35点(9/8/9/9)","●特別定価390円"
"|1252","DS 173|3DS 170559|PSP 11197|Vita 12019|Wii 3095|PS3 18213|XB360 1739|PS2 354","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、315317本（1037103）|（2012/11/12〜2012/11/18)","『龍が如く5 夢、叶えし者』|PS3、セガ、40点(10/10/10/10)","●定価380円"
"|1253","DS 227|3DS 158527|PSP 16197|Vita 9246|Wii 4009|PS3 34836|XB360 1667|PS2 434","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、237823本（1274926）|（2012/11/19〜2012/11/25)","『鉄拳タッグトーナメント2 Wii Uエディション』|WiiU、バンダイナムコゲームス、37点(9/10/9/9)|『アサシンクリードIII』|WiiU、ユービーアイソフト、37点(9/10/9/9)","●特別定価420円"
"|1254","DS 337|3DS 154654|PSP 14248|Vita 9830|Wii 4708|PS3 31510|XB360 1403|PS2 429","『第2次スーパーロボット大戦OG』|PS3、バンダイナムコゲームス、2012/11/29、8379円、206417本（初）|（2012/11/26〜2012/12/02)","『コールオブデューティ ブラックオプスII（吹き替え版）』|WiiU、スクウェア・エニックス、37点(9/9/10/9)|『真・北斗無双』|PS3、コーエーテクモゲームス、37点(9/9/9/10)|『真・北斗無双』|XB360、コーエーテクモゲームス、37点(9/9/9/10)","●特別定価390円"
"|1255※","3DS 219103|PSP 17379|Vita 10348|Wii 6811|WiiU 308570|PS3 37636|XB360 1288|PS2 493","『龍が如く5 夢、叶えし者』|PS3、セガ、2012/12/06、8800円、363717本（初）|（2012/12/03〜2012/12/09)","『ファンタジーライフ』|3DS、レベルファイブ、35点(9/9/8/9)","●特別定価420円|●WiiU発売"
"|1257","3DS 333409|PSP 28779|Vita 13590|Wii 12211|WiiU 130653|PS3 46111|XB360 1106|PS2 824","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、213329本（1722709）|（2012/12/10〜2012/12/16)","『ホワイトアルバム2 幸せの向こう側』|PS3、アクアプラス、37点(10/9/9/9)","●特別定価450円"
"|1258","3DS 433788|PSP 58378|Vita 19056|Wii 16785|WiiU 122356|PS3 50216|XB360 1336|PS2 539","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、400320本（2123029）|（2012/12/17〜2012/12/23)","『リトルビッグプッラネット カーティング』|PS3、SCE、34点(8/8/9/9)|『ディーエムシー デビルメイクライ』|PS3、カプコン、34点(8/9/8/9)|『ディーエムシー デビルメイクライ』|XB360、カプコン、34点(8/9/8/9)","●特別定価390円"
"|1259","3DS 572480|PSP 87299|Vita 49104|Wii 13508|WiiU 147422|PS3 118941|XB360 3549|PS2 2312|(2週分)","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、299919本（2422948）|（2012/12/24〜2013/01/06)","『ヒットマン アブソリューション』|PS3、スクウェア・エニックス、36点(9/9/9/9)|『ヒットマン アブソリューション』|XB360、スクウェア・エニックス、36点(9/9/9/9)","●特別定価390円"
"|1260","3DS 105112|PSP 18084|Vita 10131|Wii 2092|WiiU 21489|PS3 21445|XB360 578|PS2 562","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、86926本（2509874）|（2013/01/07〜2013/01/13)","『真・北斗無双』|WiiU、コーエーテクモゲームス、35点(9/9/8/9)","●特別定価390円"
"|1261","3DS 90114|PSP 16625|Vita 8597|Wii 1918|WiiU 16635|PS3 19042|XB360 527|PS2 385","『ディーエムシー デビルメイクライ』|PS3、カプコン、2013/01/17、6990円、115438本（初）|（2013/01/14〜2013/01/20)","『三國志12』|Vita、コーエーテクモゲームス、30点(8/8/7/7)|『HEROS' VS（ヒーローズ バーサス）』|PSP、バンダイナムコゲームス、30点(8/8/7/7)","●定価380円"
"|1262","3DS 79793|PSP 14058|Vita 8495|Wii 2170|WiiU 12335|PS3 17242|XB360 511|PS2 381","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、83226本（2690908）|（2013/01/21〜2013/01/27)","『ドラゴンクエストVII エデンの戦士たち』|3DS、スクウェア・エニックス、35点(9/9/8/9)","●定価380円"
"|1263","3DS 82255|PSP 13235|Vita 8266|Wii 1868|WiiU 11714|PS3 16346|XB360 530|PS2 329","『とびだせ どうぶつの森』|3DS、任天堂、2012/11/08、4800円、76039本（2766947）|（2013/01/28〜2013/02/03)","『メタルギアライジング リベンジェンス』|PS3、KONAMI、39点(9/10/10/10)","●定価380円"
"|1264","3DS 141581|PSP 11321|Vita 7379|Wii 1866|WiiU 11092|PS3 14149|XB360 490|PS2 265","『ドラゴンクエストVII エデンの戦士たち』|3DS、スクウェア・エニックス、2013/02/07、6090円、836654本（初）|（2013/02/04〜2013/02/10)","『真・三國無双7』|PS3、コーエーテクモゲームス、36点(9/9/9/9)","●特別定価400円"
"|1265","3DS 101940|PSP 10287|Vita 7401|Wii 1719|WiiU 10167|PS3 13703|XB360 463|PS2 360","『ドラゴンクエストVII エデンの戦士たち』|3DS、スクウェア・エニックス、2013/02/07、6090円、170945本（1007599）|（2013/02/11〜2013/02/17)","『SOUL SACRIFICE（ソウル・サクリファイス）』|Vita、SCE、37点(10/9/9/9)","●特別定価420円"
"|1266","3DS 74184|PSP 9237|Vita 11669|Wii 1478|WiiU 9495|PS3 17015|XB360 449|PS2 244","『メタルギアライジング リベンジェンス』|PS3、KONAMI、2013/02/21、6980円、335791本（初）|（2013/02/18〜2013/02/24)","『ゴッド・オブ・ウォー：アセンション』|PS3、SCE、36点(9/9/9/9)","●特別定価420円"
"|1267","3DS 77105|PSP 11665|Vita 60561|Wii 2151|WiiU 9528|PS3 24661|XB360 282|PS2 265","『真・三國無双7』|PS3、コーエーテクモゲームス、2013/02/28、7560円、213338本（初）|（2013/02/25〜2013/03/03)","『ワンピース 海賊無双2』|PS3、バンダイナムコゲームス、37点(10/9/9/9)","●特別定価400円"
"|1268","3DS 60800|PSP 17954|Vita 61152|Wii 1742|WiiU 9089|PS3 19155|XB360 495|PS2 218","『初音ミク-プロジェクトディーヴァ-F』|PS3、セガ、2013/03/07、7329円、113722本（初）|（2013/03/04〜2013/03/10)","『Gears of War：Judgment（ギアーズオブウォー：ジャッジメント）』|XB360、日本マイクロソフト、37点(10/9/9/9)","●特別定価400円"
"|1269","3DS 69326|PSP 12569|Vita 36431|Wii 1603|WiiU 8567|PS3 20640|XB360 485|PS2 210","『キングダムハーツ-HD1.5リミックス-』|PS3、スクウェア・エニックス、2013/03/14、6980円、131940本（初）|（2013/03/11〜2013/03/17)","『NINJA GAIDEN3：Razor's Edge』|PS3、コーエーテクモゲームス、33点(9/9/8/7)|『NINJA GAIDEN3：Razor's Edge』|XB360、コーエーテクモゲームス、33点(9/9/8/7)","●特別定価420円"
"|1270","3DS 76043|PSP 11471|Vita 37883|Wii 1718|WiiU 10172|PS3 23927|XB360 485|PS2 156","『ルイージマンション2』|3DS、任天堂、2013/03/20、4800円、301080本（初）|（2013/03/18〜2013/03/24)","『カードファイト!!ヴァンガード ライドトゥビクトリー!!』|3DS、フリュー、31点(8/8/8/7)","●特別定価390円"
"|1271","3DS 67007|PSP 13569|Vita 33605|Wii 1743|WiiU 21502|PS3 19809|XB360 533|PS2 158","『ルイージマンション2』|3DS、任天堂、2013/03/20、4800円、102445本（403525）|（2013/03/25〜2013/03/31)","『NARUTO-ナルト-疾風伝 ナルティメットストーム3』|PS3、バンダイナムコゲームス、39点(10/10/10/9)|『NARUTO-ナルト-疾風伝 ナルティメットストーム3』|XB360、バンダイナムコゲームス、39点(10/10/10/9)","●定価380円"
"|1272","3DS 55006|PSP 8918|Vita 19879|Wii 1608|WiiU 14413|PS3 17871|XB360 497","『ルイージマンション2』|3DS、任天堂、2013/03/20、4800円、64046本（467571）|（2013/04/01〜2013/04/07)","『TOMB RAIDER（トゥームレイダー）』|PS3、スクウェア・エニックス、38点(10/10/9/9)|『TOMB RAIDER（トゥームレイダー）』|XB360、スクウェア・エニックス、38点(10/10/9/9)","●特別定価390円"
