"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1201","DS 1582|3DS 110088|PSP 30086|Wii 17912|PS3 30740|XB360 1238|PS2 639","『ゼルダの伝説 スカイウォードソード』|Wii、任天堂、2011/11/23、6800円、194894本（初）|（2011/11/21〜2011/11/27)","『ファイナルファンタジーXIII-2』|PS3、スクウェア・エニックス、40点(10/10/10/10)|『ファイナルファンタジーXIII-2』|XB360、スクウェア・エニックス、40点(10/10/10/10)","●特別定価400円"
"|1202","DS 1845|3DS 216350|PSP 31560|Wii 28164|PS3 40051|XB360 1239|PS2 778","『マリオカート7』|3DS、任天堂、2011/12/01、4800円、451932本（初）|（2011/11/28〜2011/12/04)","『イナズマイレブンGO シャイン／ダーク』|3DS、レベルファイブ、35点(9/9/8/9)|『実況パワフルプロ野球2011決定版』|PSP、KONAMI、35点(9/9/8/9)","●特別定価400円"
"|1203※","DS 2430|3DS 378114|PSP 47238|Wii 48275|PS3 43518|XB360 3317|PS2 926","『モンスターハンター3（トライ）G』|3DS、カプコン、2011/12/10、5800円、471055本（初）|（2011/12/05〜2011/12/11)","『真・三國無双NEXT』|Vita、コーエーテクモゲームス、35点(9/9/9/8)|『パワースマッシュ4』|Vita、セガ、35点(9/9/9/8)|『アンチャーテッド-地図なき冒険の始まり-』|Vita、SCE、35点(9/9/8/9)|『真かまいたちの夜 11人目の訪問者（サスペクト）』|Vita、チュンソフト、35点(9/9/9/8)","●特別定価420円"
"|1205","DS 3511|3DS 387838|PSP 63792|Vita 321407|Wii 60254|PS3 62272|XB360 2786|PS2 926","『ファイナルファンタジーXIII-2』|PS3、スクウェア・エニックス、2011/12/15、7980円、605660本（初）|（2011/12/12〜2011/12/18)","『心霊カメラ〜憑いてる手帳〜』|3DS、任天堂、35点(9/9/8/9)","●特別定価480円"
"|1206","DS 5001|3DS 510629|PSP 101370|Vita 81387|Wii 94468|PS3 71689|XB360 3649|PS2 1139","『マリオカート7』|3DS、任天堂、2011/12/01、4800円、277411本（1082391）|（2011/12/19〜2011/12/25)","『リズム怪盗R 皇帝ナポレオンの遺産』|3DS、セガ、32点(8/8/8/8)|『キキトリック』|Wii、任天堂、32点(8/8/8/8)","●特別定価390円"
"|1207","DS 5155|3DS 460982|PSP 126937|Vita 80213|Wii 78915|PS3 133457|XB360 4221|PS2 1584|(2週分)","『マリオカート7』|3DS、任天堂、2011/12/01、4800円、274059本（1356450）|（2011/12/26〜2012/01/08)","『バイオハザード リベレーションズ』|3DS、カプコン、39点(10/10/9/10)","●定価380円"
"|1208","DS 1078|3DS 101697|PSP 23942|Vita 15737|Wii 14216|PS3 31059|XB360 1247|PS2 517","『スーパーロボット大戦OGサーガ 魔装機神II REVELATION OF EVIL GOD』|PSP、バンダイナムコゲームス、2012/01/12、6280円、81214本（初）|（2012/01/09〜2012/01/15)","『ソウルキャリバーV』|PS3、バンダイナムコゲームス、37点(9/9/10/9)|『ソウルキャリバーV』|XB360、バンダイナムコゲームス、37点(9/9/10/9)","●特別定価390円"
"|1209","DS 862|3DS 77519|PSP 17874|Vita 13221|Wii 9701|PS3 23291|XB360 1311|PS2 396","『マリオカート7』|3DS、任天堂、2011/12/01、4800円、33806本（1443009）|（2012/01/16〜2012/01/22)","『GRAVITY DAZE/重力的眩暈：上層への帰還において、彼女の内宇宙に生じた摂動』|Vita、SCE、38点(10/9/9/10)","●定価380円"
"|1210","DS 883|3DS 81699|PSP 16939|Vita 17106|Wii 9884|PS3 23869|XB360 1137|PS2 564","『アーマード・コアV』|PS3、フロム・ソフトウェア、2012/01/26、7800円、170237本（初）|（2012/01/23〜2012/01/29)","『NEWラブプラス』|3DS、KONAMI、38点(10/10/9/9)","●特別定価390円"
"|1211","DS 817|3DS 69180|PSP 16558|Vita 14731|Wii 7023|PS3 23290|XB360 1007|PS2 349","『ソウルキャリバーV』|PS3、バンダイナムコゲームス、2012/02/02、8380円、47149本（初）|（2012/01/30〜2012/02/05)","『アスラズラース』|PS3、カプコン、38点(10/10/9/9)|『アスラズラース』|XB360、カプコン、38点(10/10/9/9)","●定価380円"
"|1212","DS 633|3DS 60231|PSP 15688|Vita 11856|Wii 7754|PS3 21830|XB360 889|PS2 313","『幻想水滸伝 紡がれし百年の時』|PSP、KONAMI、2012/02/09、5980円、59852本（初）|（2012/02/06〜2012/02/12)","『UFC Undisputed（アンディスピューテッド）3』|PS3、KONAMI、36点(9/9/9/9)|『UFC Undisputed（アンディスピューテッド）3』|XB360、KONAMI、36点(9/9/9/9)|『ワンピース 海賊無双』|PS3、バンダイナムコゲームス、36点(9/9/9/9)","●定価380円"
"|1213","DS 702|3DS 88909|PSP 15145|Vita 11004|Wii 6627|PS3 21036|XB360 765|PS2 427","『NEWラブプラス』|3DS、KONAMI、2012/02/14、6980円、110394本（初）|（2012/02/13〜2012/02/19)","『ストリートファイターX（クロス）鉄拳』|PS3、カプコン、35点(9/8/9/9)","●定価380円"
"|1214","DS 738|3DS 72032|PSP 15876|Vita 10511|Wii 6578|PS3 24476|XB360 1244|PS2 488","『牧場物語 はじまりの大地』|3DS、マーベラスAQL、2012/02/23、5040円、79809本（初）|（2012/02/20〜2012/02/26)","『マスエフェクト3』|PS3、エレクトロニック・アーツ、37点(10/9/9/9)|『マスエフェクト3』|XB360、エレクトロニック・アーツ、37点(10/9/9/9)","●特別定価390円"
"|1215","DS 623|3DS 71797|PSP 16375|Vita 10212|Wii 7046|PS3 65249|XB360 737|PS2 551","『ワンピース 海賊無双』|PS3、バンダイナムコゲームス、2012/03/01、8190円、627214本（初）|（2012/02/27〜2012/03/04)","『新・光神話パルテナの鏡』|3DS、任天堂、40点(10/10/10/10)","●定価380円"
"|1216","DS 575|3DS 63717|PSP 15621|Vita 10228|Wii 7621|PS3 33679|XB360 921|PS2 532","『ワンピース 海賊無双』|PS3、バンダイナムコゲームス、2012/03/01、8190円、89462本（716676）|（2012/03/05〜2012/03/11)","『キングダムハーツ3D [ドリームドロップディスタンス]』|3DS、スクウェア・エニックス、38点(10/9/10/9)","●特別定価400円"
"|1217","DS 655|3DS 63746|PSP 17721|Vita 11171|Wii 7218|PS3 28527|XB360 864|PS2 563","『ポケモン＋（プラス）ノブナガの野望』|DS、ポケモン、2012/03/17、5800円、177928本（初）|（2012/03/12〜2012/03/18)","『第2次スーパーロボット大戦Z 再生篇』|PSP、バンダイナムコゲームス、34点(9/9/8/8)","●特別定価420円"
"|1218","DS 837|3DS 94776|PSP 20380|Vita 10635|Wii 8878|PS3 26441|XB360 821|PS2 687","『新・光神話 パルテナの鏡』|3DS、任天堂、2012/03/22、5800円、144468本（初）|（2012/03/19〜2012/03/25)","『レイマン オリジン』|PS3、ユービーアイソフト、34点(8/8/9/9)","●特別定価350円"
"|1219","DS 717|3DS 118072|PSP 19966|Vita 11983|Wii 9134|PS3 24916|XB360 1026|PS2 662","『キングダムハーツ3D [ドリームドロップディスタンス]』|3DS、スクウェア・エニックス、2012/03/29、6090円、230189本（初）|（2012/03/26〜2012/04/01)","『ファイアーエムブレム 覚醒』|3DS、任天堂、36点(9/9/9/9)","●特別定価350円"
"|1220","DS 568|3DS 67613|PSP 16780|Vita 8283|Wii 6569|PS3 20775|XB360 2983|PS2 617","『第2次スーパーロボット大戦Z 再世篇』|PSP、バンダイナムコゲームス、2012/04/05、7330円、246114本（初）|（2012/04/02〜2012/04/08)","『コンセプション 俺の子供を産んでくれ！』|PSP、スパイク・チュンソフト、35点(9/9/9/8)","●特別定価390円"
"|1222※","DS 614|3DS 62653|PSP 15285|Vita 8157|Wii 5295|PS3 19975|XB360 1122|PS2 508","『第2次スーパーロボット大戦Z 再世篇』|PSP、バンダイナムコゲームス、2012/04/05、7330円、32937本（279051）|（2012/04/09〜2012/04/15)","『STARHAWK（スターホーク）』|PS3、SCE、33点(8/8/8/9)","●特別定価420円"
"|1223","DS 543|3DS 80561|PSP 12314|Vita 8058|Wii 6638|PS3 17354|XB360 760|PS2 475","『ファイアーエムブレム 覚醒』|3DS、任天堂、2012/04/19、4800円、262399本（初）|（2012/04/16〜2012/04/22)","『ペルソナ2 罰』|PSP、アトラス、31点(8/8/7/8)","●特別定価360円"
"|1224","DS 625/843|3DS 71282/88226|PSP 20355/19856|Vita 11167/9141|Wii 9207/15198|PS3 23372/26339|XB360 970/1293|PS2 568/738","『マリオパーティ9』|Wii、任天堂、2012/04/26、5800円、306293本（初）|（2012/04/23〜2012/05/06)","『マリオテニスオープン』|3DS、任天堂、35点(9/8/9/9)","●特別定価390円|●ハード販売はそれぞれ4/23〜29と4/30〜5/6の数字"
"|1225","DS 466|3DS 45063|PSP 11605|Vita 5849|Wii 6443|PS3 15272|XB360 758|PS2 493","『マリオパーティ9』|Wii、任天堂、2012/04/26、5800円、37948本（344241）|（2012/05/07〜2012/05/13)","『ドラゴンクエストモンスターズ テリーのワンダーランド3D』|3DS、スクウェア・エニックス、36点(10/9/9/8)","●特別定価390円"
"|1226","DS 368|3DS 41712|PSP 11570|Vita 5879|Wii 5958|PS3 13800|XB360 835|PS2 449","『俺の妹がこんなに可愛いわけがない ポータブルが続くわけがない』|PSP、バンダイナムコゲームス、2012/05/17、6280円、55417本（初）|（2012/05/14〜2012/05/20)","『機動戦士ガンダムSEED BATTLE DESTINY』|Vita、バンダイナムコゲームス、32点(8/8/8/8)|『TOKYO JUNGLE（トーキョージャングル）』|PS3、SCE、32点(8/8/8/8)","●特別定価390円"
"|1227","DS 362|3DS 51804|PSP 11813|Vita 6089|Wii 6486|PS3 16256|XB360 2493|PS2 387","『ドラゴンズドグマ』|PS3、カプコン、2012/05/24、7990円、302590本（初）|（2012/05/21〜2012/05/27)","『ロリポップチェーンソー/（PREMIUM EDITION）』|PS3、角川ゲームス、36点(9/9/9/9)|『ロリポップチェーンソー/（PREMIUM EDITION）』|XB360、角川ゲームス、36点(9/9/9/9)","●定価380円"
"|1228","DS 356|3DS 101718|PSP 11153|Vita 6413|Wii 6335|PS3 16404|XB360 2783|PS2 453","『ドラゴンクエストモンスターズ テリーのワンダーランド3D』|3DS、スクウェア・エニックス、2012/05/31、5490円、488508本（初）|（2012/05/28〜2012/06/03)","『重鉄騎』|XB360、カプコン、33点(9/8/8/8)","●定価380円"
"|1229","DS 332|3DS 61212|PSP 10385|Vita 12256|Wii 5760|PS3 15830|XB360 1321|PS2 395","『TOKYO JUNGLE（トーキョージャングル）』|PS3、SCE、2012/06/07、4980円、110185本（初）|（2012/06/04〜2012/06/10)","『ポケットモンスター ブラック2・ホワイト2』|DS、ポケモン、36点(10/9/9/8)","●特別定価400円"
"|1230","DS 387|3DS 56394|PSP 10327|Vita 31657|Wii 5381|PS3 15183|XB360 1107|PS2 496","『ペルソナ4 ザ・ゴールデン』|Vita、アトラス、2012/06/14、7329円、152499本（初）|（2012/06/11〜2012/06/17)","『MAX ANARCHY（マックスアナーキー）』|PS3、セガ、36点(9/9/9/9)|『MAX ANARCHY（マックスアナーキー）』|XB360、セガ、36点(9/9/9/9)","●特別定価400円"
"|1231","DS 500|3DS 66953|PSP 9868|Vita 12100|Wii 5713|PS3 13785|XB360 1194|PS2 403","『ポケットモンスター ブラック2・ホワイト2』|DS、ポケモン、2012/06/23、各4800円、1618621本（初）|（2012/06/18〜2012/06/24)","『タイムトラベラーズ』|3DS、レベルファイブ、36点(9/9/9/9)|『タイムトラベラーズ』|Vita、レベルファイブ、36点(9/9/9/9)","●定価380円"
"|1232","DS 657|3DS 65267|PSP 11461|Vita 22638|Wii 6880|PS3 16399|XB360 861|PS2 490","『ポケットモンスター ブラック2・ホワイト2』|DS、ポケモン、2012/06/23、各4800円、416850本（2035471）|（2012/06/25〜2012/07/01)","『実況パワフルプロ野球2012』|Vita、KONAMI、36点(9/9/9/9)|『タイムトラベラーズ』|PSP、レベルファイブ、36点(9/9/9/9)","●定価380円"
"|1233","DS 455|3DS 51930|PSP 10627|Vita 11544|Wii 6654|PS3 14297|XB360 711|PS2 474","『ポケットモンスター ブラック2・ホワイト2』|DS、ポケモン、2012/06/23、各4800円、181756本（2217227）|（2012/07/02〜2012/07/08)","『スーパーダンガンロンパ2 さよなら絶望学園』|PSP、スパイク・チュンソフト、37点(10/9/9/9)|『Newスーパーマリオブラザーズ2』|3DS、任天堂、36点(9/9/9/9)|『ペルソナ4 ジ・アルティメット イン マヨナカアリーナ』|PS3、アトラス、36点(9/9/9/9)|『ペルソナ4 ジ・アルティメット イン マヨナカアリーナ』|XB360、アトラス、36点(9/9/9/9)","●特別定価390円"
"|1234","DS 430|3DS 46633|PSP 11170|Vita 11388|Wii 6660|PS3 15218|XB360 686|PS2 451","『ポケットモンスター ブラック2・ホワイト2』|DS、ポケモン、2012/06/23、各4800円、113901本（2331128）|（2012/07/09〜2012/07/15)","『オール仮面ライダー ライダージェネレーション2』|DS、バンダイナムコゲームス、31点(8/8/8/7)|『オール仮面ライダー ライダージェネレーション2』|PSP、バンダイナムコゲームス、31点(8/8/8/7)","●特別定価450円"
"|1235","DS 545|3DS 44202|PSP 13199|Vita 10103|Wii 8729|PS3 16232|XB360 594|PS2 414","『星のカービィ 20周年スペシャルコレクション』|Wii、任天堂、2012/07/19、3800円、100396本（初）|（2012/07/16〜2012/07/22)","『スナイパーエリートV2』|PS3、ユービーアイソフト、32点(8/8/9/7)|『スナイパーエリートV2』|XB360、ユービーアイソフト、32点(8/8/9/7)","●特別定価390円"
"|1237※","DS 496|3DS 235974|PSP 14029|Vita 9081|Wii 10549|PS3 18160|XB360 632|PS2 439","『Newスーパーマリオブラザーズ2』|3DS、任天堂、2012/07/28、4800円、430185本（初）|（2012/07/23〜2012/07/29)","『ウィッチャー2』|XB360、スパイク・チュンソフト、36点(9/9/9/9)","●3DS LL発売(3DS LLのみの初週販売台数は19万3441台)|●特別定価450円"
