"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1401","3DS 2186|New3DS 25728|Vita 17996|WiiU 18133|PS3 2355|PS4 6793|XBOne 173","『ポケモン不思議のダンジョン』|3DS、ポケモン、2015/09/17、4700円(税別)、215347本（初）|（2015/09/21〜2015/09/27)","『Forza Motorsport 6』|XBOne、日本マイクロソフト、35点(8/9/9/9)","●特別定価440円|●ハード販売台数の集計期間は2015年9月21日〜9月27日まで"
"|1402","3DS 1890|New3DS 20688|Vita 16125|WiiU 11996|PS3 1881|PS4 43372|XBOne 218","『東京ザナドゥ』|Vita、日本ファルコム、2015/09/30、6480円(税別)、93288本（初）|（2015/09/28〜2015/10/04)","『ゼルダの伝説 トライフォース三銃士』|3DS、任天堂、34点(9/9/8/8)","●特別定価450円"
"|1403","3DS 1672|New3DS 20352|Vita 13850|WiiU 10895|PS3 1621|PS4 28597|XBOne 202","『スーパーマリオメーカー』|WiiU、任天堂、2015/09/10、5700円(税別)、25706本（336892）|（2015/10/05〜2015/10/11)","『GOD EATER RESURRECTION（ゴッドイーター リザレクション）』|Vita/PS4、バンダイナムコエンターテインメント、34点(9/8/8/9)","●特別定価460円"
"|1404","3DS 2199|New3DS 20803|Vita 14624|WiiU 10882|PS3 1640|PS4 25350|XBOne 356","『セブンスドラゴンIII code：VFD』|3DS、セガゲームス、2015/10/15、5990円(税別)、72411本（初）|（2015/10/12〜2015/10/18)","『FIFA 16』|PS4/PS3/XBOne/XB360、エレクトロニック・アーツ、35点(9/8/9/9)","●特別定価460円"
"|1405","3DS 1984|New3DS 17410|Vita 13516|WiiU 9349|PS3 1433|PS4 21562|XBOne 813","『ゼルダの伝説 トライフォース三銃士』|3DS、任天堂、2015/10/22、4700円(税別)、58594本（初）|（2015/10/19〜2015/10/25)","『アサシンクリード シンジケート』|PS4/XBOne、ユービーアイソフト、35点(8/9/9/9)","●特別定価440円"
"|1406","3DS 1387|New3DS 17180|Vita 14808|WiiU 8139|PS3 1476|PS4 20850|XBOne 405","『GOD EATER RESURRECTION（ゴッドイーター リザレクション）』|Vita、バンダイナムコエンターテインメント、2015/10/29、5210円(税別)、114994本（初）|（2015/10/26〜2015/11/01)","『Halo5：Guardians』|XBOne、日本マイクロソフト、38点(10/9/9/10)","●特別定価460円"
"|1407","3DS 1349|New3DS 26173|Vita 13824|WiiU 9268|PS3 1427|PS4 32593|XBOne 552","『コールオブデューティ ブラックオプスIII』|PS4、SCE、2015/11/06、7900円(税別)、147204本（初）|（2015/11/02〜2015/11/08)","『ネットハイ』|Vita、マーベラス、34点(9/8/9/8)","●特別定価460円"
"|1408","3DS 1408|New3DS 24274|Vita 12852|WiiU 14861|PS3 1523|PS4 27150|XBOne 445","『コールオブデューティ ブラックオプスIII』|PS4、SCE、2015/11/06、7900円(税別)、54452本（201656）|（2015/11/09〜2015/11/15)","『コールオブデューティ ブラックオプスIII』|PS4/XBOne、SCE/日本マイクロソフト、36点(9/9/8/10)|『Rise of the Tomb Raider』|XBOne/XB360、日本マイクロソフト、36点(9/9/9/9)|『モンスターハンタークロス』|3DS、カプコン、36点(9/9/9/9)|『Bloodborne The Old Hunters Edition(ブラッドボーン ジオールド ハンターズエディション)』|PS4、SCE、36点(9/9/9/9)","●特別定価480円"
"|1409","3DS 1586|New3DS 31617|Vita 12236|WiiU 13808|PS3 1241|PS4 26472|XBOne 550","『スターウォーズ バトルフロント』|PS4、エレクトロニック・アーツ、2015/11/19、7800円(税別)、107168本（初）|（2015/11/16〜2015/11/22)","『シュタインズ・ゲート ゼロ』|Vita/PS4/PS3、5pb.、35点(10/8/9/8)","●特別定価480円"
"|1410","3DS 4250|New3DS 129378|Vita 14279|WiiU 19120|PS3 1367|PS4 24516|XBOne 536","『モンスターハンタークロス』|3DS、カプコン、2015/11/28、5800円(税別)、1542104本（初）|（2015/11/23〜2015/11/29)","『アンジェリーク ルトゥール』|Vita/PSP、コーエーテクモゲームス、37点(10/8/10/9)","●特別定価480円"
"|1411","3DS 5969|New3DS 83407|Vita 20301|WiiU 24527|PS3 1545|PS4 34366|XBOne 226","『モンスターハンタークロス』|3DS、カプコン、2015/11/28、5800円(税別)、374682本（1916786）|（2015/11/30〜2015/12/06)","『Fallout4（フォールアウト4）』|PS4/XBOne、ベセスダ・ソフトワークス、38点(9/10/9/10)","●特別定価480円"
"||1413※","3DS 8486|New3DS 97622|Vita 31031|WiiU 47259|PS3 1903|PS4 40289|XBOne 234","『モンスターハンタークロス』|3DS、カプコン、2015/11/28、5800円(税別)、191324本（2108110）|（2015/12/07〜2015/12/13)","『幻影異聞録＃FE』|WiiU、任天堂、34点(8/9/9/8)","●特別定価500円"
