"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"919","PS2 24556|GC 929|XB360 1676|GBASP 3026|GBM 1158|PSP 27272|DS 1502|DSL 158890","『Newスーパーマリオブラザーズ』|DS、任天堂、2006/5/25、4800円、153047本（1950059）|（2006/6/26〜7/2）","『Touch！ボンバーマンランド』|DS、ハドソン、30点(7/8/8/7)","●―"
"920","PS2 20889|GC 919|XB360 1191|GBASP 2516|GBM 1260|PSP 30092|DS 1425|DSL 124639","『Newスーパーマリオブラザーズ』|DS、任天堂、2006/5/25、4800円、132375本（2082434）|（2006/7/3〜7/9）","『戦国BASARA2』|PS2、カプコン、34点(8/8/9/9)","●―"
"921","PS2 25085|GC 905|XB360 1020|GBASP 2723|GBM 1350|PSP 37386|DS 10536|DSL 117454","『実況パワフルプロ野球13』|PS2、KONAMI、2006/7/13、7329円、156384本（初）|（2006/7/10〜7/16）","『極魔界村』|PSP、カプコン、34点(9/8/8/9)","●―"
"922","PS2 27517|GC 1007|XB360 1317|GBASP 3201|GBM 1808|PSP 41303|DS 6963|DSL 247864","『Newスーパーマリオブラザーズ』|DS、任天堂、2006/5/25、4800円、146837本（2349491）|（2006/7/17〜7/23）","『スターフォックスコマンド』|DS、任天堂、32点(8/8/8/8)","●DS『おいでよどうぶつの森』が33週目で累計売上300万本突破"
"924|※","PS2 26683|GC 959|XB360 1513|GBASP 3168|GBM 1562|PSP 41571|DS 1769|DSL 154291","『たまごっちのプチプチおみせっち　ごひーきに』|DS、バンダイナムコゲームス、2006/7/27、5040円、181549本（初）|（2006/7/24〜7/30）","『ファイナルファンタジーIII』|DS、スクウェア・エニックス、34点(9/8/9/8)","●―"
"925","PS2 23302|GC 893|XB360 1182|GBASP 2680|GBM 2039|PSP 44262|DS 793|DSL 155899","『SDガンダムGジェネレーションポータブル』|PSP、バンダイナムコゲームス、2006/8/3、5040円、149237本（初）|（2006/7/31〜8/6）","『リズム天国』|GBA、任天堂、34点(9/7/9/9)","●―"
"926","PS2 57899|GC 1960|XB360 2542|GBASP 6492|GBM 5069|PSP 85083|DS 1855|DSL 249331|（2週分）","『Newスーパーマリオブラザーズ』|DS、任天堂、2006/5/25、4800円、235326本（2802296）|（2006/8/7〜8/20）","『ファンタシースターユニバース』|PS2、セガ、35点(9/9/8/9)","●―"
"927","PS2 23082|GC 754|XB360 1004|GBASP 2538|GBM 1705|PSP 30741|DS 787|DSL 176855","『ファイナルファンタジーIII』|DS、スクウェア・エニックス、2006/8/24、5980円、501701本（初）|（2006/8/21〜8/27）","『みんなのテニス』|PS2、SCE、32点(8/8/8/8)|『リッジレーサーズ2』|PSP、バンダイナムコゲームス、32点(7/8/8/9)","●―"
"928","PS2 23290|GC 901|XB360 1047|GBASP 2607|GBM 2105|PSP 30462|DS 819|DSL 230081","『ファンタシースターユニバース』|PS2、セガ、2006/8/31、7140円、129155本（初）|（2006/8/28〜9/3）","『メタルギアソリッド　バンドデシネ』|PSP、KONAMI、30点(8/7/7/8)","●―"
"929","PS2 20135|GC 721|XB360 911|GBASP 2061|GBM 1594|PSP 27812|DS 1905|DSL 142812","『テイルズオブファンタジア-フルボイスエディション-』|PSP、バンダイナムコゲームス、2006/9/7、5040円、65417本（初）|（2006/9/4〜9/10）","『デッドライジング』|XB360、カプコン、35点(9/9/8/9)|『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、35点（9/8/9/9）","●Wiiの発売日（12月2日）と価格（2万5000円）が発表"
"930","PS2 31927|GC 662|XB360 854|GBASP 1989|GBM 1226|PSP 26587|DS 1300|DSL 138853","『みんなのテニス』|PS2、SCE、2006/9/14、4800円、210392本（初）|（2006/9/11〜9/17）","『トゥームレイダー：レジェンド』|XB360、スパイク、33点(9/9/8/7)","●PS2が1万6000円に値下げ"
"931","PS2 31456|GC 721|XB360 1039|GBASP 2201|GBM 1168|PSP 23602|DS 904|DSL 157346","『みんなのテニス』|PS2、SCE、2006/9/14、4800円、92016本（302408）|（2006/9/18〜9/24）","『ファイナルファンタジーVアドバンス』|GBA、スクウェア・エニックス、32点(8/8/8/8)","●―"
"932","PS2 30765|GC 505|XB360 2016|GBASP 1606|GBM 1142|PSP 24872|DS 858|DSL 292080","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、1586360本（初）|（2006/9/25〜10/1）","『激闘！カスタムロボ』|DS、任天堂、31点(8/8/7/8)|『音をつなごう！グンペイりば〜す♪』|DS、バンダイナムコゲームス、31点(8/7/8/8)","●―"
"933","PS2 27441|GC 609|XB360 1632|GBASP 1396|GBM 1292|PSP 22002|DS 894|DSL 126445","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、433793本（2020153）|（2006/10/2〜10/8）","『エースコンバットX　スカイズ・オブ・デセプション』|PSP、バンダイナムコゲームス、33点(9/9/7/8)","●―"
"934","PS2 27030|GC 854|XB360 1266|GBASP 2626|GBM 2069|PSP 21998|DS 1015|DSL 115976","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、291178本（2311331）|（2006/10/9〜10/15）","『レゴ　スター・ウォーズII』|PS2、エレクトロニック・アーツ、31点(9/8/7/7)|『星のカービィ　参上！ドロッチェ団』|DS、任天堂、31点(8/8/7/8)","●―"
"935","PS2 20297|GC 589|XB360 1236|GBASP 2214|GBM 1543|PSP 22269|DS 604|DSL 143155","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、231627本（2542958）|（2006/10/16〜10/22）","『リッジレーサー7』|PS3、バンダイナムコゲームス、36点(9/9/9/9)","●―"
