"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1312","3DS 65657|PSP 4725|Vita 31382|Wii 382|WiiU 14029|PS3 14869|XB360 451","『星のカービィ トリプルデラックス』|3DS、任天堂、2014/01/11、4800円、225448本（初）|（2014/01/06〜2014/01/12)","『Diablo III』|PS3、スクウェア・エニックス、38点(10/9/9/10)","●特別定価390円"
"|1313","3DS 50044|PSP 3826|Vita 24519|Wii 397|WiiU 11036|PS3 13280|XB360 413","『星のカービィ トリプルデラックス』|3DS、任天堂、2014/01/11、4800円、85007本（310455）|（2014/01/13〜2014/01/19)","『ドラゴンクエストモンスターズ2 イルとルカの不思議なふしぎな鍵』|3DS、スクウェア・エニックス、37点(10/9/9/9)","●特別定価390円"
"|1314","3DS 39484|PSP 3455|Vita 21952|Wii 394|WiiU 9461|PS3 14268|XB360 378","『戦国BASARA4』|PS3、カプコン、2014/01/23、6990円、157326本（初）|（2014/01/20〜2014/01/26)","『ドンキーコング トロピカルフリーズ』|WiiU、任天堂、35点(9/8/9/9)","●特別定価390円"
"|1315","3DS 39285|PSP 3133|Vita 21061|Wii 349|WiiU 8679|PS3 15016|XB360 229","『機動戦士ガンダム エクストリームバーサス フルブースト』|PS3、バンダイナムコゲームス、2014/01/30、7980円、266297本（初）|（2014/01/27〜2014/02/02)","『龍が如く 維新！』|PS4、セガ、39点(9/10/10/10)","●特別定価390円"
"|1316","3DS 49119|PSP 2727|Vita 16544|Wii 228|WiiU 8605|PS3 10645|XB360 224","『ドラゴンクエストモンスターズ2 イルとルカの不思議なふしぎな鍵』|3DS、スクウェア・エニックス、2014/02/06、5490円、437077本（初）|（2014/02/03〜2014/02/09)","『幕末Rock』|PSP、マーベラスAQL、35点(9/9/8/9)","●特別定価450円"
"|1317","3DS 41012|PSP 3055|Vita 17231|Wii 193|WiiU 8706|PS3 11261|XB360 367","『ドラゴンクエストモンスターズ2 イルとルカの不思議なふしぎな鍵』|3DS、スクウェア・エニックス、2014/02/06、5490円、108650本（545727）|（2014/02/10〜2014/02/16)","『SOUL SACRIFICE DELTA(ソウル・サクリファイス デルタ)』|Vita、SCE、37点(10/9/9/9)","●特別定価390円"
"|1318","3DS 30284|PSP 2548|Vita 16363|Wii 148|WiiU 8129|PS3 9546|PS4 322083|XB360 239","『KNACK（ナック）』|PS4、SCE、2014/02/22、5145円、322083本（初）|（2014/02/17〜2014/02/23)","『DARK SOULS II（ダークソウルII）』|PS3、フロム・ソフトウェア、37点(9/10/9/9)|『DARK SOULS II（ダークソウルII）』|XB360、フロム・ソフトウェア、37点(9/10/9/9)","●特別定価400円|●PS4が発売"
"|1319","3DS 35899|PSP 3173|Vita 21460|Wii 136|WiiU 8515|PS3 12116|PS4 52697|XB360 160","『牧場物語 つながる新天地』|3DS、マーベラスAQL、2014/02/27、5040円、116922本（初）|（2014/02/24〜2014/03/02)","『バトルフィールド4』|PS4、エレトロニック・アーツ、38点(10/10/9/9)|『メタルギアソリッドV グラウンド・ゼロズ』|PS4/PS3/XB360、KONAMI、38点(10/9/9/10)","●特別定価420円"
"|1320","3DS 30916|PSP 2989|Vita 30709|Wii 133|WiiU 8128|PS3 10772|PS4 30766|XB360 206","『SOUL SACRIFICE DELTA(ソウル・サクリファイス デルタ)』|Vita、SCE、2014/03/06、4980円、47101本（初）|（2014/03/03〜2014/03/09)","『NEWラブプラス＋』|3DS、KONAMI、37点(10/9/9/9)|『初音ミク-プロジェクトディーヴァ-F 2nd』|Vita、セガ、37点(10/9/9/9)","●特別定価400円"
"|1321","3DS 29248|PSP 3184|Vita 28761|Wii 119|WiiU 7297|PS3 13529|PS4 28864|XB360 278","『DARK SOULS II（ダークソウルII）』|PS3、フロム・ソフトウェア、2014/03/13、7429円(税別)、256701本（初）|（2014/03/10〜2014/03/16)","（クロスレビューなし）","●特別定価400円"
"|1322","3DS 34828|PSP 2786|Vita 37904|Wii 134|WiiU 9504|PS3 15030|PS4 33341|XB360 254","『メタルギアソリッドV グラウンド・ゼロズ』|PS3、KONAMI、2014/03/20、2839円(税別)、151300本（初）|（2014/03/17〜2014/03/23)","『第3次スーパーロボット大戦Z 時獄篇』|Vita、バンダイナムコゲームス、34点(9/9/8/8)|『第3次スーパーロボット大戦Z 時獄篇』|PS3、バンダイナムコゲームス、34点(8/9/8/9)","●特別定価370円(この週から消費税8％に、価格は税込)"
"|1323","3DS 57695|PSP 3308|Vita 42439|Wii 190|WiiU 13073|PS3 16757|PS4 24138|XB360 187","『初音ミク-プロジェクトディーヴァ-F 2nd』|Vita、セガ、2014/03/27、7000円(税別)、103581本（初）|（2014/03/24〜2014/03/30)","『名探偵コナン ファントム狂詩曲』|3DS、バンダイナムコゲームス、30点(7/8/8/7)|『Rewrite(リライト)』|PSP、プロトタイプ、30点(7/8/8/7)","●特別定価400円"
"|1324","3DS 31680|PSP 2242|Vita 24134|Wii 124|WiiU 7686|PS3 12120|PS4 15036|XB360 178","『マリオパーティ アイランドツアー』|3DS、任天堂、2014/03/20、4571円(税別)、55067本（264590）|（2014/03/31〜2014/04/06)","『シアトリズム ファイナルファンタジー カーテンコール』|3DS、スクウェア・エニックス、35点(9/9/9/8)","●特別定価410円"
"|1326※","3DS 24044|PSP 1578|Vita 22865|Wii 178|WiiU 5693|PS3 8388|PS4 12053|XB360 144","『第3次スーパーロボット大戦Z 時獄篇』|PS3、バンダイナムコゲームス、2014/04/10、8070円(税別)、158410本（初）|（2014/04/07〜2014/04/13)","『チャイルドオブライト』|PS4、ユービーアイソフト、35点(8/9/9/9)|『チャイルドオブライト』|PS3、ユービーアイソフト、35点(8/9/9/9)","●特別定価420円"
"|1327","3DS 22347|PSP 1707|Vita 18226|Wii 161|WiiU 5588|PS3 7569|PS4 13034|XB360 187","『妖怪ウォッチ』|3DS、レベルファイブ、2013/07/11、4571円(税別)、49146本（757821）|（2014/04/14〜2014/04/20)","『タイタンフォール』|XB360、エレクトロニック・アーツ、35点(8/9/9/9)","●特別定価400円"
"|1328","3DS 33358|PSP 1571|Vita 25293|Wii 115|WiiU 5596|PS3 7951|PS4 10129|XB360 152","『ソードアート・オンライン-ホロウ・フラグメント-』|Vita、バンダイナムコゲームス、2014/04/24、6170円(税別)、136736本（初）|（2014/04/21〜2014/04/27)","『inFAMOUS Second Son（インファマス セカンドサン）』|PS4、SCE、36点(9/9/9/9)","●特別定価410円"
"|1329","3DS 42647/40068|PSP 1906/1609|Vita 25606/17888|Wii 126/108|WiiU 8217/8065|PS3 9917/8099|PS4 11692/8680|XB360 146/198","『妖怪ウォッチ』|3DS、レベルファイブ、2013/07/11、4571円(税別)、129009本（949513）|（2014/04/28〜2014/05/11)","『マリオカート8』|WiiU、任天堂、37点(9/9/9/10)","●特別定価420円|●ハード販売台数はそれぞれ4/28〜5/4、5/5〜5/11のもの"
"|1330","3DS 25440|PSP 1320|Vita 13699|Wii 123|WiiU 6836|PS3 7060|PS4 6887|XB360 132","『アイドルマスター ワンフォーオール』|PS3、バンダイナムコゲームス、2014/05/15、7600円(税別)、80692本（初）|（2014/05/12〜2014/05/18)","『ペルソナQ シャドウオブザラビリンス』|3DS、アトラス、35点(8/9/9/9)","●特別定価430円"
"|1331","3DS 25015|PSP 1201|Vita 14096|Wii 108|WiiU 8858|PS3 7383|PS4 7387|XB360 104","『ワールドサッカー ウイニングイレブン2014 蒼き侍の挑戦』|PS3、KONAMI、2014/05/22、7600円(税別)、47726本（初）|（2014/05/19〜2014/05/25)","『英雄伝説 碧の軌跡 Evolution』|Vita、角川ゲームス、32点(7/8/8/9)|『ウルフェンシュタイン：ザ ニューオーダー』|PS4/PS3/XB360、ベセスダ・ソフトワークス、32点(8/8/8/8)","●特別定価440円"
"|1332","3DS 24485|PSP 1237|Vita 12524|Wii 109|WiiU 19031|PS3 6818|PS4 6866|XB360 140","『マリオカート8』|WiiU、任天堂、2014/05/29、5700円(税別)、350749本（初）|（2014/05/26〜2014/06/01)","『ポケモン アートアカデミー』|3DS、ポケモン、31点(7/8/7/9)","●特別定価410円"
"|1333※","3DS 36716|PSP 10498|Vita 11504|Wii 122|WiiU 12576|PS3 6041|PS4 8010|XB360 109","『ペルソナQ シャドウ オブ ザ ラビリンス』|3DS、アトラス、2014/06/05、6980円(税別)、186398本（初）|（2014/06/02〜2014/06/08)","『ウォッチドッグス』|PS4/PS3/XB360、ユービーアイソフト、36点(9/9/9/9)","●特別定価450円"
"|1334","3DS 29525|PSP 2647|Vita 13891|Wii 118|WiiU 10366|PS3 6832|PS4 7351|XB360 131","『マリオカート8』|WiiU、任天堂、2014/05/29、5700円(税別)、41195本（466974）|（2014/06/09〜2014/06/15)","『IslandDays(アイランドデイズ)』|3DS、クロン、22点(6/6/5/5)","●特別定価480円"
"|1335","3DS 25858|PSP 1160|Vita 13742|Wii 113|WiiU 8373|PS3 6681|PS4 6527|XB360 134","『ポケモンアートアカデミー』|3DS、任天堂、2014/06/19、3619円(税別)、30863本（初）|（2014/06/16〜2014/06/22)","『妖怪ウォッチ2 元祖/本家』|3DS、レベルファイブ、36点(9/9/9/9)","●特別定価440円"
"|1336","3DS 26592|PSP 597|Vita 27768|Wii 159|WiiU 9010|PS3 7497|PS4 8244|XB360 156","『フリーダムウォーズ』|Vita、SCE、2014/06/26、5800円(税別)、187890本（初）|（2014/06/23〜2014/06/29)","『俺の屍を越えてゆけ2』|Vita、SCE、36点(8/9/10/9)","●特別定価430円"
"|1337","3DS 27556|PSP 445|Vita 21687|Wii 139|WiiU 8020|PS3 7818|PS4 7111|XB360 154","『フリーダムウォーズ』|Vita、SCE、2014/06/26、5800円(税別)、42571本（230461）|（2014/06/30〜2014/07/06)","『ヨッシーNewアイランド』|3DS、任天堂、33点(8/9/8/8)","●特別定価430円"
"|1338","3DS 56973|PSP 275|Vita 35438|Wii 72|WiiU 8034|PS3 7454|PS4 6731|XB360 74","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、1281096本（初）|（2014/07/07〜2014/07/13)","『Enkeltbillet（エンケルトビレット）』|PSP、アイディアファクトリー、31点(8/8/8/7)","●特別定価450円"
"|1339","3DS 41502|PSP 219|Vita 29339|Wii 55|WiiU 7283|PS3 7315|PS4 5865|XB360 102","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、258554本（1539650）|（2014/07/14〜2014/07/20)","『ウルトラストリートファイターIV』|PS3/XB360、カプコン、36点(9/9/9/9)","●特別定価430円"
"|1341※","3DS 42512|PSP 201|Vita 23658|Wii 58|WiiU 8623|PS3 7109|PS4 5177|XB360 91","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、198354本（1738004）|（2014/07/21〜2014/07/27)","『ゼルダ無双』|WiiU、コーエーテクモゲームス、36点(9/9/9/9)","●特別定価480円|●誌面リニューアル。家庭用ゲーム機以外のゲームの取り扱いを強化"
"|1342","3DS 41183|PSP 283|Vita 20147|Wii 108|WiiU 8722|PS3 6528|PS4 5243|XB360 104","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、156589本（1894593）|（2014/07/28〜2014/08/03)","『討鬼伝 極』|Vita/PSP、コーエーテクモゲームス、37点(9/9/10/9)","●特別定価450円"
"|1343","3DS 41911/50024|PSP 124/141|Vita 19553/23868|Wii 130/138|WiiU 11266/17717|PS3 6138/6088|PS4 5030/6314|XB360 114/137","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、281278本（2175871）|（2014/08/04〜2014/08/17)","『Stealth Inc：A Clone in the Dark ULTIMATE EDITION（ステルスインク：クローンインザダーク アルティメットエディション）』|Vita/PS4/PS3、スクウェア・エニックス、32点(8/8/8/8)|『悪魔城ドラキュラ ロードオブシャドウ2』|PS3/XB360、KONAMI、32点(8/7/9/8)","●特別定価460円"
"|1344","3DS 33229|PSP 119|Vita 16442|Wii 176|WiiU 7558|PS3 2629|PS4 5405|XB360 118","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、70103本（2245974）|（2014/08/18〜2014/08/24)","『NARUTO-ナルト-疾風伝 ナルティメットストームレボリューション』|PS3/XB360、バンダイナムコゲームス、35点(8/9/9/9)","●特別定価480円"
"|1345","3DS 34748|PSP 102|Vita 22800|Wii 117|WiiU 6237|PS3 6225|PS4 5757|XB360 66","『討鬼伝 極』|Vita、コーエーテクモゲームス、2014/08/28、5800円(税別)、100073本（初）|（2014/08/25〜2014/08/31)","『大乱闘スマッシュブラザーズ for Nintendo 3DS』|3DS、任天堂、37点(10/9/9/9)","●特別定価480円"
"|1346","3DS 27846|PSP 128|Vita 15560|WiiU 5551|PS3 5737|PS4 6373|XBOne 23562","『妖怪ウォッチ2 元祖／本家』|3DS、レベルファイブ、2014/07/10、4600円(税別)、60469本（2381932）|（2014/09/01〜2014/09/07)","『ベヨネッタ2』|WiiU、任天堂、38点(10/9/10/9)","●Xbox One発売|●特別定価460円"
"|1347","3DS 44899|PSP 254|Vita 13372|WiiU 5473|PS3 5977|PS4 22213|XBOne 3574","『大乱闘スマッシュブラザーズ for Nintendo 3DS』|3DS、任天堂、2014/09/13、5200円(税別)、987239本（初）|（2014/09/08〜2014/09/14)","『Destiny（デスティニー）』|PS4/PS3、SCE、35点(9/9/8/9)","●特別定価480円"
"|1348","3DS 47397|PSP 168|Vita 12137|WiiU 6689|PS3 5232|PS4 8284|XBOne 1536","『大乱闘スマッシュブラザーズ for Nintendo 3DS』|3DS、任天堂、2014/09/13、5200円(税別)、316024本（1303263）|（2014/09/15〜2014/09/21)","『FLOWERS（フラワーズ）』|Vita/PSP、プロトタイプ、31点(8/9/7/7)","●特別定価450円"
"|1349","3DS 32782|PSP 126|Vita 17039|WiiU 9197|PS3 5293|PS4 7259|XBOne 1739","『大乱闘スマッシュブラザーズ for Nintendo 3DS』|3DS、任天堂、2014/09/13、5200円(税別)、128983本（1432246）|（2014/09/22〜2014/09/28)","『モンスターハンター4G』|3DS、カプコン、36点(9/9/9/9)","●特別定価480円"
"|1350","3DS 23404|PSP 121|Vita 15641|WiiU 6837|PS3 4971|PS4 6791|XBOne 1444","『大乱闘スマッシュブラザーズ for Nintendo 3DS』|3DS、任天堂、2014/09/13、5200円(税別)、107259本（1539505）|（2014/09/29〜2014/10/05)","『実況パワフルプロ野球2014』|Vita/PS3、KONAMI、35点(9/9/8/9)|『サイコブレイク』|PS4/PS3/XBOne/XB360、ベセスダ・ソフトワークス、35点(8/9/9/9)","●特別定価460円"
"|1351","3DS 29527|New3DS 233483|PSP 95|Vita 9410|WiiU 5107|PS3 4446|PS4 9883|XBOne 918","『モンスターハンター4G』|3DS、カプコン、2014/10/11、5800円(税別)、1617949本（初）|（2014/10/06〜2014/10/12)","『FIFA15』|Vita/PS4/PS3/XBOne/XB360、エレクトロニック・アーツ、36点(9/9/9/9)","●特別定価430円"
"|1352","3DS 25159|New3DS 92651|PSP 88|Vita 9844|WiiU 4017|PS3 4209|PS4 6810|XBOne 698","『モンスターハンター4G』|3DS、カプコン、2014/10/11、5800円(税別)、260485本（1878434）|（2014/10/13〜2014/10/19)","『レゴ ムービー ザ・ゲーム』|WiiU/PS4/PS3、ワーナーエンターテイメントジャパン、33点(8/8/9/8)","●特別定価430円"
"|1353","3DS 16209|New3DS 82585|PSP 97|Vita 12832|WiiU 3385|PS3 4678|PS4 7903|XBOne 1177","『モンスターハンター4G』|3DS、カプコン、2014/10/11、5800円(税別)、148020本（2026454）|（2014/10/20〜2014/10/26)","『コールオブデューティ アドバンスド・ウォーフェア』|PS4/PS3・XBOne、XB360、スクウェア・エニックス、38点(10/9/9/10)","●特別定価430円"
"|1354","3DS 14504|New3DS 48572|PSP 86|Vita 11057|WiiU 3623|PS3 4645|PS4 8014|XBOne 1264","『モンスターハンター4G』|3DS、カプコン、2014/10/11、5800円(税別)、89364本（2115818）|（2014/10/27〜2014/11/02)","『アサシンクリード ユニティ』|PS4/XB360、ユービーアイソフト、37点(9/9/10/9)","●特別定価430円"
"|1355","3DS 12770|New3DS 58489|PSP 84|Vita 9555|WiiU 3884|PS3 4210|PS4 9376|XBOne 824","『モンスターハンター4G』|3DS、カプコン、2014/10/11、5800円(税別)、50841本（2166659）|（2014/11/03〜2014/11/09)","『ポケットモンスター オメガルビー・アルファサファイア』|3DS、ポケモン、37点(9/10/9/9)","●特別定価480円"
"|1356","3DS 12370|New3DS 39020|PSP 86|Vita 18428|WiiU 12063|PS3 4254|PS4 14173|XBOne 2469","『コールオブデューティ アドバンスド・ウォーフェア（字幕版）』|PS3、スクウェア・エニックス、2014/11/13、7800円(税別)、100996本（初）|（2014/11/10〜2014/11/16)","『リトルビッグプラネット3』|PS4/PS3、SCE、36点(9/9/9/9)","●特別定価450円"
"|1357","3DS 17839|New3DS 65290|PSP 78|Vita 10303|WiiU 8506|PS3 3862|PS4 11141|XBOne 1182","『ポケットモンスター オメガルビー・アルファサファイア』|3DS、ポケモン、2014/11/21、4571円(税別)、1534593本（初）|（2014/11/17〜2014/11/23)","『大乱闘スマッシュブラザーズ for WiiU』|WiiU、任天堂、37点(9/9/9/10)|『信長の野望・創造 withパワーアップキット』|PS4/PS3、コーエーテクモゲームス、37点(9/9/9/10)","●特別定価480円"
"|1358","3DS 20070|New3DS 66276|PSP 72|Vita 25847|WiiU 13533|PS3 4769|PS4 12073|XBOne 1175","『ポケットモンスター オメガルビー・アルファサファイア』|3DS、ポケモン、2014/11/21、4571円(税別)、320960本（1855553）|（2014/11/24〜2014/11/30)","『ドラゴンエイジ：インクイジション』|PS4/PS3/XBOne/XB360、エレクトロニック・アーツ、36点(10/9/8/9)|『妖怪ウォッチ2 真打』|3DS、レベルファイブ、36点(9/9/9/9)","●特別定価450円"
"|1359※","3DS 21509|New3DS 71383|PSP 79|Vita 20960|WiiU 27191|PS3 5061|PS4 13040|XBOne 904","『大乱闘スマッシュブラザーズ for WiiU』|WiiU、任天堂、2014/12/06、7200円(税別)、244747本（初）|（2014/12/01〜2014/12/07)","『シャドウ・オブ・モルドール』|PS4/XBOne、ワーナーエンターテイメントジャパン、36点(9/9/9/9)","●特別定価460円"
"|1361","3DS 53527|New3DS 109917|PSP 82|Vita 23107|WiiU 29411|PS3 7011|PS4 64017|XBOne 916","『妖怪ウォッチ2 真打』|3DS、レベルファイブ、2014/12/13、4600円(税別)、1211918本（初）|（2014/12/08〜2014/12/14)","『にゃんだふる★パズル ネコブロ』|Vita、アークシステムワークス、28点(7/8/7/6)","●特別定価500円"
"|1362","3DS 60804|New3DS 157608|PSP 87|Vita 29657|WiiU 36397|PS3 7847|PS4 21657|XBOne 1761","『妖怪ウォッチ2 真打』|3DS、レベルファイブ、2014/12/13、4600円(税別)、530183本（1742101）|（2014/12/15〜2014/12/21)","『喧嘩番長6〜ソウル＆ブラッド〜』|3DS、スパイク・チュンソフト、34点(8/9/9/8)","●特別定価420円"
"|1363","3DS 44277|New3DS 174074|Vita 40525|WiiU 48927|PS3 10412|PS4 30145|XBOne 815","『妖怪ウォッチ2 真打』|3DS、レベルファイブ、2014/12/13、4600円(税別)、265226本（2007327）|（2014/12/22〜2014/12/28)","『テイルズ オブ ゼスティリア』|PS3、バンダイナムコゲームス、36点(10/9/9/8)","●特別定価450円"
"|1364","3DS 17722|New3DS 52378|Vita 24771|WiiU 13155|PS3 7245|PS4 16716|XBOne 637|(2週分)","『妖怪ウォッチ2 真打』|3DS、レベルファイブ、2014/12/13、4600円(税別)、288717本（2296044）|（2014/12/29〜2015/01/11)","『ファークライ4』|PS4/PS3/XBOne、ユービーアイソフト、36点(9/9/9/9)","●特別定価460円"
"|1365","3DS 11212|New3DS 39226|Vita 18942|WiiU 9718|PS3 6061|PS4 13074|XBOne 531","『妖怪ウォッチ2 真打』|3DS、レベルファイブ、2014/12/13、4600円(税別)、49059本（2345103）|（2015/01/12〜2015/01/18)","『ロストヒーローズ』|3DS、バンダイナムコゲームス、30点(8/8/7/7)|『ドラゴンボール ゼノバース』|PS4/PS3/XBOne/XB360、バンダイナムコゲームス、30点(7/8/8/7)","●特別定価450円"
"|1366","3DS 6053|New3DS 30110|Vita 16790|WiiU 7352|PS3 7858|PS4 11513|XBOne 351","『テイルズ オブ ゼスティリア』|PS3、バンダイナムコゲームス、2015/01/22、8070円(税別)、316824本（初）|（2015/01/19〜2015/01/25)","『戦国無双4-II』|Vita/PS4/PS3、コーエーテクモゲームス、36点(9/9/9/9)","●特別定価450円"
"|1367","3DS 5954|New3DS 27057|Vita 13436|WiiU 6716|PS3 5941|PS4 13971|XBOne 291","『デビルサバイバー2 ブレイクレコード』|3DS、アトラス、2015/01/29、5980円(税別)、52368本（初）|（2015/01/26〜2015/02/01)","『ゼルダの伝説 ムジュラの仮面3D』|3DS、任天堂、37点(9/9/9/10)","●特別定価450円"
"|1368","3DS 5095|New3DS 25578|Vita 11980|WiiU 6364|PS3 5100|PS4 14812|XBOne 259","『ドラゴンボール ゼノバース』|PS3、バンダイナムコゲームス、2015/02/05、7120円(税別)、37125本（初）|（2015/02/02〜2015/02/08)","『ゼルダの伝説 ムジュラの仮面3D』|3DS、任天堂、37点(9/9/9/10)","●特別定価480円"
"|1369","3DS 4987|New3DS 48272|Vita 13052|WiiU 6665|PS3 5493|PS4 17981|XBOne 250","『ゼルダの伝説 ムジュラの仮面3D』|3DS、任天堂、2015/02/14、4700円(税別)、236536本（初）|（2015/02/09〜2015/02/15)","『ドラゴンクエストヒーローズ 闇竜と世界樹の城』|PS4/PS3、スクウェア・エニックス、35点(7/10/9/9)","●特別定価450円"
"|1370","3DS 4956|New3DS 26244|Vita 33535|WiiU 5346|PS3 4764|PS4 23210|XBOne 908","『GOD EATER 2 RAGE BURST（ゴッドイーター2 レイジバースト）』|Vita、バンダイナムコゲームス、2015/02/19、5640円(税別)、221076本（初）|（2015/02/16〜2015/02/22)","『龍が如く0 誓いの場所』|PS4/PS3、セガ、36点(9/9/9/9)","●特別定価430円"
"|1371","3DS 4575|New3DS 25271|Vita 22198|WiiU 5615|PS3 7794|PS4 46495|XBOne 534","『ドラゴンクエストヒーローズ 闇竜と世界樹の城』|PS3、スクウェア・エニックス、2015/02/26、6800円(税別)、311277本（初）|（2015/02/23〜2015/03/01)","『マリオvs.ドンキーコング みんなでミニランド』|3DS/WiiU、任天堂、33点(9/8/8/8)|『Minecraft: PlayStation Vita Edition』|Vita、SCE、33点(9/8/8/8)","●特別定価430円"
"|1372","3DS 4029|New3DS 24421|Vita 19001|WiiU 5973|PS3 6568|PS4 32946|XBOne 479","『世界樹と不思議のダンジョン』|3DS、アトラス、2015/03/05、6980円(税別)、72038本（初）|（2015/03/02〜2015/03/08)","『プロ野球スピリッツ2015』|Vita/PS3、KONAMI、36点(9/9/9/9)|『ワンピース 海賊無双3』|Vita/PS4/PS3、バンダイナムコゲームス、36点(9/9/9/9)","●特別定価480円"
"|1373","3DS 3855|New3DS 22612|Vita 21541|WiiU 6333|PS3 6579|PS4 30647|XBOne 446","『龍が如く0 誓いの場所』|PS3、セガ、2015/03/12、8190円(税別)、161179本（初）|（2015/03/09〜2015/03/15)","『シアトリズム ドラゴンクエスト』|3DS、スクウェア・エニックス、35点(10/8/9/8)","●特別定価480円"
"|1374","3DS 3354|New3DS 19394|Vita 22242|WiiU 5485|PS3 5990|PS4 47429|XBOne 322","『ファイナルファンタジー零式HD』|PS4、スクウェア・エニックス、2015/03/19、6800円(税別)、91093本（初）|（2015/03/16〜2015/03/22)","『Ori and the Blind Forest（オリとくらやみの森）』|XBOne、日本マイクロソフト、36点(9/9/9/9)|『Bloodborne（ブラッドボーン）』|PS4、SCE、36点(9/10/9/8)","●特別定価460円"
