"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1301","3DS 117010|PSP 3451|Vita 24002|Wii 865|WiiU 3010|PS3 12129|XB360 169","『ポケットモンスターX・Y』|3DS、ポケモン、2013/10/12、各4800円、265984本（2953059）|（2013/10/21〜2013/10/27)","『大合奏！バンドブラザーズP』|3DS、任天堂、38点(10/9/9/10)|『GOD EATER 2（ゴッドイーター2）』|Vita、バンダイナムコゲームス、38点(10/9/10/9)","●特別定価400円"
"|1302","3DS 86868|PSP 3345|Vita 28219|Wii 663|WiiU 40118|PS3 11754|XB360 184","『ポケットモンスターX・Y』|3DS、ポケモン、2013/10/12、各4800円、137720本（3090779）|（2013/10/28〜2013/11/03)","『スーパーマリオ 3Dワールド』|WiiU、任天堂、38点(9/10/9/10)","●特別定価400円"
"|1303","3DS 74255|PSP 3424|Vita 22924|Wii 793|WiiU 14060|PS3 11932|XB360 245","『バトルフィールド』|PS3、エレクトロニック・アーツ、2013/11/07、7665円、110458本（初）|（2013/11/04〜2013/11/10)","『初音ミク Project mirai 2』|3DS、セガ、37点(10/9/9/9)|『アサシンクリード4 ブラックフラッグ』|WiiU/PS3/XB360、ユービーアイソフト、37点(10/9/9/9)","●特別定価400円"
"|1304","3DS 60978|PSP 3925|Vita 90996|Wii 736|WiiU 14006|PS3 11715|XB360 365","『GOD EATER 2』|Vita、バンダイナムコゲームス、2013/11/14、5980円、258826本（初）|（2013/11/11〜2013/11/17)","『ウォーキング・デッド』|PS3、サイバーフロント、37点(10/9/9/9)","●特別定価420円"
"|1305","3DS 70912|PSP 3296|Vita 32138|Wii 813|WiiU 20177|PS3 12106|XB360 385","『ライトニングリターンズ ファイナルファンタジーXIII』|PS3、スクウェア・エニックス、2013/11/21、7770円、301181本（初）|（2013/11/18〜2013/11/24)","『パズドラZ』|3DS、ガンホー・オンライン・エンターテイメント、36点(9/9/9/9)|『信長の野望・創造』|PS3、コーエーテクモゲームス、36点(10/9/9/8)","●特別定価400円"
"|1306","3DS 100144|PSP 3657|Vita 27768|Wii 968|WiiU 27325|PS3 13302|XB360 513","『初音ミク Prject mirai2』|3DS、セガ、2013/11/28、6279円、84676本（初）|（2013/11/25〜2013/12/01)","『真・ガンダム無双』|Vita、バンダイナムコゲームス、36点(10/9/8/9)|『真・ガンダム無双』|Vita、バンダイナムコゲームス、36点(10/9/8/9)","●特別定価390円"
"|1307","3DS 122126|PSP 4198|Vita 28253|Wii 1258|WiiU 46773|PS3 22762|XB360 524","『グランツーリスモ6』|PS3、SCE、2013/12/05、6980円、187640本（初）|（2013/12/02〜2013/12/08)","『ゼルダの伝説 神々のトライフォース2』|3DS、任天堂、38点(10/9/10/9)","●特別定価450円"
"|1309※","3DS 183762|PSP 5841|Vita 34993|Wii 1615|WiiU 72982|PS3 23659|XB360 425","『パズドラZ』|3DS、ガンホー・オンライン・エンターテイメント、2013/12/12、4400円、534782本（初）|（2013/12/09〜2013/12/15)","『星のカービィ トリプルデラックス』|3DS、任天堂、35点(9/9/8/9)","●特別定価450円"
"|1310","3DS 245046|PSP 7697|Vita 49366|Wii 2444|WiiU 119159|PS3 23493|XB360 607","『パズドラZ』|3DS、ガンホー・オンライン・エンターテイメント、2013/12/12、4400円、271947本（806729）|（2013/12/16〜2013/12/22)","『蝶の毒 華の鎖〜大正艶恋異聞〜』|PSP、プロトタイプ、32点(9/8/8/7)","●特別定価400円"
"|1311","3DS 208893/187920|PSP 9451/12069|Vita 75207/88169|Wii 2719/1727|WiiU 79174/60548|PS3 27020/40941|XB360 770/1124","『パズドラZ』|3DS、ガンホー・オンライン・エンターテイメント、2013/12/12、4400円、350774本（1157503）|（2013/12/23〜2014/01/05)","『セインツロウIV ウルトラ・スーパー・アルティメット・デラックス・エディション』|PS3、スパイク・チュンソフト、36点(9/9/9/9)|『セインツロウIV ウルトラ・スーパー・アルティメット・デラックス・エディション』|XB360、スパイク・チュンソフト、36点(9/9/9/9)","●特別定価390円|●ハード販売台数はそれぞれ12/23〜12/29、12/30〜1/5のもの"
