"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"517","PS 20918|GB 10867|N64 2965|SS 858","『サンパギータ』|PS、SCE、1998/10/15、4800円、70524本（初）|（1998/10/12〜10/18）","『ZEUS　CARNAGE HEART SECOND』|PS、アートディンク、32点(8/8/7/9)|『ヴァンパイアセイヴァーEXエディション』|PS、カプコン、32点(8/8/8/8)","●―"
"518","GBC 155774|PS 21151|GB 7243|N64 3813|SS 1061","『MERVEL SUPER HEROES VS. STREET FIGHTER』|SS、カプコン、1998/10/22、5800円、62609本（初）|（1998/10/19〜10/25）","『ワールドサッカー実況ウイニングイレブン3〜ファイナルヴァージョン〜』|PS、コナミ、31点(8/8/7/8)","●ゲームボーイカラー発売|●SIMPLEシリーズ第1弾発売"
"519","GBC 67328|NGP 21471|PS 20128|GB 4351|N64 3787|SS 1027","『レガイア伝説』|PS、SCE、1998/10/29、5800円、139844本（初）|（1998/10/26〜11/1）","『ゼルダの伝説　時のオカリナ』|N64、任天堂、40点（10/10/10/10）","●ネオジオポケット発売|●クロスレビュー史上初の満点誕生|●『FF』映画化決定、2001年公開予定"
"520","GBC 49839|PS 27171|N64 4962|NGP 4688|GB 2747|SS 824","『レガイア伝説』|PS、SCE、1998/10/29、5800円、68430本（208273）|（1998/11/2〜11/8）","『バーチャファイター3tb』|DC、セガ、36点（9/9/9/9）","●―"
"521","GBC 30949|PS 23575|GB 6778|N64 4972|NGP 3165|SS 1144","『ドラゴンクエストモンスターズ〜テリーのワンダーランド〜』|GB、エニックス、1998/9/25、4900円、101044本（684296）|（1998/11/9〜11/15）","『R4-RIDGE RACER TYPE4』|PS、ナムコ、35点（9/8/9/9）","●―"
"522","GBC 46576|N64 35419|PS 17374|GB 12289|NGP 1717|SS 528","『ゼルダの伝説　時のオカリナ』|N64、任天堂、1998/11/21、6800円、386264本（初）|（1998/11/16〜11/22）","『ゼルダの伝説　夢を見る島DX』|GB、任天堂、32点（8/8/8/8）","●―"
"523","DC 101490|GBC 51391|N64 29835|PS 27060|GB 15833|NGP 1922","『ゼルダの伝説　時のオカリナ』|N64、任天堂、1998/11/21、6800円、131662本（517897）|（1998/11/23〜11/29）","『クラッシュ・バンディクー3〜ブッとび！世界一周〜』|PS、SCE、35点（9/9/9/8）","●ドリームキャスト発売"
"524","GBC 47028|DC 31576|PS 31103|N64 23859|GB 11699|NGP 1645","『R4-RIDGE RACER TYPE4』|PS、ナムコ、1998/12/3、5800円、330551本（初）|（1998/11/30〜12/6）","『SONIC ADVENTURE』|DC、セガ、38点（9/10/9/10）","●―"
"526|※","GBC 84883|PS 81548|N64 74002|GB 32018|DC 27995|NGP 2107","『ピカチュウげんきでちゅう』|N64、任天堂、1998/12/12、9800円、204807本（初）|（1998/12/7〜12/13）","『THE NEXT TETRIS』|PS、ビーピーエス、29点（7/7/8/7）","●『シェンムー』発表会開催、1999年春発売予定"
"527","GBC 168269|N64 115411|PS 82128|GB 46630|DC 42024|NGP 1787","『遊戯王　デュエルモンスターズ』|GB、コナミ、1998/12/17、4300円、683948本（初）|（1998/12/14〜12/20）","『バスランディング』|PS、アスキー、28点（8/7/7/6）|『Jリーグタクティクスサッカー』|N64、アスキー、28点（7/7/7/7）","●―"
"528","GBC 306276|PS 276371|N64 193044|DC 134020|GB 106468|NGP 4272","『チョコボの不思議なダンジョン2』|PS、スクウェア、1998/12/23、6800円、427842本（初）|（1998/12/21〜1999/1/3）","『神機世界Evolution』|DC、スティング、32点（8/8/8/8）","●N64『スマブラ』にクロスレビュー31点の評価"
"529","GBC 96581|PS 74563|N64 40364|GB 39556|DC 28830|NGP 2131","『ポケモンカードGB』|GB、任天堂、1998/12/18、3500円、65430本（433707）|（1999/1/4〜1/10）","『サウンドノベル・エボリューション3　街〜運命の交差点〜』|PS、チュンソフト、33点（8/9/8/8）","●ネオジオポケットカラー発売日決定"
"530","GBC 51048|PS 45083|DC 27439|N64 17914|GB 13880|NGP 2014","『バスランディング』|PS、アスキー、1999/1/14、5800円、58346本（初）|（1999/1/11〜1/17）","『セガラリー2』|DC、セガ、36点（9/9/9/9）","●―"
