"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"531","ps 64340|PS 45308|GBC 45195|DC 22788|N64 14547|GB 13632|NGP 1275","『ニンテンドーオールスター！大乱闘スマッシュブラザーズ』|N64、任天堂、1999/1/21、5800円、183097本（初）|（1999/1/18〜1/24）","『ファイナルファンタジーVIII』|PS、スクウェア、37点（10/9/9/9）","●―"
"532","PS 56471|DC 37249|GBC 34534|ps 21776|N64 15189|GB 12320|NGP 874","『セガラリー2』|DC、セガ、1999/1/28、5800円、224276本（初）|（1999/1/25〜1/31）","『超スノボキッズ』|N64、アトラス、28点（7/7/7/7）","●ネオジオポケットカラーにSCEとナムコが参入決定"
"533","PS 60266|ps 29533|GBC 28811|DC 20327|N64 11902|GB 9537|NGP 879","『宇宙戦艦ヤマト　遥かなる星イスカンダル』|PS、バンダイ、1999/2/4、6800円、79208本（初）|（1999/2/1〜2/7）","『パワーストーン』|DC、カプコン、34点（8/9/8/9）","●―"
"534","PS 74300|GBC 28934|ps 19217|DC 15160|N64 12341|GB 10156|NGP 588","『ファイナルファンタジーVIII』|PS、スクウェア、1999/2/11、7800円、2504044本（初）|（1999/2/8〜2/14）","『サイレントヒル』|PS、コナミ、34点（9/9/8/8）","●―"
"535","（不明）","『ファイナルファンタジーVIII』|PS、スクウェア、1999/2/11、7800円、270993本（2775037）|（1999/2/15〜2/21）","『ファイナルファンタジーVI』|PS、スクウェア、31点（8/8/7/8）|『MONACO GRAND PRIX Racing Simulation 2』|DC、Ubiソフト、31点（8/8/7/8）","●（売上データ掲載せず）|●次世代プレイステーション発表、発売は次の冬"
"536","PS 105677|ps 104817|GBC 39085|DC 22797|N64 19109|GB 13305|NGP 764|（2週分）","『モンスターファーム2』|PS、テクモ、1999/2/25、5800円、274219本（初）|（1999/2/22〜2/28）","『ウンジャマ・ラミー』|PS、SCE、35点（9/9/9/8）","●―"
"537","WS 102655|ps 50618|PS 48147|GBC 20499|DC 13362|N64 10612|GB 6473|NGP 589","『ファイナルファンタジーVIII』|PS、スクウェア、1999/2/11、7800円、144695本（3125511）|（1999/3/1〜3/7）","『実況パワフルプロ野球6』|N64、コナミ、36点（8/10/9/9）","●ワンダースワン発売|●漫画「いい電子」連載開始"
"538","ps 57386|WS 51357|PS 40040|GBC 28446|N64 12612|DC 9232|GB 8164|NGP 294","『ファイナルファンタジーコレクション』|PS、スクウェア、1999/3/11、6800円、209369本（初）|（1999/3/8〜3/14）","『サガフロンティア2』|PS、スクウェア、35点（9/9/8/9）","●―"
"539","ps 52431|PS 51883|GBC 26919|WS 23192|NGP 18809|N64 17681|DC 8952|GB 4375","『ウンジャマ・ラミー』|PS、SCE、1999/3/18、5800円、181904本（初）|（1999/3/15〜3/21）","『デビルサマナーソウルハッカーズ』|PS、アトラス、34点（9/8/9/8）|『ダンスダンスレボリューション』|PS、コナミ、34点（8/8/9/9）","●ネオジオポケットカラー発売"
"540","PS 47454|ps 41348|GBC 32838|WS 31868|N64 23242|DC 16657|GB 7888|NGP 6874","『実況パワフルプロ野球6』|N64、コナミ、1999/3/25、7800円、155511本（初）|（1999/3/22〜3/28）","『ポケモンピンボール』|GB、任天堂、32点（9/8/8/7）","●―"
"541","PS 43547|ps 34390|GBC 31302|WS 24864|N64 17098|DC 14675|GB 9436|NGP 4464","『サガフロンティア2』|PS、スクウェア、1999/4/1、6800円、409089本（初）|（1999/3/29〜4/4）","『オメガブースト』|PS、SCE、28点（7/7/7/7）","●―"
"543|※","ps 46705|PS 36288|GBC 25299|WS 15599|DC 13348|N64 12129|GB 7571|NGP 2957","『ダンスダンスレボリューション』|PS、コナミ、1999/4/10、5800円、207875本（初）|（1999/4/5〜4/11）","『カルドセプトエキスパンション』|PS、メディアファクトリー、35点（9/9/9/8）","●カプコンがPSソフト『鬼武者（仮題）』発表"
"544","ps 67061|PS 29360|GBC 22154|N64 10296|WS 10054|DC 6747|GB 4616|NGP 4378","『ポケモンピンボール』|GB、任天堂、1999/4/14、3800円、247498本（初）|（1999/4/12〜4/18）","『スペースインベーダー』|WS、サンソフト、23点（6/4/6/7）","●―"
"545","ps 102847|GBC 75066|PS 71411|WS 41908|N64 29943|DC 14882|GB 9547|NGP 7449|（2週分）","『ポケモンスタジアム2』|N64、任天堂、1999/4/30、5800円、190913本（初）|（1999/4/19〜5/2）","『マリオネットカンパニー』|PS、マイクロキャビン、31点（7/8/7/9）","●―"
"546","GBC 55588|PS 39929|N64 29476|WS 18856|ps 15136|DC 7392|GB 6927|NGP 4410","『ポケモンスタジアム2』|N64、任天堂、1999/4/30、5800円、128236本（319149）|（1999/5/3〜5/9）","『エースコンバット3エレクトロスフィア』|PS、ナムコ、31点（8/8/7/8）","●任天堂が次世代機を発表、DVDを採用し、2000年末発売予定"
"547","ps 30726|GBC 26309|PS 21472|WS 10740|N64 7606|DC 4458|GB 3508|NGP 2353","『ダンスダンスレボリューション』|PS、コナミ、1999/4/10、5800円、37570本（470808）|（1999/5/10〜5/16）","『お絵かきロジック』|NP、世界文化社、27点（6/7/7/7）|『ピクロスNP Nol.2』|NP、任天堂、27点（6/7/7/7）|『NBAパワーダンカーズ4』|PS、コナミ、27点（7/6/7/7）","●―"
"548","ps 29996|PS 19128|GBC 17029|WS 11857|N64 5041|DC 3344|GB 2876|NGP 1652","『ダンスダンスレボリューション』|PS、コナミ、1999/4/10、5800円、40574本（511382）|（1999/5/17〜5/23）","『マリオゴルフ64』|N64、任天堂、32点（8/8/8/8）","●ドリームキャスト、19900円に値下げを発表"
"549","ps 29419|PS 26245|GBC 18813|WS 12980|N64 8697|DC 4743|GB 2705|NGP 2199","『エースコンバット3　エレクトロスフィア』|PS、ナムコ、1999/5/27、6800円、241215本（初）|（1999/5/24〜5/30）","『オーバードライビンIV』|PS、EAスクウェア、30点（7/8/8/7）|『バイオレンスキラー〜TUROK NEW GENERATION』|N64、gemzi、30点（8/7/7/8）","●―"
"550","ps 25377|PS 22834|GBC 18837|WS 15052|N64 5775|GB 3634|DC 2567|NGP 1763","『エースコンバット3　エレクトロスフィア』|PS、ナムコ、1999/5/27、6800円、55179本（296394）|（1999/5/31〜6/6）","『メタルギアソリッドインテグラル』|PS、コナミ、34点（9/9/9/7）","●―"
"551","ps 27344|PS 19220|GBC 12810|WS 11053|N64 10174|GB 1860|NGP 1447|DC 676","『スーパーロボット大戦コンプリートボックス』|PS、バンプレスト、1999/6/10、6800円、163996本（初）|（1999/6/7〜6/13）","『ディノクライシス』|PS、カプコン、34点（10/8/8/8）","●―"
"552","ps 31833|PS 19435|GBC 18035|N64 9280|WS 8889|GB 2868|NGP 1953|DC 479","『マリオゴルフ64』|N64、任天堂、1999/6/11、6800円、61197本（187305）|（1999/6/14〜6/20）","『ストリートファイターZERO3　サイキョー流道場』|PS、カプコン、33点（8/8/8/9）","●―"
"553","DC 45058|ps 30077|PS 26392|GBC 15122|N64 9412|WS 7369|NGP 2208|GB 1921","『ペルソナ2　罪』|PS、アトラス、1999/6/24、6800円、170577本（初）|（1999/6/21〜6/27）","『オウガバトル64 Person of Lordly Caliber』|N64、任天堂、33点（9/9/8/7）","●ドリームキャストが値下げ"
"554","ps 37587|PS 33946|DC 25249|GBC 16713|WS 9954|N64 9471|GB 1833|NGP 1320","『ディノクライシス』|PS、カプコン、1999/7/1、5800円、319934本（初）|（1999/6/28〜7/4）","『どこでもいっしょ』|PS、SCE、34点（8/9/9/8）","●―"
"555","PS 32601|GBC 27405|ps 27019|DC 20741|N64 11246|WS 9943|GB 1680|NGP 1457","『遊戯王デュエルモンスターズII〜闇界決闘記〜』|GB、コナミ、1999/7/8、4500円、401533本（初）|（1999/7/5〜7/11）","『みんなのGOLF2』|PS、SCE、34点（8/9/8/9）|『ギターフリークス』|PS、コナミ、34点（8/9/9/8）","●―"
"556","ps 48382|PS 33633|GBC 24903|DC 17939|N64 17414|WS 6884|GB 1662|NGP 1581","『聖剣伝説　LEGEND OF MANA』|PS、スクウェア、1999/7/15、6800円、432119本（初）|（1999/7/12〜7/18）","『ソウルキャリバーII』|DC、ナムコ、40点（10/10/10/10）","●―"
"558|※","ps 102155|PS 37650|GBC 32552|DC 16531|WS 15913|N64 14889|GB 3866|NGP 1691","『実況パワフルプロ野球'99開幕版』|PS、コナミ、1999/7/22、5800円、324751本（初）|（1999/7/19〜7/25）","『SDガンダムGジェネレーション0』|PS、バンダイ、32点（8/8/8/8）","●―"
"559","ps 97303|GBC 32780|PS 24949|DC 19960|WS 15165|N64 10006|GB 4419|NGP 1534","『みんなのGOLF2』|PS、SCE、1999/7/29、5800円、273260本（初）|（1999/7/26〜8/1）","『ファイアーエムブレム　トラキア776（プリライト版）』|SFC、任天堂、35点（8/9/8/10）","●―"
"560","PS 78434|DC 78108|N64 34395|GB 8230|GBC 104182|NGP 3060|WS 48383|ps 186873|（2週分）","『SDガンダムGジェネレーション0』|PS、バンプレスト、1999/8/12、6980円、280982本（初）|（1999/8/2〜8/15）","『ネオアトラス2』|PS、アートディンク、34点（9/9/8/8）","●LoppiでGB用ソフト書き換えが可能に、と発表"
"561","PS 33267|DC 22944|N64 13134|GB 2788|GBC 48530|NGP 1739|WS 17385|ps 94501","『SDガンダムGジェネレーション0』|PS、バンプレスト、1999/8/12、6980円、83307本（364289）|（1999/8/16〜8/22）","『俺の料理』|PS、SCE、32点（8/8/8/8）","●―"
"562","PS 23719|DC 27652|N64 8477|GB 2809|GBC 29714|NGP 1251|WS 12706|ps 80119","『ダンスダンスレボリューション2ndReMIX』|PS、コナミ、1999/8/26、5800円、194866本（初）|（1999/8/23〜8/29）","『ドラゴンクエストキャラクターズ　トルネコの大冒険2〜不思議のダンジョン〜』|PS、チュンソフト、37点（9/9/9/10）","●任天堂とコナミ、合弁会社「モバイル21」設立を発表"
"563","PS 27125|DC 26453|N64 7157|GB 2789|GBC 27989|NGP 1216|WS 10959|ps 79918","『ワールドサッカー実況ウイニングイレブン4』|PS、コナミ、1999/9/2、5800円、238331本（初）|（1999/8/30〜9/5）","『バイオハザード3　LAST ESCAPE』|PS、カプコン、36点（9/9/9/9）","●PS2の発売日と価格を発表"
"564","（不明）","『ビートマニア APPEND 4th MIX 〜the beat goes on〜』|PS、コナミ、1999/9/9、2800円、129584本（初）|（1999/9/6〜9/12）","『ダービースタリオン99』|PS、アスキー、34点（9/9/8/8）|『Jリーグプロサッカークラブをつくろう！』|DC、セガ、34点（9/9/8/8）","●（売上データ掲載せず）"
"565","PS 22022|DC 15284|N64 6011|GB 2388|GBC 24679|NGP 671|WS 7764|ps 74235","『ドラゴンクエストキャラクターズ　トルネコの大冒険2〜不思議のダンジョン〜』|PS、チュンソフト、1999/9/15、6800円、358617本（初）|（1999/9/13〜9/19）","『続・御神楽少女探偵団〜完結編〜』|PS、ヒューマン、31点（8/7/8/8）","●―"
"566","PS 25996|DC 16569|N64 5271|GB 2715|GBC 29714|NGP 526|WS 6050|ps 77811","『バイオハザード3　LAST ESCAPE』|PS、カプコン、1999/9/22、6800円、1005020本（初）|（1999/9/20〜9/26）","『デュープリズム』|PS、スクウェア、34点（8/9/8/9）","●―"
"567","PS 21442|DC 32354|N64 5173|GB 2572|GBC 39169|NGP 174|WS 5054|ps 81518","『ダービースタリオン99』|PS、アスキー、1999/9/30、4800円、451981本（初）|（1999/9/27〜10/3）","『クロス探偵物語』|PS、ワークジャム、32点（8/8/8/8）","●―"
"568","PS 17169|DC 16519|N64 5229|GB （不明）|GBC 31884|NGP 57|WS 5082|ps 58602","『ダービースタリオン99』|PS、アスキー、1999/9/30、4800円、111779本（563760）|（1999/10/4〜10/10）","『トンバ！ザ・ワイルドアドベンチャー』|PS、ウービーキャンプ、31点（8/8/7/8）","●（GBの売上データ掲載せず）"
"569","PS 16828|DC 13308|N64 5724|GB 2534|GBC 33417|NGP 54|WS 4007|ps 55929","『ジョジョの奇妙な冒険』|PS、カプコン、1999/10/14、5800円、149222本（初）|（1999/10/11〜10/17）","『パックマンワールド20thアニバーサリー』|PS、ナムコ、29点（8/7/7/7）","●―"
"570","PS 14868|DC 9558|N64 5608|GB 1245|GBC 33082|NGP 13198|WS 4962|ps 60629","『ジョジョの奇妙な冒険』|PS、カプコン、1999/10/14、5800円、40132本（189353）|（1999/10/18〜10/24）","『チューチューロケット！』|DC、セガ、34点（9/9/8/8）","●ネオジオポケットカラーのコンパクトバージョン発売"
"571","PS 15238|DC 13426|N64 6267|GB （不明）|GBC 38399|NGP 6837|WS 3979|ps 58804","『アークザラッドIII』|PS、SCE、1999/10/28、6800円、209088本（初）|（1999/10/25〜10/31）","『クロノ・クロス』|PS、スクウェア、36点（9/9/9/9）","●（GBの売上データ掲載せず）"
"572","PS 14000|DC 12846|N64 6581|GB 1938|GBC 32432|NGP 3897|WS 2813|ps 43781","『クロノ・トリガー』|PS、スクウェア、1999/11/2、4800円、118178本（初）|（1999/11/1〜11/7）","『ときめきメモリアル2』|PS、コナミ、33点（9/7/9/8）","●―"
"573","PS 13346|DC 11530|N64 4498|GB 1716|GBC 26655|WS 4995|NGP 3247|ps 36862","『チューチューロケット！』|DC、セガ、1999/11/11、2800円、33108本（初）|（1999/11/8〜11/14）","『バーチャストライカー2 ver.2000.1』|DC、セガ、33点（9/7/8/9）","●『ドラクエVII』発売延期、冬発売予定に"
"574","PS 14100|DC 9253|N64 5629|GB 2755|GBC 70917|NGP 3937|WS 2449|ps 32404","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、1425768本（初）|（1999/11/15〜11/21）","『電脳戦機バーチャロン　オラトリオ・タングラム』|DC、セガ、39点（10/10/9/10）","●『ポケモン金（銀）』発売、初回出荷180万本は即完売"
"575","PS 17057|DC 14879|N64 8494|GB 2317|GBC 80084|NGP 1850|WS 6837|ps 44666","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、438280本（1864049）|（1999/11/22〜11/28）","『グランツーリスモ2』|PS、SCE、34点（8/8/8/10）","●―"
"576","PS 17221|DC 18902|N64 7659|GB 4726|GBC 74232|NGP 5710|WS 1954|ps 71989","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、453500本（2317459）|（1999/11/29〜12/5）","『ヴァルキリープロファイル』|PS、エニックス、35点（9/9/10/7）","●―"
"578|※","PS 31788|DC 21067|N64 19451|GBC 115832|NGP 1769|WS 16678|ps 80470","『グランツーリスモ2』|PS、SCE、1999/12/11、6800円、748581本（初）|（1999/12/6〜12/12）","『シェンムー　一章　横須賀』|DC、セガ、33点（8/9/8/8）","●―"
"579","PS 47721|DC 27062|N64 26041|GBC 162643|NGP 2148|WS 24354|ps （不明）","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、436828本（3055379）|（1999/12/13〜12/19）","『超鋼戦紀キカイオー』|DC、カプコン、29点（7/8/7/7）","●―"
"580","PS 110131|DC 83779|N64 62741|GBC 350915|NGP 14187|WS 68381|ps 211803|（2週分）","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、1050754本（4106134）|（1999/12/20〜2000/1/2）","『NFL 2K』|DC、セガ、34点（9/9/8/8）","●―"
"581","PS 39974|DC 39666|N64 20501|GBC 16929|NGP 7657|WS 14456|ps 93580","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、258734本（4364868）|（2000/1/3〜1/9）","『クレイジータクシー』|DC、セガ、34点（8/9/8/9）","●―"
"582","PS 23117|DC 16912|N64 6401|GBC 38107|NGP 4648|WS 6664|ps 50587","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、145778本（4510646）|（2000/1/10〜1/16）","『バイオハザード-CODE:Veronica-』|DC、カプコン、35点（9/9/8/9）","●―"
"583","PS 15269|DC 12813|N64 5368|GBC 49516|NGP 3795|WS 7263|ps 37509","『ポケットモンスター金（銀）』|GB、任天堂、1999/11/21、各3800円、144733本（4655379）|（2000/1/17〜1/23）","『ベイグラントストーリー』|PS、スクウェア、40点（10/10/10/10）","●スクウェアミレニアムで『FFIX』『FFX』『FFXI』電撃発表"
"584","PS 12834|DC 12718|N64 5072|GBC 63990|NGP 4488|WS 7626|ps 39951","『バイオハザードガンサバイバー』|PS、カプコン、1999/1/27、5800円、158101本（初）|（2000/1/24〜1/30）","『SegaGT Homologation Special』|DC、セガ、33点（8/8/8/9）","●―"
"585","PS 9883|DC 18957|N64 3197|GBC 91490|NGP 4110|WS 5549|ps 29986","『バイオハザード-CODE:Veronica-』|DC、カプコン、1999/2/3、6800円、306778本（初）|（2000/1/31〜2/6）","『トレード＆バトル　カードヒーロー』|GB、任天堂、35点（9/9/9/8）","●―"
"586","PS 8801|DC 12794|N64 3695|GBC 58307|NGP 4386|WS 5966|ps 26972","『機動戦士ガンダム　ギレンの野望〜ジオンの系譜〜』|PS、バンダイ、1999/2/10、6800円、238496本（初）|（2000/2/7〜2/13）","『バーチャコップ2』|DC、セガ、28点（8/6/7/7）","●―"
"587","PS 6237|DC 9948|N64 3016|GBC 60771|NGP 3283|WS 4303|ps 19904","『SegaGT Homologation Special』|DC、セガ、1999/2/17、5800円、77179本（初）|（2000/2/14〜2/20）","『リッジレーサーV』|PS2、ナムコ、36点（9/10/8/9）","●―"
"588","PS 5733|DC 8983|N64 3003|GBC 62361|NGP 2613|WS 7555|ps 18841","『トレード＆バトル　カードヒーロー』|GB、任天堂、1999/2/21、3800円、69481本（初）|（2000/2/21〜2/27）","『スパイロ×スパークス　トンでもツアーズ』|PS、SCE、30点（8/8/7/7）","●―"
"589","PS 4593|PS2 630552|DC 8256|N64 3036|GBC 51133|NGP 2991|WS 5076|ps 16410","『リッジレーサーV』|PS2、ナムコ、1999/3/4、6800円、233391本（初）|（2000/2/28〜3/5）","『ワリオランド3　不思議なオルゴール』|GB、任天堂、33点（8/8/9/8）|『NBA 2K』|DC、セガ、33点（9/8/8/8）","●プレイステーション2発売週|●マイクロソフトが「X-Box」を発表、2001年秋発売予定"
"590","PS 4455|PS2 154245|DC 7164|N64 2874|GBC 49903|NGP 2441|WS 4644|ps 17505","『リッジレーサーV』|PS2、ナムコ、1999/3/4、6800円、71362本（304753）|（2000/3/6〜3/12）","『鉄拳TAG TOURNAMENT』|PS2、ナムコ、38点（9/9/10/10）","●―"
"591","PS 4937|PS2 71780|DC 7080|N64 2921|GBC 52374|NGP 2961|WS 4753|ps 15819","『リッジレーサーV』|PS2、ナムコ、1999/3/4、6800円、53807本（358560）|（2000/3/13〜3/19）","『バスランディング2』|PS、アスキー、30点（8/8/7/7）","●―"
"592","PS 52445|PS2 112620|DC 8561|N64 4016|GBC 57380|NGP 3674|WS 9921|ps 18194","『星のカービィ64』|N64、任天堂、1999/3/24、6800円、245508本（初）|（2000/3/20〜3/26）","『DEAD OR ALIVE2』|PS2、テクモ、34点（9/8/9/8）","●（PSの売上台数はファミ通掲載ママ）|●今号から発売元がアスキーからエンターブレインに"
"593","PS 3932|PS2 165685|DC 8603|N64 5340|GBC 48213|NGP 2633|WS 5278|ps 17593","『鉄拳TAG TOURNAMENT』|PS2、ナムコ、1999/3/30、6800円、214753本（初）|（2000/3/27〜4/2）","『ロックマンDASH2〜エピソード2大いなる遺産〜』|PS、カプコン、30点（8/7/8/7）","●―"
"594","PS 3790|PS2 119430|DC 6742|N64 3365|GBC 37117|NGP 2474|WS 5176|ps 14237","『鉄拳TAG TOURNAMENT』|PS2、ナムコ、1999/3/30、6800円、40364本（255117）|（2000/4/3〜4/9）","『ゼルダの伝説　ムジュラの仮面』|N64、任天堂、37点（9/9/9/10）","●―"
"596|※","PS 3526|PS2 75704|DC 6840|N64 3399|GBC 30476|NGP 2337|WS 3203|ps 17618","『遊戯王モンスターカプセルGB』|GB、コナミ、1999/4/13、4500円、36220本（初）|（2000/4/10〜4/16）","『さらば宇宙戦艦ヤマト　愛の戦士たち』|PS、バンダイ、32点（8/8/8/8）","●―"
"597","PS 3364|PS2 74350|DC 4874|N64 3539|GBC 30142|NGP 1917|WS 3218|ps 10023","『ロックマンDASH2〜エピソード2大いなる遺産〜』|PS、カプコン、1999/4/20、5800円、34892本（初）|（2000/4/17〜4/23）","『久遠の絆　最臨詔』|DC、フォグ、30点（7/8/8/7）","●―"
"598","PS 5565|PS2 116302|DC 13332|N64 17260|GBC 72592|NGP 4896|WS 7811|ps 26888|（2週分）","『ゼルダの伝説　ムジュラの仮面』|N64、任天堂、1999/4/27、5800円、418236本（初）|（2000/4/24〜5/7）","『スーパーロボット大戦α』|PS、バンプレスト、31点（8/8/7/8）|『スーパーランナバウト』|DC、クライマックス、31点（8/8/8/7）","●『ドラクエVII』の発売日が2000年8月26日に決定"
"599","PS 1381|PS2 43587|DC 4548|N64 2945|GBC 21443|NGP 1376|WS 2968|ps 9965","『ゼルダの伝説　ムジュラの仮面』|N64、任天堂、1999/4/27、5800円、26168本（初）|（2000/5/8〜5/14）","『ダンスダンスレボリューション3rdMIX』|PS、コナミ、30点（7/8/8/7）","●『FFIX』の発売日が7月19日→7月7日に変更"
"600","PS 1483|PS2 55663|DC 5578|N64 2606|GBC 17948|NGP 1631|WS 2035|ps 8307","『星のカービィ64』|N64、任天堂、1999/3/24、6800円、18571本（542443）|（2000/5/15〜5/21）","『オールスター・プロレスリング』|PS2、スクウェア、31点（9/7/7/8）","●GBAの発売予定を2000年8月→2000年年末に"
