"begin_date","end_date","hw","units"
"2016-07-04","2016-07-11","WiiU","14904"
"2016-07-04","2016-07-11","PS4","21474"
"2016-07-04","2016-07-11","XBOne","75"
"2016-07-11","2016-07-18","3DS","24009"
"2016-07-11","2016-07-18","Vita","11610"
"2016-07-11","2016-07-18","WiiU","7605"
"2016-07-11","2016-07-18","PS4","21017"
"2016-07-11","2016-07-18","XBOne","82"
"2016-07-18","2016-07-25","3DS","23539"
"2016-07-18","2016-07-25","Vita","10676"
"2016-07-18","2016-07-25","WiiU","5899"
"2016-07-18","2016-07-25","PS4","17857"
"2016-07-18","2016-07-25","XBOne","55"
"2016-07-25","2016-08-01","3DS","25259"
"2016-07-25","2016-08-01","Vita","11340"
"2016-07-25","2016-08-01","WiiU","6048"
"2016-07-25","2016-08-01","PS4","21030"
"2016-07-25","2016-08-01","XBOne","39"
"2016-08-01","2016-08-08","3DS","27551"
"2016-08-01","2016-08-08","Vita","10015"
"2016-08-01","2016-08-08","WiiU","5170"
"2016-08-01","2016-08-08","PS4","16383"
"2016-08-01","2016-08-08","XBOne","43"
"2016-08-08","2016-08-15","3DS","31695"
"2016-08-08","2016-08-15","Vita","12407"
"2016-08-08","2016-08-15","WiiU","5770"
"2016-08-08","2016-08-15","PS4","17482"
"2016-08-08","2016-08-15","XBOne","38"
"2016-08-15","2016-08-22","3DS","26735"
"2016-08-15","2016-08-22","Vita","11086"
"2016-08-15","2016-08-22","WiiU","5623"
"2016-08-15","2016-08-22","PS4","19053"
"2016-08-15","2016-08-22","XBOne","40"
"2016-08-22","2016-08-29","3DS","20788"
"2016-08-22","2016-08-29","Vita","9458"
"2016-08-22","2016-08-29","WiiU","4157"
"2016-08-22","2016-08-29","PS4","6760"
"2016-08-22","2016-08-29","XBOne","31"
"2016-08-29","2016-09-05","3DS","20813"
"2016-08-29","2016-09-05","Vita","10021"
"2016-08-29","2016-09-05","WiiU","4072"
"2016-08-29","2016-09-05","PS4","2302"
"2016-08-29","2016-09-05","XBOne","126"
"2016-09-05","2016-09-12","3DS","19783"
"2016-09-05","2016-09-12","Vita","9397"
"2016-09-05","2016-09-12","WiiU","3267"
"2016-09-05","2016-09-12","PS4","364"
"2016-09-05","2016-09-12","XBOne","154"
"2016-09-12","2016-09-19","3DS","36737"
"2016-09-12","2016-09-19","Vita","9083"
"2016-09-12","2016-09-19","WiiU","2824"
"2016-09-12","2016-09-19","PS4","96567"
"2016-09-12","2016-09-19","XBOne","157"
"2016-09-19","2016-09-26","3DS","34877"
"2016-09-19","2016-09-26","Vita","8525"
"2016-09-19","2016-09-26","WiiU","2681"
"2016-09-19","2016-09-26","PS4","48443"
"2016-09-19","2016-09-26","XBOne","162"
"2016-09-26","2016-10-03","3DS","27198"
"2016-09-26","2016-10-03","Vita","8151"
